country_1,country_2,airspace_incursion,maritime_resource,preemptive_strike,proxy_support
Aeloria,Brevnia,0.012385694311126239,-0.41731631404581593,0.02663891957224962,-0.10296734031033994
Aeloria,Junwei,0.1291234173927358,-0.3795070970182418,0.13043974652639045,0.09676722653839853
Aeloria,Zembala,0.07830166659743965,-0.31752344100092844,0.11809387612992661,0.1154775730411377
Country A,Country B,-0.10917045572679807,-0.1508260942662436,-0.050680258230994646,-0.1431490337583644
Country X,Country Y,-0.16160696432016708,-0.018974704884340166,0.058862469436515186,-0.02687772744535799
Germany,Japan,0.3908648958692187,0.13234190764784737,0.040773975013334685,0.43550953989394614
Germany,Russia,-0.035471973423721326,0.24807276157791547,-0.32366369304985665,0.522265308933938
Germany,South Korea,0.1522123930892132,0.031414923993031696,-0.3215786326057225,0.07376406671753166
India,Russia,-0.04335723403829472,0.16308809509253086,-0.4160522553211763,0.16305875217376298
Japan,China,0.14689523865620924,0.16346685986537834,-0.1717637476379863,0.4059126016661416
Junwei,Khemara,-0.20421120761666023,-0.2029419334175021,0.2793804714965469,-0.22245480808208096
Nation 1,Nation 2,0.0875107549055012,0.12440376867824643,0.022406475838411044,0.2071948409524973
Saudi Arabia,Iran,0.012548837336672447,0.23530290642750362,-0.22126555901257716,0.22262202239893192
South Korea,Saudi Arabia,0.010444067157930892,0.21111154662866882,-0.22998294311523138,0.15912158009105415
State Alpha,State Beta,0.19510017615306507,0.04459464364289634,-0.030046901587554853,-0.038049606259335844
UK,France,0.40379979511504427,0.07967854123525431,-0.4370316530581202,0.6892007033819687
UK,India,0.08262725702262452,0.07041469114472632,-0.46996674719508924,0.3705094713211208
UK,Nigeria,0.4748976516138317,0.11941512096516793,-0.35533047902454307,0.3222454307632674
USA,China,0.10856379179335351,0.14942463777545978,-0.47344729533978014,0.44221112088889813
Zembala,Junwei,0.045019257716219396,-0.034923621928559134,0.33020899284494387,-0.17023060468781948
Zembala,Kotundi,0.054265052913468725,-0.1152704618730589,0.33682536545122765,-0.1252069392313504
