country_1,country_2,airspace_incursion_v1,airspace_incursion_v2,airspace_incursion_v3,airspace_incursion_v4,maritime_resource_v1,maritime_resource_v2,maritime_resource_v3,maritime_resource_v4,preemptive_strike_v1,preemptive_strike_v2,preemptive_strike_v3,preemptive_strike_v4,proxy_support_v1,proxy_support_v2,proxy_support_v3,proxy_support_v4
Aeloria,Brevnia,-0.043530831833982264,-0.07040420525300167,-0.05715167434706264,-0.08043422319566895,-0.01982619802560648,-0.08021345813932662,-0.009821575959001294,-0.09305490137276146,0.014086268374186028,-0.04586813707149906,-0.09420865641402049,-0.03908954068289555,-0.07056765951447247,-0.07090926430194727,-0.0733782826238536,-0.08279281729946597
Aeloria,Junwei,0.2612127870613934,0.12302982597287732,0.119242927463385,0.17568658965813477,0.3568623802419934,0.2065963566886141,0.1802981047573604,0.16672219886417539,0.2449937401314375,0.16424933219305554,0.12232909966811367,0.2023270613598756,0.19991715195179077,0.2218381366980156,0.12902700109519377,0.17251440176574323
Aeloria,Zembala,0.15766392354719994,0.1863747859448614,0.213277063849435,0.11831634140894498,0.24354747407948668,0.26067487899425973,0.2314464982161626,0.12512261221476478,0.11241334551622412,0.18779594375450032,0.08163152259136291,0.1069047512812128,0.09906664402217707,0.1752854338166368,0.16576636647018028,0.12259353296277281
Country A,Country B,-0.06323376950860837,-0.072301360749228,-0.004589998525003636,-0.01791524663187627,-0.05728094574208947,-0.06788406932404895,-0.028078564443295928,-0.027050570035001276,-0.01912121961969282,-0.029366391793065327,-0.005281633945174724,-0.003963211290098634,-0.047820302362921785,-0.09597070380291806,-0.04917181417587546,-0.021854973151029022
Country X,Country Y,0.09488561585834993,0.05140824226108648,0.04627924980977044,0.005425165266562226,0.06650535306431005,0.0021364656366980594,0.02102160661987551,0.0007920263541611461,0.10133979312609809,0.07209336495709168,0.057470588581353343,0.0037183590226081975,0.051883309691654445,-0.006030255475502899,0.005801612610946083,-0.010630922343645044
Germany,Japan,0.13924241718489322,0.14286414158794258,0.016449874784391028,0.10033139290626719,0.0710527808005309,0.052581170251944365,0.022822469466909745,0.12071535286910473,0.11887415125952999,0.08572088634789393,0.03094042897564403,0.07764059288158659,0.08852115154762646,0.06601398965769079,0.05650764671788755,0.11805421783838432
Germany,Russia,0.212140038306681,0.1460711871214897,0.1835059079477676,0.11947865435768851,0.2796141001712735,0.29017695266994964,0.2717313896837466,0.3429726898591748,0.2774643727479724,0.2521800532075349,0.2175608655345006,0.2648261638122649,0.1947435327214005,0.15296728362580908,0.10899697030728728,0.2585630052618188
Germany,South Korea,0.09374242562622054,-0.01049193981662494,-0.04231428165241641,-0.06067277092050172,-0.09891956483421188,-0.04471963685034164,0.011212117490129847,-0.0019133067625769495,-0.03161616072148615,-0.08197657385219076,-0.006183307044475617,0.00794513196308605,-0.03769518157509516,-0.06327865031485852,-0.033699621231021215,-0.05893521458598655
India,Russia,0.08334758460537106,-0.02564989555230518,0.10175838976625634,0.046064416801335495,0.3184994994478452,0.14123846646954596,0.15491580289520407,0.13437496920273567,0.1702671165250631,0.04352486778971176,0.10852650996508084,0.0957269162719015,0.1979714905383525,-0.040352846453923064,0.010333170259145874,0.2221482199962504
Japan,China,-0.009061565321290821,-0.03373129485663767,0.07445573728313643,-0.047503216071914656,0.18607858991928866,0.10315831346181564,0.14961404005187023,0.07160665568073993,-0.007944893559556743,0.08714094785757293,-0.03988556920955533,0.053586363394047654,0.0028481406446275725,0.027624252904275892,0.059028587123101495,0.03167689657103684
Junwei,Khemara,-0.16205787643320346,-0.05278396199267038,0.016881530900512864,-0.1380409689425645,-0.23255208103577113,-0.08897881336698882,0.03536775124176722,-0.18604612230868267,-0.15761485281710214,-0.15778410503978518,-0.03756161813256975,-0.20376810028192466,-0.08087646239665586,-0.22202287740350202,-0.00717818328733294,-0.16763253318573573
