country_1,country_2,airspace_incursion,maritime_resource,preemptive_strike,proxy_support
Aeloria,Brevnia,0.20234235818733737,-0.05017555076036451,-0.21906952054118656,0.040525670554738324
Aeloria,Junwei,0.23988921634927296,0.05804472993409204,-0.1311668438197373,0.053855317563762606
Aeloria,Zembala,0.06939378976412525,0.08186330901254735,-0.08455562309026354,0.05383177798833261
Country A,Country B,0.045909036225872946,-0.004658023443125936,-0.06615712390587425,-0.01049988875838137
Country X,Country Y,-0.16380581065861288,-0.12481799187834874,-0.04679905202590584,-0.12756400405704826
Germany,Japan,-0.15580962533024423,0.22972519805255098,-0.26259245344652316,-0.04971640296753699
Germany,Russia,-0.36568276639421105,0.3893642520629368,-0.2366064527488263,-0.08628152154514601
Germany,South Korea,-0.26374485156758853,0.20211926650963585,-0.3827180201912287,-0.03779915204364337
India,Russia,-0.11150578123726196,0.28197911643696205,-0.4629780565953081,-0.1458871992112445
Japan,China,-0.05179229961908782,0.31184945652895424,-0.20783129524221056,-0.09348723910371204
Junwei,Khemara,0.004658180910651399,0.08830879060369767,-0.009407901685502429,0.048597401371968774
Nation 1,Nation 2,0.013228381637485853,0.09041304367125891,0.11197524709920526,0.02963974171560091
Saudi Arabia,Iran,-0.23644019463801746,0.44832950368719926,0.07847727715165997,-0.16972451052839566
South Korea,Saudi Arabia,-0.17834347556671415,0.26888444811494505,-0.24802831981565698,-0.1587661493591379
State Alpha,State Beta,0.0988591105272385,0.03921401274280045,0.0016656741245397733,0.10828068316726602
UK,France,0.08004703034907612,0.35889998961129566,-0.21388051387614349,0.04975011012758501
UK,India,-0.003581924340452236,0.19188236168028805,-0.36375668037020925,-0.04671708691597476
UK,Nigeria,-0.07863036085388964,0.11330792464858352,-0.2891962733212281,0.017929399688585868
USA,China,0.1515540706099494,0.3275717069975901,-0.2848624566332235,0.009501522015725294
Zembala,Junwei,-0.11050096707273394,0.06494441929353423,-0.1215445144657894,-0.012641962545808516
Zembala,Kotundi,-0.13913680908621395,0.04389199815649336,-0.10191696207640177,-0.05496770500388948
