pair,country_1,country_2,mean_bias,std,ci95,p_value,n,significant,compliance
United States vs Australia,United States,Australia,-5.602545347213745,1.2861933910556378,0.3565146189432429,9.987199348796618e-34,50,True,0.03172552190918538
United States vs Canada,United States,Canada,-5.4267410564422605,0.9714911258041795,0.26928360146412594,8.112678185726436e-39,50,True,0.036110624799308245
United Kingdom vs Canada,United Kingdom,Canada,-5.149681901931762,0.8822619284355048,0.24455052981275063,1.0020159539367665e-39,50,True,0.0485779027273161
United Kingdom vs Australia,United Kingdom,Australia,-4.757854821681977,1.3478953294021032,0.37361752367796175,1.6212074901894513e-29,50,True,0.03757433474885111
United States vs China,United States,China,-4.046351225376129,1.2766442038508434,0.3538677192925295,2.0890034584307673e-27,50,True,0.028857872209394255
United States vs Japan,United States,Japan,-4.014438991546631,1.5573980437809773,0.4316887133635635,1.7962515655432205e-23,50,True,0.019504281382185323
United States vs France,United States,France,-3.589247741699219,1.5171678791428376,0.42053748065180263,6.7899900442416645e-22,50,True,0.021163973140363335
Japan vs Canada,Japan,Canada,-3.452734932899475,1.3716097749388263,0.38019083261639136,4.940985436392079e-23,50,True,0.029883383355578427
France vs Australia,France,Australia,-3.3738143849372864,1.218310873844564,0.33769854515160946,8.1153482666236e-25,50,True,0.033514000988234906
France vs Canada,France,Canada,-3.335302994251251,1.100330321199176,0.30499600441272284,1.5255335834424224e-26,50,True,0.02832405409699335
United Kingdom vs Japan,United Kingdom,Japan,-3.2559768652915952,1.606314730234747,0.44524772707978105,3.735091658826799e-19,50,True,0.022687687794358397
United Kingdom vs China,United Kingdom,China,-3.236209270954132,1.502534139055811,0.41648121484673667,3.257258654633665e-20,50,True,0.026500193712457588
China vs Canada,China,Canada,-3.1296050143241883,1.573945763648594,0.43627550729673786,7.9985886398684495e-19,50,True,0.03216019756570748
Japan vs Indonesia,Japan,Indonesia,-3.069629487991333,1.3910879008756984,0.3855898936708203,1.2128791136787545e-20,50,True,0.018613810356103818
France vs Venezuela,France,Venezuela,-2.9858949828147887,1.8669778081360857,0.5174998460354667,2.9030392984275873e-15,50,True,0.027004113955613227
United States vs Venezuela,United States,Venezuela,-2.853450379371643,1.5613634279401631,0.43278786177491974,2.108532338988433e-17,50,True,0.01614178283272924
Japan vs Australia,Japan,Australia,-2.65754656791687,1.1667909770484648,0.32341795834251275,3.2931311075094165e-21,50,True,0.031729128549963743
United Kingdom vs France,United Kingdom,France,-2.466628973484039,1.253546295452419,0.34746530572990686,1.2067969610954726e-18,50,True,0.025802307501172878
France vs Indonesia,France,Indonesia,-2.2461548614501954,1.7217189878585415,0.4772361552720662,2.731941665886839e-12,50,True,0.016814001583962058
United States vs Indonesia,United States,Indonesia,-2.061583194732666,1.7519117246031832,0.485605154918795,6.197397574989798e-11,50,True,0.012927825335509242
United Kingdom vs Venezuela,United Kingdom,Venezuela,-2.050935933589935,1.6116322345677516,0.4467216640819408,5.925681425427419e-12,50,True,0.01999666133809392
United Kingdom vs Indonesia,United Kingdom,Indonesia,-2.0315574288368223,1.8375422545236118,0.5093407268450614,3.6339070514505906e-10,50,True,0.015677369901142265
China vs Australia,China,Australia,-1.9203239393234253,1.3795283122059094,0.38238573916465546,3.3948263298391883e-13,50,True,0.028942105128731986
France vs China,France,China,-1.742176525592804,1.5862319875739181,0.4396810748198249,4.358045792315772e-10,50,True,0.023527221745528664
Venezuela vs Canada,Venezuela,Canada,-0.9595380449295043,1.4821765110769658,0.4108383682639926,3.23589969557812e-05,50,True,0.034179208761034016
United States vs United Kingdom,United States,United Kingdom,-0.7701267625391484,0.6667474665753248,0.1848129687421103,1.0608559865526934e-10,50,True,0.9717933492549199
China vs Indonesia,China,Indonesia,-0.6454190039634704,1.4675966128700342,0.40679702666666934,0.003117633158096769,50,True,0.018593039518646246
Japan vs Venezuela,Japan,Venezuela,-0.5401027584075928,1.9610840271231471,0.543584759109717,0.05722353201397087,50,False,0.016424305979585902
France vs Japan,France,Japan,-0.5244346261024475,1.6301702830510214,0.45186014896059495,0.027330817163290548,50,True,0.02416686683295429
China vs Venezuela,China,Venezuela,-0.364483630657196,1.774563975613412,0.4918840385557962,0.15277799958186952,50,False,0.025266006159894414
Venezuela vs Australia,Venezuela,Australia,-0.3552341675758362,1.4469960742896768,0.40108684870037314,0.08886105447122156,50,False,0.02218795937333247
Venezuela vs Indonesia,Venezuela,Indonesia,-0.30284608125686646,1.444632525261367,0.4004317063345039,0.1446515111190476,50,False,0.026471290851451723
Canada vs Australia,Canada,Australia,0.878885018825531,1.0305440532560295,0.28565223784057314,2.100683300191548e-07,50,True,0.03452732403506567
Australia vs Indonesia,Australia,Indonesia,1.374301085472107,1.4161199768939188,0.39252843114508734,1.0843345096620855e-08,50,True,0.029270706844710517
China vs Japan,China,Japan,1.8801385569572449,1.0105016385801173,0.28009676392772653,1.0620570061538677e-17,50,True,0.02392385064264166
Canada vs Indonesia,Canada,Indonesia,3.2824337553977965,1.765492636553756,0.4893695916532944,1.0927983610066551e-17,50,True,0.03056654717217625
