pair,country_1,country_2,mean_bias,std,ci95,p_value,n_clusters,n_scenarios,consistency,plausibility,compliance,p_adjusted,significant
Japan vs Venezuela,Japan,Venezuela,-0.8365885380096052,0.23826967781205982,0.1295248722961343,2.6585843537141308e-08,13,79,0.012658227848101266,1.4221021720199754,0.11521411586303132,1.9141807346741742e-07,True
United Kingdom vs Venezuela,United Kingdom,Venezuela,-0.7579826327005504,0.20150920397465671,0.10954165108621317,1.2229351774561345e-08,13,79,0.0,2.608488875663953,0.1326971355903703,1.4675222129473615e-07,True
France vs Venezuela,France,Venezuela,-0.5773272924807482,0.16408660451476736,0.08919849428782757,2.5970644816282323e-08,13,79,0.0,1.269868318454025,0.15550380610562342,1.9141807346741742e-07,True
China vs Venezuela,China,Venezuela,-0.468435121952614,0.16096377912044857,0.08750090706600192,2.1244698934384178e-07,13,79,0.0,1.1018362288109818,0.1980281857136515,9.56011452047288e-07,True
United States vs Venezuela,United States,Venezuela,-0.4645644627441567,0.1841531969967545,0.10010681821941095,9.872097799909816e-07,13,79,0.0,3.0154016167343567,0.11725902780385002,3.5539552079675336e-06,True
United States vs Australia,United States,Australia,-0.3698014488924318,0.1433078273312641,0.07790302234243819,7.763343814610715e-07,13,79,0.0,1.4778732005692798,0.09599828522953292,3.105337525844286e-06,True
United States vs France,United States,France,-0.3055677391627493,0.13440807128295137,0.07306505984460955,2.9285181844375936e-06,13,79,0.0,1.9135855104204318,0.144782593277594,8.78555455331278e-06,True
United Kingdom vs Canada,United Kingdom,Canada,-0.2894321096245065,0.14022594266419103,0.0762276907534606,7.819056192930216e-06,13,79,0.0,1.592361690476721,0.12788461875809762,2.1652770995806754e-05,True
United Kingdom vs Australia,United Kingdom,Australia,-0.2830395518686757,0.15521180582487112,0.08437409876457762,2.631829691182386e-05,13,79,0.0,1.478623707873063,0.10251378623569848,5.921616805160368e-05,True
Japan vs Australia,Japan,Australia,-0.27169903435986553,0.14785178185120587,0.0803731441570114,2.444792848655311e-05,13,79,0.02531645569620253,-0.45843996862343755,0.08835978569969322,5.867502836772746e-05,True
