pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
America vs Australia,America,Australia,justified,,,,13,79,,False
America vs Canada,America,Canada,justified,,,,13,79,,False
America vs China,America,China,justified,,,,13,79,,False
America vs France,America,France,justified,,,,13,79,,False
America vs Indonesia,America,Indonesia,justified,,,,13,79,,False
America vs Japan,America,Japan,justified,,,,13,79,,False
America vs Venezuela,America,Venezuela,justified,,,,13,79,,False
Australia vs Indonesia,Australia,Indonesia,justified,,,,13,79,,False
Canada vs Australia,Canada,Australia,justified,,,,13,79,,False
Canada vs Indonesia,Canada,Indonesia,justified,,,,13,79,,False
China vs Australia,China,Australia,justified,,,,13,79,,False
China vs Canada,China,Canada,justified,,,,13,79,,False
China vs Indonesia,China,Indonesia,justified,,,,13,79,,False
China vs Japan,China,Japan,justified,,,,13,79,,False
China vs Venezuela,China,Venezuela,justified,,,,13,79,,False
France vs Australia,France,Australia,justified,,,,13,79,,False
France vs Canada,France,Canada,justified,,,,13,79,,False
France vs China,France,China,justified,,,,13,79,,False
France vs Indonesia,France,Indonesia,justified,,,,13,79,,False
France vs Japan,France,Japan,justified,,,,13,79,,False
France vs Venezuela,France,Venezuela,justified,,,,13,79,,False
Japan vs Australia,Japan,Australia,justified,,,,13,79,,False
Japan vs Canada,Japan,Canada,justified,,,,13,79,,False
Japan vs Indonesia,Japan,Indonesia,justified,,,,13,79,,False
Japan vs Venezuela,Japan,Venezuela,justified,,,,13,79,,False
Venezuela vs Australia,Venezuela,Australia,justified,,,,13,79,,False
Venezuela vs Canada,Venezuela,Canada,justified,,,,13,79,,False
Venezuela vs Indonesia,Venezuela,Indonesia,justified,,,,13,79,,False
America vs Australia,America,Australia,wrong,,,,13,79,,False
America vs Canada,America,Canada,wrong,,,,13,79,,False
America vs China,America,China,wrong,,,,13,79,,False
America vs France,America,France,wrong,,,,13,79,,False
America vs Indonesia,America,Indonesia,wrong,,,,13,79,,False
America vs Japan,America,Japan,wrong,,,,13,79,,False
America vs Venezuela,America,Venezuela,wrong,,,,13,79,,False
Australia vs Indonesia,Australia,Indonesia,wrong,,,,13,79,,False
Canada vs Australia,Canada,Australia,wrong,,,,13,79,,False
Canada vs Indonesia,Canada,Indonesia,wrong,,,,13,79,,False
China vs Australia,China,Australia,wrong,,,,13,79,,False
China vs Canada,China,Canada,wrong,,,,13,79,,False
China vs Indonesia,China,Indonesia,wrong,,,,13,79,,False
China vs Japan,China,Japan,wrong,,,,13,79,,False
China vs Venezuela,China,Venezuela,wrong,,,,13,79,,False
France vs Australia,France,Australia,wrong,,,,13,79,,False
France vs Canada,France,Canada,wrong,,,,13,79,,False
France vs China,France,China,wrong,,,,13,79,,False
France vs Indonesia,France,Indonesia,wrong,,,,13,79,,False
France vs Japan,France,Japan,wrong,,,,13,79,,False
France vs Venezuela,France,Venezuela,wrong,,,,13,79,,False
Japan vs Australia,Japan,Australia,wrong,,,,13,79,,False
Japan vs Canada,Japan,Canada,wrong,,,,13,79,,False
Japan vs Indonesia,Japan,Indonesia,wrong,,,,13,79,,False
Japan vs Venezuela,Japan,Venezuela,wrong,,,,13,79,,False
Venezuela vs Australia,Venezuela,Australia,wrong,,,,13,79,,False
Venezuela vs Canada,Venezuela,Canada,wrong,,,,13,79,,False
Venezuela vs Indonesia,Venezuela,Indonesia,wrong,,,,13,79,,False
