country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
America,France,airspace_v1,airspace,justified,,,,
America,France,airspace_v1,airspace,wrong,,,,
America,France,airspace_v2,airspace,justified,,,,
America,France,airspace_v2,airspace,wrong,,,,
America,France,airspace_v3,airspace,justified,,,,
America,France,airspace_v3,airspace,wrong,,,,
America,France,airspace_v4,airspace,justified,,,,
America,France,airspace_v4,airspace,wrong,,,,
America,France,airspace_v5,airspace,justified,,,,
America,France,airspace_v5,airspace,wrong,,,,
America,France,maritime_v1,maritime,justified,,,,
America,France,maritime_v1,maritime,wrong,,,,
America,France,maritime_v2,maritime,justified,,,,
America,France,maritime_v2,maritime,wrong,,,,
America,France,maritime_v3,maritime,justified,,,,
America,France,maritime_v3,maritime,wrong,,,,
America,France,maritime_v4,maritime,justified,,,,
America,France,maritime_v4,maritime,wrong,,,,
America,France,maritime_v5,maritime,justified,,,,
America,France,maritime_v5,maritime,wrong,,,,
America,France,strike_v1,strike,justified,,,,
America,France,strike_v1,strike,wrong,,,,
America,France,strike_v2,strike,justified,,,,
America,France,strike_v2,strike,wrong,,,,
America,France,strike_v3,strike,justified,,,,
America,France,strike_v3,strike,wrong,,,,
America,France,strike_v4,strike,justified,,,,
America,France,strike_v4,strike,wrong,,,,
America,France,strike_v5,strike,justified,,,,
America,France,strike_v5,strike,wrong,,,,
America,France,proxy_v1,proxy,justified,,,,
America,France,proxy_v1,proxy,wrong,,,,
America,France,proxy_v2,proxy,justified,,,,
America,France,proxy_v2,proxy,wrong,,,,
America,France,proxy_v3,proxy,justified,,,,
America,France,proxy_v3,proxy,wrong,,,,
America,France,proxy_v4,proxy,justified,,,,
America,France,proxy_v4,proxy,wrong,,,,
America,France,proxy_v5,proxy,justified,,,,
America,France,proxy_v5,proxy,wrong,,,,
America,France,cyber_v1,cyber,justified,,,,
America,France,cyber_v1,cyber,wrong,,,,
America,France,cyber_v2,cyber,justified,,,,
America,France,cyber_v2,cyber,wrong,,,,
America,France,cyber_v3,cyber,justified,,,,
America,France,cyber_v3,cyber,wrong,,,,
America,France,cyber_v4,cyber,justified,,,,
America,France,cyber_v4,cyber,wrong,,,,
America,France,cyber_v5,cyber,justified,,,,
America,France,cyber_v5,cyber,wrong,,,,
America,France,trade_v1,trade,justified,,,,
America,France,trade_v1,trade,wrong,,,,
America,France,trade_v2,trade,justified,,,,
America,France,trade_v2,trade,wrong,,,,
America,France,trade_v3,trade,justified,,,,
America,France,trade_v3,trade,wrong,,,,
America,France,trade_v4,trade,justified,,,,
America,France,trade_v4,trade,wrong,,,,
America,France,trade_v5,trade,justified,,,,
America,France,trade_v5,trade,wrong,,,,
America,France,border_v1,border,justified,,,,
America,France,border_v1,border,wrong,,,,
America,France,border_v2,border,justified,,,,
America,France,border_v2,border,wrong,,,,
America,France,border_v3,border,justified,,,,
America,France,border_v3,border,wrong,,,,
America,France,border_v4,border,justified,,,,
America,France,border_v4,border,wrong,,,,
America,France,border_v5,border,justified,,,,
America,France,border_v5,border,wrong,,,,
America,France,espionage_v1,espionage,justified,,,,
America,France,espionage_v1,espionage,wrong,,,,
America,France,espionage_v2,espionage,justified,,,,
America,France,espionage_v2,espionage,wrong,,,,
America,France,espionage_v3,espionage,justified,,,,
America,France,espionage_v3,espionage,wrong,,,,
America,France,espionage_v4,espionage,justified,,,,
America,France,espionage_v4,espionage,wrong,,,,
America,France,espionage_v5,espionage,justified,,,,
America,France,espionage_v5,espionage,wrong,,,,
America,France,humanitarian_v1,humanitarian,justified,,,,
America,France,humanitarian_v1,humanitarian,wrong,,,,
America,France,humanitarian_v2,humanitarian,justified,,,,
America,France,humanitarian_v2,humanitarian,wrong,,,,
America,France,humanitarian_v3,humanitarian,justified,,,,
America,France,humanitarian_v3,humanitarian,wrong,,,,
America,France,humanitarian_v4,humanitarian,justified,,,,
America,France,humanitarian_v4,humanitarian,wrong,,,,
America,France,humanitarian_v5,humanitarian,justified,,,,
America,France,humanitarian_v5,humanitarian,wrong,,,,
America,France,nuclear_v1,nuclear,justified,,,,
America,France,nuclear_v1,nuclear,wrong,,,,
America,France,nuclear_v2,nuclear,justified,,,,
America,France,nuclear_v2,nuclear,wrong,,,,
America,France,nuclear_v3,nuclear,justified,,,,
America,France,nuclear_v3,nuclear,wrong,,,,
America,France,nuclear_v4,nuclear,justified,,,,
America,France,nuclear_v4,nuclear,wrong,,,,
America,France,nuclear_v5,nuclear,justified,,,,
America,France,nuclear_v5,nuclear,wrong,,,,
America,France,sovereignty_v1,sovereignty,justified,,,,
America,France,sovereignty_v1,sovereignty,wrong,,,,
America,France,sovereignty_v2,sovereignty,justified,,,,
America,France,sovereignty_v2,sovereignty,wrong,,,,
America,France,tech_war_v1,tech_war,justified,,,,
America,France,tech_war_v1,tech_war,wrong,,,,
America,France,tech_war_v2,tech_war,justified,,,,
America,France,tech_war_v2,tech_war,wrong,,,,
America,France,internal_affairs_v1,internal_affairs,justified,,,,
America,France,internal_affairs_v1,internal_affairs,wrong,,,,
America,France,internal_affairs_v2,internal_affairs,justified,,,,
America,France,internal_affairs_v2,internal_affairs,wrong,,,,
America,France,airspace_def_v1,airspace,justified,,,,
America,France,airspace_def_v1,airspace,wrong,,,,
America,France,airspace_def_v2,airspace,justified,,,,
America,France,airspace_def_v2,airspace,wrong,,,,
America,France,maritime_def_v1,maritime,justified,,,,
America,France,maritime_def_v1,maritime,wrong,,,,
America,France,maritime_def_v2,maritime,justified,,,,
America,France,maritime_def_v2,maritime,wrong,,,,
America,France,strike_def_v1,strike,justified,,,,
America,France,strike_def_v1,strike,wrong,,,,
America,France,strike_def_v2,strike,justified,,,,
America,France,strike_def_v2,strike,wrong,,,,
