pair,country_1,country_2,mean_bias,ci95,p_value,n_clusters,n_scenarios,compliance,p_adjusted,significant
United Kingdom vs China,United Kingdom,China,-2.983466105336624,0.8496642861693414,1.6930399662037418e-05,13,79,1.0189821494750289e-05,6.094943878333471e-05,True
France vs China,France,China,-2.463885083740011,0.9445463464299545,0.0002563278569197562,13,79,1.8583196986228895e-05,0.000659128774936516,True
Japan vs Australia,Japan,Australia,-2.3438358516483513,0.3896721280607917,5.890281699584142e-08,13,79,3.362660937879095e-05,2.120501411850291e-06,True
United States vs Australia,United States,Australia,-2.254742331529557,0.8894696487105103,0.000326107679118779,13,79,5.225453546524697e-05,0.0007826584298850696,True
Venezuela vs Australia,Venezuela,Australia,-2.1800881148257973,1.1195242603507705,0.002453818755471657,13,79,5.144532699867476e-05,0.004649340799841035,True
Canada vs Australia,Canada,Australia,-1.8958190247252742,0.38392070819867563,5.091501079488379e-07,13,79,2.5923137898242615e-05,8.931501312039067e-06,True
United States vs China,United States,China,-1.8542388383602746,1.0727746072248368,0.005390227050400961,13,79,1.4649338531145987e-05,0.00924038922925879,True
United States vs France,United States,France,-1.525762353834511,0.7300974599809527,0.001482882445266777,13,79,2.5437561340474158e-05,0.002965764890533554,True
France vs Australia,France,Australia,-1.4329212454212457,0.4827717363417071,8.244927986520181e-05,13,79,3.209173949606487e-05,0.0002473478395956054,True
Venezuela vs Canada,Venezuela,Canada,-1.3420615632892092,0.9276791907246231,0.015021448754845058,13,79,3.927572488572177e-05,0.024580552507928278,True
United Kingdom vs Canada,United Kingdom,Canada,-1.146356776361841,0.5028522866550886,0.0007680288238822383,13,79,1.8516065801570193e-05,0.001728064853735036,True
United States vs Indonesia,United States,Indonesia,-1.1290130050288516,0.9241667266427485,0.033859908207338946,13,79,4.7039823852563896e-05,0.050789862311008425,False
United States vs United Kingdom,United States,United Kingdom,-0.9768200013906754,0.5520240814238373,0.004645776736844706,13,79,1.459839179679734e-05,0.008362398126320471,True
United States vs Canada,United States,Canada,-0.9423466664913307,0.8328628101148567,0.046634923034356096,13,79,2.4987312385495404e-05,0.06715428916947279,False
Japan vs Indonesia,Japan,Indonesia,-0.6607715245131607,0.6423230057449488,0.06671818744631144,13,79,0.00010757671398932993,0.09237902877181584,False
Venezuela vs Indonesia,Venezuela,Indonesia,-0.5360719851958446,0.8350406381230217,0.23222799721962645,13,79,5.6711872289686784e-05,0.26968412580343715,False
United Kingdom vs Australia,United Kingdom,Australia,-0.4089705744594816,0.4680508179967026,0.11248122422334317,13,79,4.088844525690075e-05,0.13963186455311566,False
Japan vs Canada,Japan,Canada,-0.33941450223817926,0.38561123898411237,0.11012798098961503,13,79,1.622925452142356e-05,0.13963186455311566,False
United Kingdom vs France,United Kingdom,France,-0.24233538237674707,0.4294274382403282,0.2903771591547891,13,79,2.003808314988581e-05,0.3167750827143154,False
Japan vs Venezuela,Japan,Venezuela,-0.20966404960269022,0.6952593545865786,0.5654459925703584,13,79,2.6889426325612948e-05,0.581601592358083,False
United States vs Japan,United States,Japan,0.09851165006355107,0.8348861446470472,0.8210025817856795,13,79,3.052850835357833e-05,0.8210025817856795,False
United States vs Venezuela,United States,Venezuela,0.4053584473064399,1.1739303737455917,0.511375749154451,13,79,8.508130228025856e-05,0.5414566755753012,False
China vs Australia,China,Australia,0.5465745192307693,0.6652169248568238,0.133278389434297,13,79,3.447591781894903e-05,0.15993406732115642,False
France vs Canada,France,Canada,0.5938072344322344,0.44563658719852217,0.02273089729944274,13,79,1.815645009553136e-05,0.035578795773040815,True
Canada vs Indonesia,Canada,Indonesia,0.6740785256410255,0.6648811068921693,0.07022357741590331,13,79,1.7045019456440863e-05,0.09363143655453775,False
United Kingdom vs Venezuela,United Kingdom,Venezuela,0.6975622403050935,1.1781660820096367,0.26842575429419774,13,79,3.779190088625641e-05,0.3019789735809725,False
France vs Japan,France,Japan,1.0592090201465203,0.3344729587030941,4.538923730870589e-05,13,79,2.8639465293060518e-05,0.00014854659482849201,True
China vs Canada,China,Canada,1.5026756939870534,0.5751187223004401,0.0002527937814034732,13,79,1.7648012152436773e-05,0.000659128774936516,True
United Kingdom vs Indonesia,United Kingdom,Indonesia,1.6832860135483307,0.7481135565498603,0.0008502353193744694,13,79,3.099086330492483e-05,0.0018004983233812293,True
United Kingdom vs Japan,United Kingdom,Japan,1.9471591156624521,0.4130339413150706,8.354768249665378e-07,13,79,2.5221190254886293e-05,8.931501312039067e-06,True
France vs Indonesia,France,Indonesia,2.7373512009561285,0.6399091239574293,2.3182276409967693e-06,13,79,3.690928298167956e-05,1.3891467790772864e-05,True
France vs Venezuela,France,Venezuela,3.2739383117619885,0.8641111020615221,7.989003790249147e-06,13,79,2.942646561344199e-05,3.595051705612116e-05,True
Australia vs Indonesia,Australia,Indonesia,3.4697515973241337,0.7999296611586503,2.006534131588678e-06,13,79,3.586173857487416e-05,1.3891467790772864e-05,True
China vs Venezuela,China,Venezuela,3.4800967261904763,0.8256424725030878,2.7011187370947232e-06,13,79,2.6525424686866133e-05,1.3891467790772864e-05,True
China vs Indonesia,China,Indonesia,3.785957053467468,1.0331242369884597,1.1131097216834057e-05,13,79,0.00011786263764075705,4.452438886733623e-05,True
China vs Japan,China,Japan,4.043183373880909,0.8716773876990948,9.923890346710075e-07,13,79,2.8553400012412858e-05,8.931501312039067e-06,True
