pair,country_1,country_2,mean_bias,ci95,p_value,n_clusters,n_scenarios,compliance,p_adjusted,significant
United Kingdom vs Venezuela,United Kingdom,Venezuela,-4.708728995046241,1.156314652216535,3.850121039668214e-06,13,79,0.00013597298578763776,1.64150012963131e-05,True
United States vs Venezuela,United States,Venezuela,-4.244534772065989,1.0886263269749246,5.988922924729229e-06,13,79,0.00020776694116867592,2.1560122529025226e-05,True
France vs Venezuela,France,Venezuela,-2.623734673300942,0.7769357492816493,2.4688157290107803e-05,13,79,0.00652297827304177,5.9251577496258725e-05,True
United States vs Canada,United States,Canada,-1.988758218073842,0.49143368289193023,4.103750324078275e-06,13,79,0.0018285855005268845,1.64150012963131e-05,True
United States vs Australia,United States,Australia,-1.6152357725757462,0.22275473272040502,7.19022515302443e-09,13,79,0.0019662501398114243,1.853700702301615e-07,True
United Kingdom vs Australia,United Kingdom,Australia,-1.5586923264741432,0.24074661295389482,2.587973953883472e-08,13,79,0.0018947316094962057,3.105568744660166e-07,True
France vs China,France,China,-1.5335036175591605,0.27214471413675523,1.2121734301856095e-07,13,79,0.0109637548496058,8.727648697336388e-07,True
United States vs China,United States,China,-1.505299932986921,0.24168051362536377,3.9930094090136446e-08,13,79,0.0009761830797669802,3.5937084681122804e-07,True
United Kingdom vs China,United Kingdom,China,-1.1671877078201975,0.26296985614985047,1.5781499420808087e-06,13,79,0.0008150402219557764,8.116199702129873e-06,True
United Kingdom vs Indonesia,United Kingdom,Indonesia,-1.005519425643151,0.44263961031596044,0.00078952272681485,13,79,0.0005103921546848294,0.0013534675316826002,True
United States vs Japan,United States,Japan,-0.8707466724494152,0.24403478010066443,1.4474210305279018e-05,13,79,0.0008039045521135358,4.3422630915837056e-05,True
United Kingdom vs Canada,United Kingdom,Canada,-0.7838671529365383,0.567727122492347,0.01908936372087256,13,79,0.0014355843803377777,0.025452484961163414,True
United States vs United Kingdom,United States,United Kingdom,-0.7350903819332193,0.19234704706013334,7.326185182390691e-06,13,79,0.00027222319993845933,2.397660605146044e-05,True
China vs Venezuela,China,Venezuela,-0.6401864766201256,1.0593837500891057,0.25917235156459506,13,79,0.000871584476648367,0.300974343752433,False
France vs Japan,France,Japan,-0.5898117975437598,0.1715862316704798,2.081417543801257e-05,13,79,0.010277166668276145,5.763925505911174e-05,True
France vs Australia,France,Australia,-0.46626745126186275,0.18011787496545045,0.00027345291352767596,13,79,0.007904972833427325,0.0005181213098419123,True
France vs Canada,France,Canada,-0.449412363352793,0.42067288762030636,0.05817110944259329,13,79,0.00750476798115167,0.06980533133111194,False
United Kingdom vs Japan,United Kingdom,Japan,-0.4015324988774273,0.2772664201684665,0.014939943141252401,13,79,0.0006490847968029999,0.021513518123403456,True
United States vs France,United States,France,-0.033444391198510864,0.22397580089385644,0.7747733430159186,13,79,0.005011378227772387,0.8203482455462667,False
United States vs Indonesia,United States,Indonesia,-0.01337243310404401,0.3663416919342575,0.9441424832193847,13,79,0.0006045019410572878,0.9441424832193847,False
Japan vs Venezuela,Japan,Venezuela,0.1061562924158005,0.8311061533375648,0.8065524787892691,13,79,0.0004683729906451336,0.8295968353261054,False
China vs Canada,China,Canada,0.13427198326194673,0.6710883862658483,0.7018168742681048,13,79,0.002375624605610673,0.765618408292478,False
Japan vs Canada,Japan,Canada,0.2192543478675815,0.4481507419389569,0.35652408400861824,13,79,0.0014144309561448952,0.4010895945096955,False
Japan vs Australia,Japan,Australia,0.22420873222770274,0.1354253251995267,0.007021812406255613,13,79,0.001433032065451079,0.010990662896747916,True
United Kingdom vs France,United Kingdom,France,0.3330237113430604,0.27407553348203373,0.03466438433648476,13,79,0.005434555202773292,0.044568494146908985,True
France vs Indonesia,France,Indonesia,0.4240033617823115,0.26105117542176937,0.00787044838144711,13,79,0.006319934438822542,0.011805672572170666,True
China vs Japan,China,Japan,0.5578389726715648,0.23479415050216487,0.0005540284248476808,13,79,0.0010471250311010775,0.0009972511647258256,True
Canada vs Indonesia,Canada,Indonesia,0.5810045663253729,0.52283074667897,0.050065347149635044,13,79,0.0020781528029510526,0.062150086116788336,False
Venezuela vs Canada,Venezuela,Canada,0.6426641862471024,0.4620007871148112,0.018386964460274595,13,79,0.0010475515647856053,0.025452484961163414,True
Japan vs Indonesia,Japan,Indonesia,0.6615406034630296,0.2520457961690976,0.0002432356082979911,13,79,0.0009550967283237887,0.0004864712165959822,True
Canada vs Australia,Canada,Australia,0.7631710676046518,0.4356285733967918,0.00495177407445579,13,79,0.003105049212066493,0.008102903030927656,True
China vs Indonesia,China,Indonesia,1.0182756722628414,0.3433038245609459,8.295684523911795e-05,13,79,0.0010733769916155067,0.00017567331932989683,True
China vs Australia,China,Australia,1.1684874501420466,0.2403106074866107,6.007403332109507e-07,13,79,0.0021728903492422937,3.6044419992657042e-06,True
Australia vs Indonesia,Australia,Indonesia,1.3240792201115534,0.18847105191529379,1.0298337235008972e-08,13,79,0.002337585774689366,1.853700702301615e-07,True
Venezuela vs Indonesia,Venezuela,Indonesia,2.1821980240580805,0.6658080831636676,3.284202882911294e-05,13,79,0.0008295660731200161,7.389456486550411e-05,True
Venezuela vs Australia,Venezuela,Australia,2.2220517069428833,0.6537322339850788,2.3194828063099133e-05,13,79,0.0015376816765082038,5.9251577496258725e-05,True
