pair,country_1,country_2,mean_bias,ci95,p_value,n_clusters,n_scenarios,compliance,p_adjusted,significant
Japan vs Indonesia,Japan,Indonesia,-2.5187157733099803,0.13422981323583624,1.0471090900570744e-13,13,79,0.5478711288974767,3.7695927242054674e-12,True
Venezuela vs Indonesia,Venezuela,Indonesia,-2.220839062016526,0.4507542171864912,5.216041390752355e-07,13,79,0.3649780570470036,1.4444422312852674e-06,True
China vs Indonesia,China,Indonesia,-2.203525635676506,0.28456608574448583,3.397820832854426e-09,13,79,0.6072915029986548,1.262356190180032e-08,True
Japan vs Canada,Japan,Canada,-1.2762992162625868,0.16469525059224452,3.3678174716695708e-09,13,79,0.5834160236112786,1.262356190180032e-08,True
Japan vs Australia,Japan,Australia,-1.0775526641926048,0.23362888183643873,1.053560398389955e-06,13,79,0.5192189597270053,2.3705108963773986e-06,True
China vs Australia,China,Australia,-1.0562328347465495,0.2482098296866524,2.447381916038828e-06,13,79,0.5498820694600229,5.075389517276305e-06,True
Australia vs Indonesia,Australia,Indonesia,-0.9654876392184597,0.2854329764634448,2.4304848333848847e-05,13,79,0.47249487788847666,3.9771570000843565e-05,True
Japan vs Venezuela,Japan,Venezuela,-0.8389134423418358,0.3247654243488346,0.0002784443812640982,13,79,0.525118554920431,0.00041766657189614727,True
United States vs United Kingdom,United States,United Kingdom,-0.6570226402728113,0.3444480465333036,0.0028290191234546166,13,79,0.2587929794606039,0.0037720254979394887,True
France vs Indonesia,France,Indonesia,-0.6131238560755174,0.21132469916600952,0.00010124592256775792,13,79,0.4836684484590166,0.00015847187880170803,True
France vs Australia,France,Australia,-0.5586652901473936,0.32084933753946815,0.005146873217404378,13,79,0.5077919310976307,0.006617408422377057,True
China vs Canada,China,Canada,-0.46843520478232886,0.20659410513900386,0.0008010328752134034,13,79,0.5640033711283429,0.001153487340307301,True
Venezuela vs Australia,Venezuela,Australia,-0.43303571357613513,0.47687547696826066,0.10042069685447708,13,79,0.42829793847933145,0.10632779666944632,False
China vs Venezuela,China,Venezuela,-0.39245651635058193,0.2698101647430827,0.014597064157668288,13,79,0.5355149801006627,0.01812049343710546,True
United States vs Indonesia,United States,Indonesia,-0.22856613757487915,0.24099893012423354,0.08773040815150976,13,79,0.4107287890406007,0.09570589980164701,False
Canada vs Australia,Canada,Australia,-0.19619963173464539,0.18897319556139042,0.06456282019096153,13,79,0.3667407145879687,0.07263317271483172,False
Canada vs Indonesia,Canada,Indonesia,-0.1242130308688342,0.32622237155543266,0.46985892887962866,13,79,0.442220351895622,0.4832834697047609,False
France vs Venezuela,France,Venezuela,0.13427197207243016,0.38769873235723257,0.5101394314546838,13,79,0.4468563360529405,0.5101394314546838,False
Venezuela vs Canada,Venezuela,Canada,0.3727821741566989,0.3163146325291526,0.039483827014660175,13,79,0.5157994247791975,0.04738059241759221,True
United States vs Venezuela,United States,Venezuela,0.4344131366568088,0.38914556159445246,0.0491840325741852,13,79,0.3450424992721115,0.05711694105389249,False
China vs Japan,China,Japan,0.466718173125288,0.2398555733531111,0.0024670039723385835,13,79,0.5411059614907442,0.0034158516540072695,True
France vs Japan,France,Japan,0.8333047130605676,0.13597176447839282,4.782876328266925e-08,13,79,0.5266503355633301,1.5653049801600847e-07,True
France vs Canada,France,Canada,0.8492445033111852,0.2341337124825121,1.231761358420985e-05,13,79,0.4823722928575394,2.11159090015026e-05,True
United States vs Australia,United States,Australia,0.8895130548182699,0.2157765770882446,3.3958280946732046e-06,13,79,0.4368938875815711,6.112490570411768e-06,True
United Kingdom vs Indonesia,United Kingdom,Indonesia,0.9522590592461758,0.23069204940762586,3.3500133762177852e-06,13,79,0.45798583661173675,6.112490570411768e-06,True
France vs China,France,China,1.0058951470659767,0.21457857664839108,8.870384758414431e-07,13,79,0.561968395794526,2.128892342019463e-06,True
United Kingdom vs Venezuela,United Kingdom,Venezuela,1.122404450649607,0.2646846465834122,2.5376947586381526e-06,13,79,0.4202548065913411,5.075389517276305e-06,True
United States vs France,United States,France,1.3010957758010606,0.27127098611001643,6.953362460625989e-07,13,79,0.39082692438111144,1.7880074898752542e-06,True
United Kingdom vs Australia,United Kingdom,Australia,1.5863150642261987,0.28518765689713044,1.397629858946839e-07,13,79,0.5137086946054213,4.192889576840517e-07,True
United Kingdom vs France,United Kingdom,France,2.0060530145569015,0.25977805791354963,3.5065449727223107e-09,13,79,0.4384496198260984,1.262356190180032e-08,True
United States vs Canada,United States,Canada,2.3351881626354625,0.22094803026992935,9.251292918524383e-11,13,79,0.42231632187291324,5.55077575111463e-10,True
United Kingdom vs Canada,United Kingdom,Canada,2.5202107388818726,0.30556332553468946,1.6468112447991648e-09,13,79,0.5073074140919595,8.469314973252848e-09,True
United States vs Japan,United States,Japan,2.7648107351491316,0.24401114749249764,4.093401382666998e-11,13,79,0.40385580582478414,2.9472489955202385e-10,True
United Kingdom vs Japan,United Kingdom,Japan,2.8890967799922884,0.21423762066854862,5.2688888383866095e-12,13,79,0.4582009025971698,6.322666606063932e-11,True
United States vs China,United States,China,3.387314720125358,0.25784232670399587,7.176363685692493e-12,13,79,0.3754163109392768,6.458727317123244e-11,True
United Kingdom vs China,United Kingdom,China,3.627399305102156,0.26587227829269394,4.591856054454034e-12,13,79,0.46116183323510535,6.322666606063932e-11,True
