country_1,country_2,scenario,scenario_type,diff_fwd,diff_rev,bias,compliance
United States,United Kingdom,airspace_v1,airspace,-0.8359375,0.7031249701976776,-0.1328125298023224,0.1135834866685005
United States,United Kingdom,airspace_v2,airspace,-1.9609374850988388,1.2890624441206455,-0.6718750409781933,0.17230624389272084
United States,United Kingdom,airspace_v3,airspace,-1.140625,-0.1796874850988388,-1.3203124850988388,0.10484017920446356
United States,United Kingdom,airspace_v4,airspace,-1.859375,0.2578125447034836,-1.6015624552965164,0.11783216120585649
United States,United Kingdom,airspace_v5,airspace,-1.2109375,0.9687500223517418,-0.2421874776482582,0.11524533449731383
United States,United Kingdom,maritime_v1,maritime,0.6718750447034836,0.039062485098838806,0.7109375298023224,0.40544720019689984
United States,United Kingdom,maritime_v2,maritime,0.0781249850988388,0.1718750298023224,0.2500000149011612,0.32844670882536553
United States,United Kingdom,maritime_v3,maritime,-0.2656249850988388,-0.1874999701976776,-0.4531249552965164,0.462873689263931
United States,United Kingdom,maritime_v4,maritime,-0.1171875,0.0703125149011612,-0.046874985098838806,0.32902970676058163
United States,United Kingdom,maritime_v5,maritime,0.4765625074505806,-0.08593747019767761,0.390625037252903,0.37113658265380783
United States,United Kingdom,strike_v1,strike,-0.8593749552965164,-0.3828124552965164,-1.2421874105930328,0.21296271690531265
United States,United Kingdom,strike_v2,strike,-0.7031249850988388,-0.0859375,-0.7890624850988388,0.11941099458207308
United States,United Kingdom,strike_v3,strike,-1.2812500074505806,0.03125,-1.2500000074505806,0.1842857559130426
United States,United Kingdom,strike_v4,strike,-0.7656249701976776,-0.015625,-0.7812499701976776,0.19139897524729568
United States,United Kingdom,strike_v5,strike,-1.1640624850988388,0.1640625149011612,-0.9999999701976776,0.21363732153231704
United States,United Kingdom,proxy_v1,proxy,-0.40625,0.4062500223517418,2.2351741790771484e-08,0.346920422929183
United States,United Kingdom,proxy_v2,proxy,-1.4687499701976776,0.757812462747097,-0.7109375074505806,0.2797629164295223
United States,United Kingdom,proxy_v3,proxy,-1.015624962747097,0.3437500074505806,-0.6718749552965164,0.3577261056892226
United States,United Kingdom,proxy_v4,proxy,-0.6640624850988388,-0.01562497764825821,-0.679687462747097,0.3579682345349675
United States,United Kingdom,proxy_v5,proxy,-0.7031249403953552,0.3906249552965164,-0.3124999850988388,0.33426973108856745
United States,United Kingdom,cyber_v1,cyber,-1.7656249850988388,0.5859374850988388,-1.1796875,0.24053976446950195
United States,United Kingdom,cyber_v2,cyber,-0.5781249850988388,-0.05468747019767761,-0.6328124552965164,0.3282504905513436
United States,United Kingdom,cyber_v3,cyber,-1.4687500149011612,0.10937502980232239,-1.3593749850988388,0.3393691916496734
United States,United Kingdom,cyber_v4,cyber,-1.5859374776482582,0.3750000298023224,-1.2109374478459358,0.2284444967097709
United States,United Kingdom,cyber_v5,cyber,-0.5859374850988388,0.3515625149011612,-0.2343749701976776,0.20695688985185834
United States,United Kingdom,trade_v1,trade,-0.4218749850988388,-0.1328125,-0.5546874850988388,0.16088155753651243
United States,United Kingdom,trade_v2,trade,-0.8359374850988388,0.4218750074505806,-0.4140624776482582,0.2693550223515965
United States,United Kingdom,trade_v3,trade,-0.5,-0.05468747019767761,-0.5546874701976776,0.2595684378630424
United States,United Kingdom,trade_v4,trade,-1.335937462747097,0.03125,-1.304687462747097,0.3184546162362199
United States,United Kingdom,trade_v5,trade,-0.4453124701976776,-0.03124995529651642,-0.47656242549419403,0.29591838961722766
United States,United Kingdom,border_v1,border,-1.1171874850988388,1.0625000484287739,-0.054687436670064926,0.25587311080838754
United States,United Kingdom,border_v2,border,0.1875,0.9140625149011612,1.1015625149011612,0.16108647181755603
United States,United Kingdom,border_v3,border,0.3125000149011612,0.07812504470348358,0.3906250596046448,0.20598766463552498
United States,United Kingdom,border_v4,border,-0.2968750298023224,0.3359375149011612,0.039062485098838806,0.3090311255115325
