country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
America,France,airspace_v1,airspace,justified,-0.9843750223517418,0.1015625,-0.4414062611758709,0.9920481693822158
America,France,airspace_v1,airspace,wrong,-0.8906249925494194,0.031249985098838806,-0.4296875037252903,0.9911342642803165
America,France,airspace_v2,airspace,justified,-0.6640625,-0.03125,-0.34765625,0.9923936294195168
America,France,airspace_v2,airspace,wrong,-0.5937499776482582,-0.1640625149011612,-0.3789062462747097,0.9921881667614534
America,France,airspace_v3,airspace,justified,-0.2734375,-1.1171875,-0.6953125,0.9901096489648951
America,France,airspace_v3,airspace,wrong,-0.3750000149011612,-0.8671874701976776,-0.6210937425494194,0.9899035111599542
America,France,airspace_v4,airspace,justified,-1.1718750223517418,0.1328125,-0.5195312611758709,0.9913016296272137
America,France,airspace_v4,airspace,wrong,-1.0625000223517418,0.031249985098838806,-0.5156250186264515,0.9906328120210945
America,France,airspace_v5,airspace,justified,-1.3671874850988388,0.046875,-0.6601562425494194,0.9921223691364046
America,France,airspace_v5,airspace,wrong,-1.1171875223517418,-0.1875000149011612,-0.6523437686264515,0.9929031275456932
America,France,maritime_v1,maritime,justified,0.4453125,-1.8125000074505806,-0.6835937537252903,0.9913533089137718
America,France,maritime_v1,maritime,wrong,0.0546875,-1.3515625186264515,-0.6484375093132257,0.9928434218214826
America,France,maritime_v2,maritime,justified,-0.007812544703483582,-1.3906250447034836,-0.6992187947034836,0.9920224750797719
America,France,maritime_v2,maritime,wrong,-0.1796875298023224,-1.1875000037252903,-0.6835937667638063,0.9930802432788159
America,France,maritime_v3,maritime,justified,-0.6171874850988388,-1.3906249776482582,-1.0039062313735485,0.9918498416873109
America,France,maritime_v3,maritime,wrong,-0.5859375447034836,-1.1484375521540642,-0.8671875484287739,0.9930370895602046
America,France,maritime_v4,maritime,justified,-0.2187500149011612,-1.1093750223517418,-0.6640625186264515,0.9913730857350417
America,France,maritime_v4,maritime,wrong,-0.3828125298023224,-0.9374999776482582,-0.6601562537252903,0.9926010703637781
America,France,maritime_v5,maritime,justified,0.7421874701976776,-1.929687462747097,-0.5937499962747097,0.9895305024826111
America,France,maritime_v5,maritime,wrong,-0.0703124850988388,-1.2499999478459358,-0.6601562164723873,0.9910303159321869
America,France,strike_v1,strike,justified,-0.7734375,-1.8593749701976776,-1.3164062350988388,0.9905084126079925
America,France,strike_v1,strike,wrong,-1.281249988824129,-1.0937500447034836,-1.1875000167638063,0.991443173287204
America,France,strike_v2,strike,justified,-1.3281250074505806,-0.7890625,-1.0585937537252903,0.9912896681083689
America,France,strike_v2,strike,wrong,-1.5078125186264515,-0.4687499701976776,-0.9882812444120646,0.9913657324442682
America,France,strike_v3,strike,justified,-0.5312499850988388,-0.9375,-0.7343749925494194,0.9943775221234803
America,France,strike_v3,strike,wrong,-0.8203125149011612,-0.5859374776482582,-0.7031249962747097,0.9939616718412816
America,France,strike_v4,strike,justified,-0.46875,-0.9765625,-0.72265625,0.9926412558105466
America,France,strike_v4,strike,wrong,-0.6718749776482582,-0.7812500074505806,-0.7265624925494194,0.9930097657716371
America,France,strike_v5,strike,justified,-1.617187563329935,-0.1874999850988388,-0.9023437742143869,0.9925609973956698
America,France,strike_v5,strike,wrong,-1.890625011175871,-0.015624985098838806,-0.9531249981373549,0.9922058638635578
America,France,proxy_v1,proxy,justified,-0.6328124776482582,-1.0234375,-0.8281249888241291,0.9933119051271798
America,France,proxy_v1,proxy,wrong,-0.6250000223517418,-1.0937499925494194,-0.8593750074505806,0.9934057437776402
America,France,proxy_v2,proxy,justified,-0.84375,-0.8828124925494194,-0.8632812462747097,0.9921749719640561
America,France,proxy_v2,proxy,wrong,-0.8437500074505806,-1.0156250223517418,-0.9296875149011612,0.9920063489981973
America,France,proxy_v3,proxy,justified,-1.671875011175871,-0.7421875,-1.2070312555879354,0.9916270853074903
America,France,proxy_v3,proxy,wrong,-1.3203124813735485,-0.8984375447034836,-1.109375013038516,0.9922673789129115
America,France,proxy_v4,proxy,justified,-0.6484375223517418,-1.1953124478459358,-0.9218749850988388,0.9921205060755209
America,France,proxy_v4,proxy,wrong,-0.6562500223517418,-1.242187488824129,-0.9492187555879354,0.9920189647276855
America,France,proxy_v5,proxy,justified,-1.5312499329447746,-0.2812500149011612,-0.9062499739229679,0.9941154021097894
America,France,proxy_v5,proxy,wrong,-1.1171875223517418,-0.4375,-0.7773437611758709,0.9949474065918154
America,France,cyber_v1,cyber,justified,-1.6093749403953552,-0.1562499850988388,-0.882812462747097,0.9931883177157979
America,France,cyber_v1,cyber,wrong,-1.3593750298023224,-0.4296875149011612,-0.8945312723517418,0.9932603879624391
America,France,cyber_v2,cyber,justified,-2.265624951571226,-0.1796875149011612,-1.2226562332361937,0.9878036678520921
