country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
China,justified,0.14964759870018557,0.03271903680208873,1.1511455302530048e-06,13,3.6836656968096153e-06,True
Japan,justified,0.1394271649408565,0.04431086331097616,4.8187343577215795e-05,13,8.566638858171696e-05,True
America,justified,0.09408523106079085,0.059276131332864954,0.009004380242888226,13,0.0110823141450932,True
Indonesia,justified,-0.041286466189005624,0.04308795608805564,0.08488204845454358,13,0.08488204845454358,False
France,justified,-0.047267465101197274,0.03842033073886693,0.03283277048644431,13,0.035021621852207266,True
Canada,justified,-0.05543154708881268,0.03156467057715247,0.0048763729399806,13,0.006501830586640799,True
Venezuela,justified,-0.11943599561249817,0.04908175621559779,0.00045667503991102097,13,0.0007306800638576335,True
Australia,justified,-0.11973852071031921,0.02123217336852597,1.2013352303749254e-07,13,6.302440511566052e-07,True
China,wrong,0.2748356544159739,0.03303225280928423,1.48900700742633e-09,13,1.191205605941064e-08,True
America,wrong,0.192299517114271,0.059489655560300767,3.7432416573871566e-05,13,7.486483314774313e-05,True
Japan,wrong,0.11505347304923383,0.06135293098926826,0.0031746563891645934,13,0.004617682020603045,True
Venezuela,wrong,0.08334968677487503,0.06140664840102705,0.0207765956857252,13,0.023744680783685943,True
France,wrong,-0.12171719645694373,0.027996896853478632,1.9592035362194336e-06,13,5.224542763251823e-06,True
Canada,wrong,-0.14566980709951938,0.026476309897233707,1.575610127891513e-07,13,6.302440511566052e-07,True
Australia,wrong,-0.19821101541312688,0.0167537230721459,2.464441316171587e-11,13,3.9431061058745394e-10,True
Indonesia,wrong,-0.19994031238476373,0.05047275365440251,5.100174039334871e-06,13,1.165754066133685e-05,True
