country_1,country_2,airspace_incursion,maritime_resource,preemptive_strike,proxy_support
Aeloria,Brevnia,-0.1874054048984446,-0.052230091149257585,0.31492379181900265,-0.06031689946307095
Aeloria,Junwei,-0.08463281841034653,-0.05178177162181674,0.3310932718023505,-0.012625929502167121
Aeloria,Zembala,-0.12527879487421578,-0.033266165878166776,0.355200436550164,0.015593512878147475
Germany,Japan,-0.3817206890398628,0.252306452545084,0.22211677038704059,-0.01892389696633212
Germany,Russia,-0.3455980361082529,0.16803919440944481,0.28078743626737124,-0.07770176223511316
Germany,South Korea,-0.32137966594245304,0.17409382878520452,0.3155693446841732,-0.02352427640980792
India,Russia,-0.30914313102174273,0.29014282060278607,0.33123342228224306,-0.02621775203436949
Japan,China,-0.28170349338645817,0.15656724739927874,0.4107458163104827,-0.03969166874361796
Junwei,Khemara,-0.20516746159147403,-0.1412273430547124,0.3031722210400605,-0.16859228102202406
Saudi Arabia,Iran,-0.18289720083541394,0.19227953800745468,0.4008540433380363,-0.02440707735650771
South Korea,Saudi Arabia,-0.2921784101035856,0.2486314107352161,0.3250062471438322,-0.0764701720937977
UK,France,-0.2998197603177247,0.1541001352823348,0.306037831943617,-0.13079436871183492
UK,India,-0.30858991298105143,0.18305781406728827,0.3120102186032183,-0.2172661149570616
UK,Nigeria,-0.3480443181403956,0.11029053037920988,0.16757978934936157,-0.22592847630827118
USA,China,-0.22878430811193085,0.19236517798712316,0.33631994109900587,-0.07170602195254905
Zembala,Junwei,-0.1497334975509328,-0.10925461151370064,0.32322451372920846,-0.16333057547401164
Zembala,Kotundi,-0.18628013504537422,-0.13946522367284397,0.29070464689803455,-0.12249087792658242
