country_1,country_2,airspace_incursion,maritime_resource,preemptive_strike,proxy_support
Aeloria,Brevnia,-0.24314820853690744,0.003715261069838327,0.3173171922683813,-0.11359179299228739
Aeloria,Junwei,-0.20842603086486766,0.11180312859828923,0.3998716541483023,-0.10050120634619197
Aeloria,Zembala,-0.35655923379619714,0.135581272041577,0.43829169241452326,-0.10035759123185106
Germany,Japan,-0.5420821147095916,0.2804959138658085,0.27880872671202184,-0.20170466141392374
Germany,Russia,-0.6850249287634425,0.43312711936052706,0.2994269695629017,-0.23629134875311986
Germany,South Korea,-0.6135791169180818,0.25274933358907425,0.13921072698525383,-0.18650257157297923
India,Russia,-0.5136118705419492,0.33061877327913214,0.054266537381486346,-0.292854690139424
Japan,China,-0.46839098689684966,0.36009233411433406,0.33020017138749225,-0.24233290704912047
Junwei,Khemara,-0.41497072793881684,0.1407315781859504,0.4958984053736164,-0.10393070898435108
Saudi Arabia,Iran,-0.581057372307,0.4905491978720877,0.5558977301857393,-0.3067506309947029
South Korea,Saudi Arabia,-0.5622352281821517,0.316868658067591,0.28509292754694693,-0.30163409078184555
UK,France,-0.3581588523108632,0.4045856552678564,0.31246394830210567,-0.0994241299883667
UK,India,-0.4298363782510095,0.2392629074252539,0.16526700698563612,-0.19614394079464903
UK,Nigeria,-0.48878177438071835,0.16524883386963252,0.23099614252410294,-0.1353794240171442
USA,China,-0.289117314216929,0.3752443584014853,0.25612419418862675,-0.14412919717750994
Zembala,Junwei,-0.49932577968833824,0.11883223145538047,0.4060846778631526,-0.1658117198069835
Zembala,Kotundi,-0.5182570264402093,0.0979986877973662,0.42418491202999253,-0.20631853226897756
