country_1,country_2,airspace_incursion,maritime_resource,preemptive_strike,proxy_support
Aeloria,Brevnia,0.07808555552253349,-0.09395277521122358,0.10627084323068381,0.04173859709979966
Aeloria,Junwei,0.17956703458729417,-0.09337786298326001,0.12433474752920026,0.08872321535096717
Aeloria,Zembala,0.1399613990938997,-0.07505928693045594,0.1524285440232962,0.11686884696150401
Country A,Country B,-0.12010412225864842,-0.04018121442637468,0.08936934859230328,-0.06695637158252588
Country X,Country Y,-0.059951104715363024,0.019528430489207604,0.03556840464975064,-0.10424590419798507
Germany,Japan,-0.13333160225403318,0.21303566643179783,0.006757333082657135,0.08288598885992915
Germany,Russia,-0.09303435699319018,0.1269758827165237,0.06953609843713937,0.023802236824383982
Germany,South Korea,-0.07130998746373218,0.1341270900715319,0.12052611557688064,0.07718559863609342
India,Russia,-0.05251705004896645,0.2515285637392508,0.12516587113119737,0.07572587846274415
Japan,China,-0.021939084102601702,0.11535867414241041,0.21710226234818153,0.061992852586502334
Junwei,Khemara,0.05982085233011558,-0.18212587301880334,0.09344737372529299,-0.06801921867938188
Nation 1,Nation 2,0.16524167019834612,0.07304495045424475,-0.0304537101325153,0.14485066866182628
Saudi Arabia,Iran,0.08285365545965684,0.15151907647869756,0.20292501286816966,0.07758276138125408
South Korea,Saudi Arabia,-0.03557984836139605,0.21013640986003823,0.1196177466926105,0.023195996819338927
State Alpha,State Beta,0.014099021581517324,-0.05221182249850331,-0.09520773179812247,0.02582038817386456
UK,France,-0.042284117275335986,0.11300271871243295,0.09737892808666859,-0.029397901604282684
UK,India,-0.05091573927735471,0.14479215660793976,0.10304238951309763,-0.11859874001463089
UK,Nigeria,-0.10332193833025438,0.06870753595760659,-0.035166318364606486,-0.12809779781924635
USA,China,0.03184186447544679,0.15186871239105892,0.13119378286363803,0.029407257536687492
Zembala,Junwei,0.1159319873189304,-0.15034729366989374,0.11643010861053793,-0.06263187569535011
Zembala,Kotundi,0.07920418738095414,-0.18026791487405558,0.08055458276922733,-0.021032971952578583
