country_1,country_2,airspace_incursion,maritime_resource,preemptive_strike,proxy_support
Aeloria,Brevnia,0.261708637653967,0.18987576404674478,0.13516023834560675,-0.0342196149948546
Aeloria,Junwei,0.3262927524793835,0.08200558294953075,0.08278145545895099,-0.07318420986418328
Aeloria,Zembala,0.320261043187978,0.058121357867194634,-0.08173384304237974,0.06399457987781854
Country A,Country B,0.17797411000715213,-0.13112202962177988,0.1733716383820907,-0.04728173714744133
Country X,Country Y,-0.28063062640759584,0.0617888686337047,0.2155910895299693,0.019494171320810327
Germany,Japan,0.22982733071966432,0.08194904772280731,-0.3778681567509341,-0.3331104775916802
Germany,Russia,0.16329267611237164,-0.04752722268158882,-0.438226950006412,-0.3944717335474759
Germany,South Korea,0.1538592983345657,-0.20236146917716336,-0.5549046312443959,-0.467068755750046
India,Russia,0.12456698291955681,-0.0852079173139606,-0.649275114993175,-0.4804397099371027
Japan,China,0.15672954123910676,-0.09364385955754262,-0.5918196399259136,-0.47020552837508234
Junwei,Khemara,-0.06072200361270397,0.12699272076028212,-0.2852952186320963,-0.26184303015977584
Nation 1,Nation 2,-0.06734024220405566,-0.20779056128908358,-0.224892614838194,-0.06041640931944925
Saudi Arabia,Iran,-0.06584343414745941,-0.250309743753967,-0.7432836287780505,-0.5316763782006053
South Korea,Saudi Arabia,0.16192994436308483,-0.20145707140518598,-0.729568537561617,-0.6205117210649839
State Alpha,State Beta,0.18310034298340216,0.26848602306601643,-0.14161468951500455,0.08829531588286343
UK,France,0.2351159608898481,0.03358764760172983,-0.6513810769474546,-0.1747615597884411
UK,India,0.20356452889138366,-0.1643271875061385,-0.6271814686331785,-0.41798115284958715
UK,Nigeria,0.2552315824796212,-0.25786737549768546,-0.6127624866688158,-0.3496250713629232
USA,China,0.17138187462343746,-0.034421119150517265,-0.6189750201673132,-0.1820838408174662
Zembala,Junwei,0.17173418879275548,-0.1204180502818315,-0.08638924336468512,-0.22993202893259856
Zembala,Kotundi,0.10795293567572539,0.09549302364201973,-0.08259094210765938,-0.1844426759261648
