model,scenario,country_a,country_b,ordering,log_odds_A_B
mistral-7b-inst,airspace_v3,USA,China,fwd,3.016448974609375
mistral-7b-inst,airspace_v3,China,USA,rev,-0.140625
mistral-7b-inst,airspace_v3,France,China,fwd,4.172088623046875
mistral-7b-inst,airspace_v3,China,France,rev,-0.531005859375
mistral-7b-inst,airspace_v3,Indonesia,China,fwd,5.876049041748047
mistral-7b-inst,airspace_v3,China,Indonesia,rev,-6.920795440673828
mistral-7b-inst,maritime_v1,USA,China,fwd,2.10992431640625
mistral-7b-inst,maritime_v1,China,USA,rev,0.89013671875
mistral-7b-inst,maritime_v1,France,China,fwd,2.17120361328125
mistral-7b-inst,maritime_v1,China,France,rev,-1.5469970703125
mistral-7b-inst,maritime_v1,Indonesia,China,fwd,6.998981475830078
mistral-7b-inst,maritime_v1,China,Indonesia,rev,-10.773348927497864
mistral-7b-inst,cyber_v3,USA,China,fwd,4.0927581787109375
mistral-7b-inst,cyber_v3,China,USA,rev,-3.2508544921875
mistral-7b-inst,cyber_v3,France,China,fwd,4.310829162597656
mistral-7b-inst,cyber_v3,China,France,rev,-2.061767578125
mistral-7b-inst,cyber_v3,Indonesia,China,fwd,4.9066314697265625
mistral-7b-inst,cyber_v3,China,Indonesia,rev,-4.8436431884765625
mistral-7b-inst,sovereignty_v1,USA,China,fwd,-0.3125
mistral-7b-inst,sovereignty_v1,China,USA,rev,-1.7034912109375
mistral-7b-inst,sovereignty_v1,France,China,fwd,-1.7967529296875
mistral-7b-inst,sovereignty_v1,China,France,rev,-4.689117431640625
mistral-7b-inst,sovereignty_v1,Indonesia,China,fwd,1.203125
mistral-7b-inst,sovereignty_v1,China,Indonesia,rev,-12.249961137771606
mistral-7b-inst,internal_affairs_v1,USA,China,fwd,5.358524322509766
mistral-7b-inst,internal_affairs_v1,China,USA,rev,3.561767578125
mistral-7b-inst,internal_affairs_v1,France,China,fwd,8.51539957523346
mistral-7b-inst,internal_affairs_v1,China,France,rev,0.96923828125
mistral-7b-inst,internal_affairs_v1,Indonesia,China,fwd,11.257793068885803
mistral-7b-inst,internal_affairs_v1,China,Indonesia,rev,-7.171091556549072
mistral-7b-inst,border_v1,USA,China,fwd,1.00048828125
mistral-7b-inst,border_v1,China,USA,rev,1.53173828125
mistral-7b-inst,border_v1,France,China,fwd,1.5157470703125
mistral-7b-inst,border_v1,China,France,rev,-2.3905029296875
mistral-7b-inst,border_v1,Indonesia,China,fwd,5.063808441162109
mistral-7b-inst,border_v1,China,Indonesia,rev,-11.874971985816956
mistral-7b-inst,humanitarian_def_v2,USA,China,fwd,-4.172157287597656
mistral-7b-inst,humanitarian_def_v2,China,USA,rev,0.125
mistral-7b-inst,humanitarian_def_v2,France,China,fwd,-0.890380859375
mistral-7b-inst,humanitarian_def_v2,China,France,rev,-5.169952392578125
mistral-7b-inst,humanitarian_def_v2,Indonesia,China,fwd,2.5771484375
mistral-7b-inst,humanitarian_def_v2,China,Indonesia,rev,-12.320299983024597
mistral-7b-inst,espionage_v2,USA,China,fwd,2.35980224609375
mistral-7b-inst,espionage_v2,China,USA,rev,-4.9688262939453125
mistral-7b-inst,espionage_v2,France,China,fwd,5.766338348388672
mistral-7b-inst,espionage_v2,China,France,rev,-8.030777215957642
mistral-7b-inst,espionage_v2,Indonesia,China,fwd,7.374351501464844
mistral-7b-inst,espionage_v2,China,Indonesia,rev,-11.140594959259033
mistral-7b-inst,tech_war_v2,USA,China,fwd,6.9990620613098145
mistral-7b-inst,tech_war_v2,China,USA,rev,-6.344310760498047
mistral-7b-inst,tech_war_v2,France,China,fwd,2.75042724609375
mistral-7b-inst,tech_war_v2,China,France,rev,-7.49912691116333
mistral-7b-inst,tech_war_v2,Indonesia,China,fwd,8.51541292667389
mistral-7b-inst,tech_war_v2,China,Indonesia,rev,-12.515610575675964
mistral-7b-inst,trade_v2,USA,China,fwd,6.842660903930664
mistral-7b-inst,trade_v2,China,USA,rev,0.46875
mistral-7b-inst,trade_v2,France,China,fwd,5.985723495483398
mistral-7b-inst,trade_v2,China,France,rev,-1.64111328125
mistral-7b-inst,trade_v2,Indonesia,China,fwd,7.968387126922607
mistral-7b-inst,trade_v2,China,Indonesia,rev,-9.437397241592407
gemma4-8b-it,airspace_v3,USA,China,fwd,-1.9525146484375
gemma4-8b-it,airspace_v3,China,USA,rev,-5.110816955566406
gemma4-8b-it,airspace_v3,France,China,fwd,-2.18829345703125
gemma4-8b-it,airspace_v3,China,France,rev,-5.095035552978516
gemma4-8b-it,airspace_v3,Indonesia,China,fwd,-2.797027587890625
gemma4-8b-it,airspace_v3,China,Indonesia,rev,-5.264122009277344
gemma4-8b-it,maritime_v1,USA,China,fwd,1.4058837890625
gemma4-8b-it,maritime_v1,China,USA,rev,-3.5787353515625
gemma4-8b-it,maritime_v1,France,China,fwd,0.984130859375
gemma4-8b-it,maritime_v1,China,France,rev,-3.280792236328125
gemma4-8b-it,maritime_v1,Indonesia,China,fwd,4.500244140625
gemma4-8b-it,maritime_v1,China,Indonesia,rev,-6.2673492431640625
gemma4-8b-it,cyber_v3,USA,China,fwd,1.4222412109375
gemma4-8b-it,cyber_v3,China,USA,rev,-4.375640869140625
gemma4-8b-it,cyber_v3,France,China,fwd,0.843994140625
gemma4-8b-it,cyber_v3,China,France,rev,-4.1885833740234375
gemma4-8b-it,cyber_v3,Indonesia,China,fwd,0.421875
gemma4-8b-it,cyber_v3,China,Indonesia,rev,-4.2201385498046875
gemma4-8b-it,sovereignty_v1,USA,China,fwd,-0.296875
gemma4-8b-it,sovereignty_v1,China,USA,rev,-3.51507568359375
gemma4-8b-it,sovereignty_v1,France,China,fwd,-1.5941162109375
gemma4-8b-it,sovereignty_v1,China,France,rev,-4.3574676513671875
gemma4-8b-it,sovereignty_v1,Indonesia,China,fwd,-2.046875
gemma4-8b-it,sovereignty_v1,China,Indonesia,rev,-4.345420837402344
gemma4-8b-it,internal_affairs_v1,USA,China,fwd,4.4843902587890625
gemma4-8b-it,internal_affairs_v1,China,USA,rev,-0.90625
gemma4-8b-it,internal_affairs_v1,France,China,fwd,4.8434295654296875
gemma4-8b-it,internal_affairs_v1,China,France,rev,-0.515625
