pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Venezuela vs Canada,Venezuela,Canada,justified,-0.4172955524084037,0.1642541135747522,0.00032013566015000626,13,79,0.0007469832070166812,True
USA vs Canada,USA,Canada,justified,-0.285342201366849,0.21936696003055392,0.025490279332951254,13,79,0.040784446932722006,True
USA vs France,USA,France,justified,-0.1868131846979887,0.16908188824306153,0.05120156192365018,13,79,0.07352019148011307,False
France vs China,France,China,justified,-0.15370264334845932,0.23604892156435298,0.22601541312119916,13,79,0.27514919858232945,False
USA vs China,USA,China,justified,-0.06275764703170664,0.1723125607485201,0.4889735116766063,13,79,0.547650333077799,False
China vs Canada,China,Canada,justified,-0.04873529655518583,0.28650116751312393,0.7445812821025312,13,79,0.7581191235953045,False
USA vs Japan,USA,Japan,justified,-0.030620549781049253,0.13138889923237224,0.6559847967681216,13,79,0.6931160116795246,False
Japan vs Canada,Japan,Canada,justified,-0.025125797487234168,0.12456173496148101,0.6995163732874862,13,79,0.7254243871129487,False
France vs Japan,France,Japan,justified,0.03614355493213251,0.12050553181143121,0.5675193024601158,13,79,0.6231584497601271,False
Venezuela vs Indonesia,Venezuela,Indonesia,justified,0.08018512103783142,0.09480433684857419,0.12325715006586124,13,79,0.1605209396206565,False
USA vs Indonesia,USA,Indonesia,justified,0.08587972310978506,0.1454132436947297,0.2695660249506111,13,79,0.32118505100498346,False
France vs Canada,France,Canada,justified,0.11644359610115748,0.0990140578799128,0.039833835447915814,13,79,0.060289048245494206,False
China vs Japan,China,Japan,justified,0.13161014983225394,0.15213466935835893,0.11573297823012588,13,79,0.156959646667178,False
USA vs Venezuela,USA,Venezuela,justified,0.19405262215632685,0.10818453072642924,0.004257083126394046,13,79,0.008220574313036778,True
USA vs Australia,USA,Australia,justified,0.21863520754720409,0.16478058774618493,0.02320111273209908,13,79,0.03821359744110436,True
Australia vs Indonesia,Australia,Indonesia,justified,0.2518887736835066,0.15159594428959697,0.006870588597053824,13,79,0.012411385852742391,True
China vs Australia,China,Australia,justified,0.30202512772610557,0.2620330209093384,0.04327799784004872,13,79,0.0637781020800718,False
France vs Venezuela,France,Venezuela,justified,0.3847296898118243,0.14452237636180024,0.00021554103233765916,13,79,0.0005247955569960397,True
Venezuela vs Australia,Venezuela,Australia,justified,0.3917691574596852,0.16673909139203888,0.0006054621707817644,13,79,0.001304072367837646,True
Canada vs Australia,Canada,Australia,justified,0.43741363611878203,0.08616634826631817,3.78169821600864e-07,13,79,4.555104626934376e-06,True
Japan vs Venezuela,Japan,Venezuela,justified,0.44608470646417386,0.17894742778602837,0.00037474020295883635,13,79,0.0008394180546277934,True
Japan vs Australia,Japan,Australia,justified,0.4660307743869963,0.1444371422428166,3.8088859281515346e-05,13,79,0.00012546918351557997,True
Canada vs Indonesia,Canada,Indonesia,justified,0.5528835702077494,0.1730761843727481,4.184040505231762e-05,13,79,0.00012896504531351735,True
France vs Australia,France,Australia,justified,0.5556600401594305,0.10053228407113242,1.4983712762285036e-07,13,79,2.79695971562654e-06,True
France vs Indonesia,France,Indonesia,justified,0.6179023990480214,0.10356707743483615,6.44674528053114e-08,13,79,2.79695971562654e-06,True
Japan vs Indonesia,Japan,Indonesia,justified,0.6368465136466436,0.16419327745365025,6.313491977031774e-06,13,79,3.214141370125267e-05,True
China vs Indonesia,China,Indonesia,justified,0.6675242353385429,0.2099641069228745,4.375599751708625e-05,13,79,0.00012896504531351735,True
China vs Venezuela,China,Venezuela,justified,1.149495298684297,0.20243157989316768,1.1136618106036425e-07,13,79,2.79695971562654e-06,True
France vs China,France,China,unjustified,-0.8552538021005482,0.20813369045035882,3.509666424224673e-06,13,79,1.965413197565817e-05,True
France vs Venezuela,France,Venezuela,unjustified,-0.6580811622547244,0.13810966771375371,7.45722880340139e-07,13,79,6.960080216507964e-06,True
Japan vs Venezuela,Japan,Venezuela,unjustified,-0.46746203528268127,0.14011061994215213,2.7723760924839602e-05,13,79,0.00011089504369935841,True
USA vs Venezuela,USA,Venezuela,unjustified,-0.45003415047487033,0.11775116497464029,7.321948059680938e-06,13,79,3.416909094517771e-05,True
France vs Japan,France,Japan,unjustified,-0.40338807659263226,0.12480281746296136,3.746337028792349e-05,13,79,0.00012546918351557997,True
USA vs China,USA,China,unjustified,-0.36489784812035325,0.16302403139946642,0.0008852285085745641,13,79,0.0018360294992657625,True
USA vs Japan,USA,Japan,unjustified,-0.1651212475211411,0.13683189472175,0.03571061072077917,13,79,0.05554983889898982,False
USA vs Indonesia,USA,Indonesia,unjustified,-0.13495878189663152,0.14495402318789766,0.09300357765693681,13,79,0.13020500871971155,False
France vs Canada,France,Canada,unjustified,-0.050165952634388944,0.0919911954698554,0.3061648234422649,13,79,0.35719229401597574,False
France vs Australia,France,Australia,unjustified,-0.0031194663487183727,0.13733205968859025,0.9652214322543485,13,79,0.9652214322543485,False
Canada vs Indonesia,Canada,Indonesia,unjustified,0.03522784842456257,0.1479016451407747,0.648975543843503,13,79,0.6931160116795246,False
Australia vs Indonesia,Australia,Indonesia,unjustified,0.05460196376467745,0.11475414669165825,0.3694109537968434,13,79,0.42218394719639246,False
France vs Indonesia,France,Indonesia,unjustified,0.06796585458416149,0.09206471860841031,0.1735242971364612,13,79,0.21594134754759614,False
Canada vs Australia,Canada,Australia,unjustified,0.10685653783287813,0.12426769721201045,0.11771973500038349,13,79,0.156959646667178,False
China vs Venezuela,China,Venezuela,unjustified,0.13181077420409607,0.159480438125628,0.1312091107749495,13,79,0.1669934137135721,False
USA vs Australia,USA,Australia,unjustified,0.24098531309909255,0.14835216992070155,0.007864771593290328,13,79,0.013763350288258074,True
USA vs Canada,USA,Canada,unjustified,0.24997120392965083,0.14939189573791176,0.006585175451849733,13,79,0.012292327510119501,True
Japan vs Canada,Japan,Canada,unjustified,0.27555496107880495,0.17958356460455305,0.01091463024332664,13,79,0.018521796776554297,True
USA vs France,USA,France,unjustified,0.3964342048128166,0.12943951672266465,6.189245360459454e-05,13,79,0.0001732988700928647,True
China vs Japan,China,Japan,unjustified,0.47679112910040594,0.21426428719413343,0.0009259420466455469,13,79,0.0018518840932910939,True
Japan vs Indonesia,Japan,Indonesia,unjustified,0.5171986045021625,0.11911058243256273,1.984506203371926e-06,13,79,1.4302782413641484e-05,True
Japan vs Australia,Japan,Australia,unjustified,0.5800418685018316,0.13395823677853136,2.043254630520212e-06,13,79,1.4302782413641484e-05,True
Venezuela vs Canada,Venezuela,Canada,unjustified,0.5949229505693457,0.17155909582960735,1.9116843441938313e-05,13,79,8.23494794421958e-05,True
China vs Australia,China,Australia,unjustified,0.6129515587631315,0.2088518564251564,9.129916513722296e-05,13,79,0.00023239787489474933,True
Venezuela vs Australia,Venezuela,Australia,unjustified,0.7308259123647176,0.1449399854369986,4.067057702619978e-07,13,79,4.555104626934376e-06,True
China vs Canada,China,Canada,unjustified,0.7632493865252992,0.25274912584639975,7.044995144903039e-05,13,79,0.00018786653719741437,True
Venezuela vs Indonesia,Venezuela,Indonesia,unjustified,0.842118316956361,0.2034282876753708,3.253214340186474e-06,13,79,1.965413197565817e-05,True
China vs Indonesia,China,Indonesia,unjustified,0.8986373066093223,0.275484033094076,3.43494338109765e-05,13,79,0.00012546918351557997,True
