country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Canada,justified,0.19340919238802248,0.0307369308457628,3.5622850045551565e-08,13,1.13993120145765e-07,True
Australia,justified,0.15799819942893217,0.02737925049130881,9.322433894716007e-08,13,2.485982371924269e-07,True
France,justified,0.03663047944930978,0.012833322088295953,0.00011716356679010266,13,0.0001562180890534702,True
USA,justified,0.016682970379969016,0.02532951775192295,0.22104421367214774,13,0.22104421367214774,False
Japan,justified,-0.015318000385043575,0.01334442792191977,0.044007187141998506,13,0.04694099961813174,True
Indonesia,justified,-0.031111258263872715,0.018005608737331428,0.005401695178712656,13,0.0061733659185287506,True
Venezuela,justified,-0.1571331205307533,0.0303495680712519,3.05564877003492e-07,13,6.984340045794103e-07,True
China,justified,-0.20115846246656385,0.04584668374822621,1.780253464389776e-06,13,3.560506928779552e-06,True
Venezuela,unjustified,0.0971290910999573,0.011052367986883038,7.918501912416676e-10,13,1.2669603059866682e-08,True
Australia,unjustified,0.05962169611722247,0.008930121437949197,1.8315947759007986e-08,13,9.768505471470926e-08,True
Canada,unjustified,0.045765771997935606,0.010580744237180915,2.066161978143537e-06,13,3.673176850032955e-06,True
Indonesia,unjustified,0.027900918604721266,0.012106071682598373,0.0007052027404756752,13,0.0008679418344316002,True
Japan,unjustified,-0.033387367035131184,0.008364673078171025,4.722419465961231e-06,13,7.55587114553797e-06,True
France,unjustified,-0.043926104150755374,0.006769356214358654,2.5235450629328088e-08,13,1.0094180251731235e-07,True
China,unjustified,-0.0441038674343044,0.014816597414467968,8.032605706273273e-05,13,0.0001168379011821567,True
USA,unjustified,-0.10900013919964566,0.014871890248239745,6.3650058828523834e-09,13,5.092004706281907e-08,True
