pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Canada,China,Canada,justified,-0.35646407306876593,0.06185850807287223,9.469176337266612e-08,13,79,3.5862007514451205e-07,True
China vs Australia,China,Australia,justified,-0.33158363662523666,0.0567074894988306,8.058814245944829e-08,13,79,3.542825177625269e-07,True
Venezuela vs Canada,Venezuela,Canada,justified,-0.25863773162875864,0.044940662770441286,9.605894869942287e-08,13,79,3.5862007514451205e-07,True
Venezuela vs Australia,Venezuela,Australia,justified,-0.20914792137104515,0.03812413826130563,1.6264293268084442e-07,13,79,5.357649547133698e-07,True
Japan vs Canada,Japan,Canada,justified,-0.19599503147733077,0.032211185375604794,5.180883481553343e-08,13,79,2.6375406815180657e-07,True
China vs Indonesia,China,Indonesia,justified,-0.18598093093123846,0.06087102384508111,6.3280307555956e-05,13,79,8.241156332868687e-05,True
Japan vs Australia,Japan,Australia,justified,-0.17001292258228137,0.031319618446530834,1.8257183180354664e-07,13,79,5.680012544999229e-07,True
France vs Canada,France,Canada,justified,-0.16524485339011466,0.031280533261844705,2.4560196709081444e-07,13,79,7.238794819518741e-07,True
France vs Australia,France,Australia,justified,-0.15030945926195097,0.03142003806341501,7.148337018978741e-07,13,79,1.6388701599493524e-06,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.1478480562881563,0.03453756782814997,2.301034166990499e-06,13,79,4.156706882305417e-06,True
USA vs Canada,USA,Canada,justified,-0.13551262669920267,0.04205599352624527,3.857423028542817e-05,13,79,5.4003922399599434e-05,True
China vs Japan,China,Japan,justified,-0.13334088922638596,0.04462088419259985,7.752134961834987e-05,13,79,9.866353587789983e-05,True
USA vs Australia,USA,Australia,justified,-0.09254629828799993,0.034707701147888445,0.00021252687731071365,13,79,0.00025872837237826007,True
USA vs France,USA,France,justified,-0.015895737778572807,0.02928273214994663,0.3082885886273369,13,79,0.3257388860968088,False
China vs Venezuela,China,Venezuela,justified,0.016153216123198852,0.03756157974537134,0.4157743593824707,13,79,0.4311734097299696,False
Canada vs Australia,Canada,Australia,justified,0.03297990125232127,0.010096073607902671,3.389653167481773e-05,13,79,4.8671942917687e-05,True
USA vs Japan,USA,Japan,justified,0.03491401361240136,0.025234618666285985,0.0188920423697495,13,79,0.021590905565428,True
USA vs Indonesia,USA,Indonesia,justified,0.03520076360294233,0.033477797178781556,0.06167558758293647,13,79,0.06772221381655769,False
Japan vs Indonesia,Japan,Indonesia,justified,0.04481489783077886,0.02501762040622001,0.004293887141330463,13,79,0.0050095349982188725,True
France vs Japan,France,Japan,justified,0.06061041621225221,0.017021889291952298,1.4771259544803245e-05,13,79,2.2746043311001235e-05,True
France vs Indonesia,France,Indonesia,justified,0.07719494530678668,0.017716798504037852,1.9145184374523587e-06,13,79,3.5737677499110697e-06,True
USA vs Venezuela,USA,Venezuela,justified,0.12107895634004048,0.03659775984078868,3.0044569730579475e-05,13,79,4.4276208024011856e-05,True
USA vs China,USA,China,justified,0.16954172187017433,0.03340456638540496,3.7895901858580723e-07,13,79,1.0105573828954859e-06,True
France vs Venezuela,France,Venezuela,justified,0.17091536783227773,0.03773340995441533,1.275086749162333e-06,13,79,2.550173498324666e-06,True
Japan vs Venezuela,Japan,Venezuela,justified,0.1761505941317959,0.03537313065629477,4.6513431344020605e-07,13,79,1.1839782523932519e-06,True
Australia vs Indonesia,Australia,Indonesia,justified,0.18536705912633258,0.03175983693824799,8.224415590915803e-08,13,79,3.542825177625269e-07,True
Canada vs Indonesia,Canada,Indonesia,justified,0.20903012919966335,0.03278278295482828,3.071846858585612e-08,13,79,1.9113713786754922e-07,True
France vs China,France,China,justified,0.2473512016673446,0.0530297170074667,9.353487341968591e-07,13,79,1.9399825598157076e-06,True
USA vs Australia,USA,Australia,unjustified,-0.16188521808757012,0.01722056311005646,3.6253154909304807e-10,13,79,6.075062185970864e-09,True
USA vs Canada,USA,Canada,unjustified,-0.16134020833523716,0.024012081889726863,1.704695886172774e-08,13,79,1.193287120320942e-07,True
USA vs Venezuela,USA,Venezuela,unjustified,-0.14236712229230028,0.015380578715830399,4.3393301328363317e-10,13,79,6.075062185970864e-09,True
Japan vs Venezuela,Japan,Venezuela,unjustified,-0.126486042371163,0.012712751095086532,1.8728735323494574e-10,13,79,6.075062185970864e-09,True
China vs Venezuela,China,Venezuela,unjustified,-0.1232531871032584,0.01547067737317197,2.452404681228446e-09,13,79,2.7466932429758595e-08,True
France vs Venezuela,France,Venezuela,unjustified,-0.11292071053724148,0.012152436773838714,4.149520077324865e-10,13,79,6.075062185970864e-09,True
USA vs Indonesia,USA,Indonesia,unjustified,-0.10304705815000849,0.016861964105921914,4.935910580126913e-08,13,79,2.6375406815180657e-07,True
France vs Australia,France,Australia,unjustified,-0.09457842869199677,0.012652320884023852,5.08411045850422e-09,13,79,4.745169761270605e-08,True
France vs Canada,France,Canada,unjustified,-0.08753717264958792,0.01191744924333523,6.208672153054815e-09,13,79,4.966937722443852e-08,True
China vs Australia,China,Australia,unjustified,-0.08527943898579139,0.018232368077192876,9.081989414049876e-07,13,79,1.9399825598157076e-06,True
China vs Indonesia,China,Indonesia,unjustified,-0.08244623418474371,0.02975422932777965,0.00015226428248380422,13,79,0.0001894844404242897,True
China vs Canada,China,Canada,unjustified,-0.07904004611265963,0.01811992618490962,1.8922613538972702e-06,13,79,3.5737677499110697e-06,True
USA vs Japan,USA,Japan,unjustified,-0.07860925616252988,0.015030246012128495,2.738180696554691e-07,13,79,7.666905950353135e-07,True
Japan vs Australia,Japan,Australia,unjustified,-0.06782224987234388,0.016109315746581473,2.733705885759316e-06,13,79,4.783985300078804e-06,True
USA vs France,USA,France,unjustified,-0.06693381120215405,0.01848423930709188,1.2521880764646531e-05,13,79,2.0035009223434452e-05,True
Japan vs Canada,Japan,Canada,unjustified,-0.0662471292874752,0.01666300076519235,4.9163241554699105e-06,13,79,8.342853112312575e-06,True
France vs Indonesia,France,Indonesia,unjustified,-0.06327084975910711,0.01123652995149246,1.2218357557786821e-07,13,79,4.2764251452253875e-07,True
Japan vs Indonesia,Japan,Indonesia,unjustified,-0.05540124831837176,0.014497356170569988,7.330328793611713e-06,13,79,1.207348271888988e-05,True
USA vs China,USA,China,unjustified,-0.04881830016771952,0.01522365106132143,4.03588840023523e-05,13,79,5.512432936906655e-05,True
Canada vs Australia,Canada,Australia,unjustified,-0.02546959927121362,0.005335675277835467,7.316384642631037e-07,13,79,1.6388701599493524e-06,True
France vs Japan,France,Japan,unjustified,-0.015624778829651438,0.013736816390884811,0.045661781315062905,13,79,0.051141195072870446,False
Canada vs Indonesia,Canada,Indonesia,unjustified,-0.001803323408186218,0.01303881020158654,0.7909389146886113,13,79,0.8053196222284043,False
France vs China,France,China,unjustified,-0.0004845997898569908,0.018938550925153334,0.9608259919773783,13,79,0.9608259919773783,False
China vs Japan,China,Japan,unjustified,0.011988934388745837,0.015495863369739139,0.15530413486837424,13,79,0.16725060678132608,False
Australia vs Indonesia,Australia,Indonesia,unjustified,0.023924798646689335,0.010437093438535314,0.0007357194964978413,13,79,0.0008766019532740237,True
Venezuela vs Australia,Venezuela,Australia,unjustified,0.041607860735047866,0.013295340545138177,5.068916941503772e-05,13,79,6.75855592200503e-05,True
Venezuela vs Canada,Venezuela,Canada,unjustified,0.04653122972001086,0.013090955448469832,1.5028635759054387e-05,13,79,2.2746043311001235e-05,True
Venezuela vs Indonesia,Venezuela,Indonesia,unjustified,0.08673748494067908,0.018017633533890257,6.68479707004223e-07,13,79,1.6276027648798472e-06,True
