country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Indonesia,justified,0.981687028785034,0.32879297105471894,7.813244916991287e-05,13,0.00015626489833982574,True
Canada,justified,0.7162541706762008,0.08708528683855717,1.7006208124869842e-09,13,2.7209932999791748e-08,True
Australia,justified,0.6416552184733877,0.10315103284551703,4.0502249850484816e-08,13,3.2401799880387853e-07,True
America,justified,0.2019149005960683,0.21534786979243659,0.09097370770908149,13,0.0970386215563536,False
France,justified,-0.24933158419842785,0.1689290749271438,0.013503952003712141,13,0.018005269338282854,True
Japan,justified,-0.42538265342424947,0.1859546647312348,0.0007476872741369479,13,0.0013292218206879074,True
Venezuela,justified,-0.8863119777472759,0.15486071427244216,1.0211680041059515e-07,13,5.446229355231742e-07,True
China,justified,-0.9804851031607378,0.21873377849508657,1.4228514435889955e-06,13,4.553124619484786e-06,True
Venezuela,unjustified,0.8390894818368649,0.16714832848349748,4.265422988059255e-07,13,1.706169195223702e-06,True
China,unjustified,0.24186249035490384,0.14154847420122002,0.005790496196967853,13,0.009264793915148565,True
America,unjustified,0.12079940172084587,0.11267593653075691,0.057411447444215065,13,0.06561308279338865,False
France,unjustified,-0.07028183900815868,0.05531888941866403,0.02842421871003598,13,0.03498365379696736,True
Indonesia,unjustified,-0.10747604182956562,0.1299828568079919,0.13106238668243134,13,0.13106238668243134,False
Japan,unjustified,-0.2124358165685497,0.13385399309455942,0.009009797041298137,13,0.01310515933279729,True
Canada,unjustified,-0.38272460398094815,0.12074198055551418,4.4992899901576534e-05,13,0.00010284091406074636,True
Australia,unjustified,-0.42883307252539243,0.11742798762780027,1.151947684902996e-05,13,3.071860493074656e-05,True
