pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Indonesia,China,Indonesia,justified,-3.371222531817207,0.7547071061174573,1.4759462578101312e-06,13,79,6.35792234133595e-06,True
China vs Australia,China,Australia,justified,-3.1167296155279853,0.6572279773036083,7.845799572407356e-07,13,79,4.3936477605481195e-06,True
China vs Canada,China,Canada,justified,-3.0667353654641443,0.7024369111919139,1.8751552048347118e-06,13,79,6.563043216921491e-06,True
Venezuela vs Canada,Venezuela,Canada,justified,-2.829849189957969,0.5518907332525231,3.393328224813376e-07,13,79,3.099237163260132e-06,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-2.663804936041366,0.44052496393879775,5.552896800915328e-08,13,79,1.9055370565560119e-06,True
Venezuela vs Australia,Venezuela,Australia,justified,-2.5379392782343686,0.49533020007112166,3.4207973452914746e-07,13,79,3.099237163260132e-06,True
China vs Japan,China,Japan,justified,-1.77963312652215,0.4726921877443942,8.510715337349434e-06,13,79,2.166363904052583e-05,True
Japan vs Indonesia,Japan,Indonesia,justified,-1.764702083165979,0.664292447304033,0.0002194419254385303,13,79,0.00037238629771386956,True
France vs Indonesia,France,Indonesia,justified,-1.548334474006449,0.6351924426928581,0.0004503480930997403,13,79,0.0007205569489595845,True
France vs Canada,France,Canada,justified,-1.5179215437731197,0.3238168757411357,8.873962963400259e-07,13,79,4.517653872276496e-06,True
Japan vs Australia,Japan,Australia,justified,-1.3509758441649173,0.30877337354060475,1.8333453637273682e-06,13,79,6.563043216921491e-06,True
America vs Canada,America,Canada,justified,-1.2538203923520752,0.3194366678718901,5.5981299516193045e-06,13,79,1.567476386453405e-05,True
Japan vs Canada,Japan,Canada,justified,-1.2479681656754535,0.3242126183745584,6.816390304273073e-06,13,79,1.8177040811394864e-05,True
America vs Indonesia,America,Indonesia,justified,-1.170744618883543,0.5815361746474828,0.001942253439654575,13,79,0.0029396268275853027,True
France vs Australia,France,Australia,justified,-1.1620092178383505,0.2294171468110582,3.874046454075165e-07,13,79,3.099237163260132e-06,True
America vs Australia,America,Australia,justified,-0.9188773456578784,0.32160994906881374,0.00011614811182493053,13,79,0.00020981594394180997,True
China vs Venezuela,China,Venezuela,justified,-0.30978852647853267,0.38207422170392813,0.13800449440271845,13,79,0.15153434679514183,False
