country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Canada,justified,0.1371153030166337,0.03716075403120849,1.0400128592370432e-05,13,5.54673524926423e-05,True
Indonesia,justified,0.13707442018278976,0.04353679240984766,4.791628818140608e-05,13,0.00010952294441464246,True
Australia,justified,0.10346350081222086,0.03004836923227486,2.0476267355887776e-05,13,8.19050694235511e-05,True
Venezuela,justified,0.04741055127437954,0.03588880542802443,0.0236911188309852,13,0.029158300099674093,True
France,justified,0.012000833900693132,0.025961451302639455,0.38275624070316405,13,0.4082733234167083,False
Japan,justified,-0.07878932827710325,0.02381335717531457,3.0023102661171255e-05,13,8.476310002328128e-05,True
America,justified,-0.13134484525237766,0.044681624666140965,8.998707251540483e-05,13,0.00015997701780516414,True
China,justified,-0.22693043565723617,0.05625072424124144,4.236292690200132e-06,13,5.54673524926423e-05,True
Venezuela,unjustified,0.10636405976443375,0.032341072334059466,3.178616250873048e-05,13,8.476310002328128e-05,True
Indonesia,unjustified,0.054194875028372315,0.01827914157271207,8.3276800393791e-05,13,0.00015997701780516414,True
America,unjustified,0.033157133238515824,0.0248522312619205,0.02259334039070689,13,0.029158300099674093,True
China,unjustified,0.015218226928195678,0.04776116181842341,0.543978699875591,13,0.543978699875591,False
Japan,unjustified,-0.01873201117785048,0.017157448150856947,0.05360329653491224,13,0.06126091032561399,False
France,unjustified,-0.023412970834802052,0.01643654829236395,0.016286652154894558,13,0.023689675861664813,True
Australia,unjustified,-0.0501618925140891,0.029619250773096344,0.006117292543742973,13,0.009787668069988757,True
Canada,unjustified,-0.11662742043277595,0.03148251122345532,9.997065931052831e-06,13,5.54673524926423e-05,True
