country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
America,France,airspace_v1,airspace,justified,-1.1093749925494194,0.7890624850988388,-0.1601562537252903,0.9948068539362858
America,France,airspace_v1,airspace,unjustified,0.1796875,0.0,0.08984375,0.9971213131006221
America,France,airspace_v2,airspace,justified,-1.3593750149011612,0.9999999850988388,-0.1796875149011612,0.9947949549609401
America,France,airspace_v2,airspace,unjustified,0.359375,-0.2109375,0.07421875,0.9968653536211871
America,France,airspace_v3,airspace,justified,-0.6718749850988388,0.1015625,-0.2851562425494194,0.995116880904587
America,France,airspace_v3,airspace,unjustified,0.140625,-0.1484375,-0.00390625,0.9972915021037794
America,France,airspace_v4,airspace,justified,-1.1406249701976776,0.7734375149011612,-0.1835937276482582,0.9948393715235058
America,France,airspace_v4,airspace,unjustified,0.328125,-0.03125,0.1484375,0.9975026676769199
America,France,airspace_v5,airspace,justified,-0.9921875149011612,0.640625,-0.1757812574505806,0.9942325316952042
America,France,airspace_v5,airspace,unjustified,0.140625,0.078125,0.109375,0.9966464538217397
America,France,maritime_v1,maritime,justified,0.078125,-0.46875,-0.1953125,0.9949502597985926
America,France,maritime_v1,maritime,unjustified,0.4609375149011612,-0.4296875298023224,0.015624992549419403,0.9973049707199275
America,France,maritime_v2,maritime,justified,-0.2031250149011612,-0.1015625,-0.1523437574505806,0.9945294834066087
America,France,maritime_v2,maritime,unjustified,0.375,-0.34375,0.015625,0.9971604434692773
America,France,maritime_v3,maritime,justified,-0.46875,-0.1718749850988388,-0.3203124925494194,0.9955417927183511
America,France,maritime_v3,maritime,unjustified,-0.03125,0.421875,0.1953125,0.9972240522683063
America,France,maritime_v4,maritime,justified,0.1875,-0.4843749701976776,-0.1484374850988388,0.9909138435804906
America,France,maritime_v4,maritime,unjustified,0.0546875,-0.1640625,-0.0546875,0.995088631142047
America,France,maritime_v5,maritime,justified,-0.1406250149011612,-0.1640625149011612,-0.1523437649011612,0.9959060165136148
America,France,maritime_v5,maritime,unjustified,0.1796875,-0.1875,-0.00390625,0.9962978620643326
America,France,strike_v1,strike,justified,-0.07031247019767761,-0.4218749850988388,-0.2460937276482582,0.9956216933115712
America,France,strike_v1,strike,unjustified,0.6015625,-0.3984374850988388,0.1015625074505806,0.9966460073230778
America,France,strike_v2,strike,justified,-0.8281249701976776,0.007812485098838806,-0.4101562425494194,0.9959227542235922
America,France,strike_v2,strike,unjustified,0.5468750298023224,-0.4531250149011612,0.0468750074505806,0.9971257157188097
America,France,strike_v3,strike,justified,-0.6171875149011612,-0.109375,-0.3632812574505806,0.9970427036363652
America,France,strike_v3,strike,unjustified,0.296875,-0.15625,0.0703125,0.9977109770013389
America,France,strike_v4,strike,justified,-0.4296874701976776,-0.023437485098838806,-0.2265624776482582,0.9951842482299392
America,France,strike_v4,strike,unjustified,0.5624999850988388,-0.1796875,0.1914062425494194,0.997339572618305
America,France,strike_v5,strike,justified,-0.796875,0.3515625,-0.22265625,0.9968885323992843
America,France,strike_v5,strike,unjustified,0.3984375,-0.4921875,-0.046875,0.9973360505613851
America,France,proxy_v1,proxy,justified,-0.7109375,0.8671874701976776,0.0781249850988388,0.9949701144663938
America,France,proxy_v1,proxy,unjustified,0.3437499850988388,-0.296875,0.023437492549419403,0.9964874283536824
America,France,proxy_v2,proxy,justified,-0.7890625149011612,0.7109375149011612,-0.0390625,0.9956691040377541
America,France,proxy_v2,proxy,unjustified,0.1796875,-0.1953125,-0.0078125,0.9970742688457477
America,France,proxy_v3,proxy,justified,-0.6718750298023224,0.6718749701976776,-2.9802322387695312e-08,0.9947141449801266
America,France,proxy_v3,proxy,unjustified,0.015625,0.1953125,0.10546875,0.9960164290243501
America,France,proxy_v4,proxy,justified,-0.5859374850988388,0.6171875149011612,0.015625014901161194,0.9947686504845779
America,France,proxy_v4,proxy,unjustified,0.3046875,-0.25,0.02734375,0.9959340890980941
America,France,proxy_v5,proxy,justified,-0.8437499850988388,0.8984375,0.027343757450580597,0.9957717729381574
America,France,proxy_v5,proxy,unjustified,0.328125,-0.328125,0.0,0.9974590356715656
America,France,cyber_v1,cyber,justified,-0.75,0.7187500223517418,-0.015624988824129105,0.9939455888757331
America,France,cyber_v1,cyber,unjustified,0.6093749850988388,-0.2734375,0.1679687425494194,0.996742746605907
America,France,cyber_v2,cyber,justified,-0.7499999701976776,0.3046875149011612,-0.2226562276482582,0.9956550356136477
America,France,cyber_v2,cyber,unjustified,0.09375,0.25,0.171875,0.9968874530097662
America,France,cyber_v3,cyber,justified,-0.4921875149011612,0.4375000298023224,-0.027343742549419403,0.9939172570942167
America,France,cyber_v3,cyber,unjustified,0.28125,-0.1171875,0.08203125,0.9964674599308271
America,France,cyber_v4,cyber,justified,-0.8046874925494194,0.5312500298023224,-0.1367187313735485,0.9958546493834206
America,France,cyber_v4,cyber,unjustified,0.546875,-0.1875,0.1796875,0.997283886559429
America,France,cyber_v5,cyber,justified,-0.6328124850988388,0.4843750149011612,-0.0742187350988388,0.9927123939219882
America,France,cyber_v5,cyber,unjustified,0.359375,-0.1953125,0.08203125,0.9954160851068309
America,France,trade_v1,trade,justified,-0.3515625,0.2187500298023224,-0.0664062350988388,0.9955317342652537
America,France,trade_v1,trade,unjustified,0.1875,-0.15625,0.015625,0.9968695193487516
America,France,trade_v2,trade,justified,-0.2656250149011612,-0.3203125,-0.2929687574505806,0.9958266836393064
America,France,trade_v2,trade,unjustified,-0.1328125,0.203125,0.03515625,0.9973274657975533
America,France,trade_v3,trade,justified,-0.2187499850988388,0.054687514901161194,-0.0820312350988388,0.9963194851388002
