country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
USA,justified,0.32531233647305086,0.08830983046004862,1.0570042485155682e-05,13,2.4160097108927273e-05,True
Australia,justified,0.25656049679487175,0.048661825260489656,2.509007082297147e-07,13,1.3381371105584784e-06,True
Japan,justified,0.1706373054029304,0.08185433678289827,0.0015099699674015377,13,0.0030199399348030754,True
China,justified,0.16219011643118783,0.08770246643950629,0.003484591667698933,13,0.005068496971198448,True
Canada,justified,0.058921825941915223,0.04214795210360638,0.01793025886077582,13,0.02390701181436776,True
Indonesia,justified,-0.00791266025641026,0.08641807721803531,0.8605690946713923,13,0.8605690946713923,False
France,justified,-0.11642198946886449,0.05877331101501082,0.002178013011397963,13,0.003872023131374157,True
Venezuela,justified,-0.8492874313186812,0.058580950506823465,2.2389746817543958e-12,13,3.582359490807033e-11,True
China,unjustified,0.6141653175693355,0.071253453884117,9.90611764220706e-10,13,7.924894113765648e-09,True
Japan,unjustified,0.07900089122187337,0.04224118105696772,0.003232547092238186,13,0.005068496971198448,True
Australia,unjustified,0.054584273613291476,0.04798698600942355,0.04565491742972271,13,0.05217704849111167,False
Indonesia,unjustified,0.04890273417059132,0.061301532501816275,0.14389354876344315,13,0.15348645201433936,False
USA,unjustified,-0.07830283555729983,0.0630125086893789,0.03140917942669965,13,0.03865745160209188,True
France,unjustified,-0.21761348770277344,0.05726738203744685,7.757190003461126e-06,13,2.4160097108927273e-05,True
Canada,unjustified,-0.23933395473574043,0.060216049926215924,4.930349163189808e-06,13,1.9721396652759232e-05,True
Venezuela,unjustified,-0.2614029385792779,0.07010422682690459,9.36893586842183e-06,13,2.4160097108927273e-05,True
