pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Venezuela vs Australia,Venezuela,Australia,justified,-1.0506739354395602,0.07837913035809599,5.654745892531403e-12,13,79,1.583328849908793e-10,True
Venezuela vs Canada,Venezuela,Canada,justified,-0.9156936813186813,0.06786856222020793,5.238138074176844e-12,13,79,1.583328849908793e-10,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.6126302083333334,0.05034039318969243,1.7678173222993624e-11,13,79,2.474944251219107e-10,True
France vs Japan,France,Japan,justified,-0.35229939331501825,0.11192679112567248,4.8042088522499395e-05,13,79,0.0001073520860254148,True
France vs Australia,France,Australia,justified,-0.2901571085164835,0.07848271751040756,1.0198346001727284e-05,13,79,2.9615209817187875e-05,True
France vs China,France,China,justified,-0.2857142857142857,0.0908196299477691,4.8275280904384146e-05,13,79,0.0001073520860254148,True
France vs Indonesia,France,Indonesia,justified,-0.13926568223443223,0.1208226293249732,0.04327443403597792,13,79,0.0576992453813039,False
France vs Canada,France,Canada,justified,-0.12409855769230771,0.07671184737207079,0.008058573186096015,13,79,0.01253555828948269,True
Canada vs Australia,Canada,Australia,justified,-0.11636475503663002,0.061861757943834084,0.0031096383863933475,13,79,0.004975421418229356,True
China vs Japan,China,Japan,justified,-0.11053399725274726,0.1423618460194358,0.15396450267669048,13,79,0.18743504673684058,False
Japan vs Australia,Japan,Australia,justified,-0.03433350503663003,0.10400958506494709,0.5298171669774022,13,79,0.5705723336679717,False
China vs Australia,China,Australia,justified,-0.022965315934065922,0.1213715125892898,0.717204896662589,13,79,0.7437680409834256,False
USA vs Australia,USA,Australia,justified,0.013392857142857144,0.10567275362133008,0.8080186193872236,13,79,0.8227098670124459,False
Japan vs Indonesia,Japan,Indonesia,justified,0.05090287316849816,0.12461870203891952,0.43892728324376096,13,79,0.48195936983628657,False
Canada vs Indonesia,Canada,Indonesia,justified,0.054666037087912074,0.08131253963010264,0.2122075293094036,13,79,0.24252289063931837,False
China vs Canada,China,Canada,justified,0.0740255837912088,0.11122733204104039,0.21654547053703993,13,79,0.2425309270014847,False
USA vs China,USA,China,justified,0.10008871336996338,0.10053203056847321,0.07475076385530474,13,79,0.09734983199760618,False
China vs Indonesia,China,Indonesia,justified,0.12531478937728938,0.10796521423128623,0.04205922456930486,13,79,0.05744674575319687,False
Japan vs Canada,Japan,Canada,justified,0.2056003891941392,0.06557845152595942,4.9842039940371155e-05,13,79,0.0001073520860254148,True
USA vs France,USA,France,justified,0.22104653159340662,0.09064004619114718,0.0004486271638258762,13,79,0.0008104232636854538,True
USA vs Japan,USA,Japan,justified,0.27806633470695974,0.11262493181136955,0.00040562985904235295,13,79,0.0007571757368790588,True
USA vs Indonesia,USA,Indonesia,justified,0.281579097985348,0.12654837260187726,0.0009265067364141572,13,79,0.0015260110952703765,True
USA vs Canada,USA,Canada,justified,0.2860147664835165,0.11460351876165305,0.00037120289015488985,13,79,0.0007168055809887527,True
