pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Venezuela vs Canada,Venezuela,Canada,justified,-2.164134049918978,0.4528900277898432,7.234503373726669e-07,13,79,6.752203148811557e-06,True
China vs Canada,China,Canada,justified,-2.1344436795709587,0.4880302087903892,1.840837453164173e-06,13,79,1.344566721236006e-05,True
China vs Australia,China,Australia,justified,-1.8945026283444824,0.3519525615683548,2.0014743227412305e-07,13,79,2.6012734152253758e-06,True
Venezuela vs Australia,Venezuela,Australia,justified,-1.883370527347521,0.35153702043703045,2.1070554880283997e-07,13,79,2.6012734152253758e-06,True
China vs Indonesia,China,Indonesia,justified,-1.4814560390400553,0.4330435157124012,2.179636091843729e-05,13,79,9.389201626403756e-05,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-1.4622968144040753,0.3357133489398595,1.9208096017657227e-06,13,79,1.344566721236006e-05,True
China vs Japan,China,Japan,justified,-1.1178170845590338,0.3461552650861231,3.7789134692440964e-05,13,79,0.00014107943618511294,True
Japan vs Canada,Japan,Canada,justified,-0.9664606235976765,0.17675006994106665,1.6860851397321566e-07,13,79,2.6012734152253758e-06,True
Japan vs Australia,Japan,Australia,justified,-0.8741844013165306,0.1646340311584216,2.3225655493083713e-07,13,79,2.6012734152253758e-06,True
France vs Canada,France,Canada,justified,-0.42201808012362896,0.23226299607818715,0.0039145637790109706,13,79,0.008119095245356088,True
USA vs Canada,USA,Canada,justified,-0.30753491109602954,0.3041639666058941,0.07088953835700362,13,79,0.10729227427005954,False
France vs Australia,France,Australia,justified,-0.21856398732169452,0.1867996990278386,0.04068884299098471,13,79,0.06701691786750423,False
Japan vs Indonesia,Japan,Indonesia,justified,-0.16268887179416489,0.2790793211697791,0.27549830799513836,13,79,0.33538924451582064,False
USA vs Australia,USA,Australia,justified,-0.046946551157436636,0.1890045549973787,0.6351417118243593,13,79,0.6839987665800792,False
USA vs France,USA,France,justified,0.06955414157422199,0.17395311843168104,0.4484119488631742,13,79,0.5022213827267551,False
Canada vs Australia,Canada,Australia,justified,0.14085392403457273,0.17085826870594087,0.132105709261062,13,79,0.18494799296548678,False
USA vs Indonesia,USA,Indonesia,justified,0.18021692400684128,0.35394619719051656,0.33799617768832363,13,79,0.3943288739697109,False
China vs Venezuela,China,Venezuela,justified,0.25143084664175674,0.3641877463626661,0.20094723196402292,13,79,0.2557510224996655,False
France vs Indonesia,France,Indonesia,justified,0.3117559587660982,0.2811073750371218,0.05046017521445422,13,79,0.07849360588915101,False
France vs Japan,France,Japan,justified,0.41087167669075286,0.19656226372570965,0.0014803820794776015,13,79,0.003188515248105603,True
Australia vs Indonesia,Australia,Indonesia,justified,0.570283887026379,0.2725557463188337,0.0014696812382339228,13,79,0.003188515248105603,True
USA vs Japan,USA,Japan,justified,0.6399811125128451,0.25118692450244273,0.00031256969463241843,13,79,0.0010296413470244372,True
Canada vs Indonesia,Canada,Indonesia,justified,0.8211996333308252,0.3709515636373781,0.0009633480295656475,13,79,0.002452158620712557,True
USA vs Venezuela,USA,Venezuela,justified,1.173820966449903,0.30967136845130916,7.952294733488967e-06,13,79,4.048440955230747e-05,True
USA vs China,USA,China,justified,1.28927713099104,0.36479915236552163,1.5891762066363122e-05,13,79,7.416155630969457e-05,True
Japan vs Venezuela,Japan,Venezuela,justified,1.4834163162942635,0.38473207249421865,6.7019409268879935e-06,13,79,3.753086919057276e-05,True
France vs China,France,China,justified,1.6479796296682367,0.4051139259219588,3.891421512841682e-06,13,79,2.4213289413237133e-05,True
France vs Venezuela,France,Venezuela,justified,1.8240470524400558,0.3218860754437326,1.1392291685628257e-07,13,79,2.6012734152253758e-06,True
France vs Venezuela,France,Venezuela,unjustified,-0.3666151533772804,0.3824097721519272,0.08473677406482995,13,79,0.12167331660590967,False
Japan vs Venezuela,Japan,Venezuela,unjustified,-0.33854167398918505,0.4252628944909309,0.14465919195798127,13,79,0.19287892261064168,False
Canada vs Indonesia,Canada,Indonesia,unjustified,-0.3206272915944842,0.39805668506039044,0.14037906344014697,13,79,0.19173725738166417,False
France vs China,France,China,unjustified,-0.2201522419728286,0.5467433406419022,0.445299878629645,13,79,0.5022213827267551,False
USA vs Venezuela,USA,Venezuela,unjustified,-0.10074690933287701,0.3391249268400054,0.5711598622229029,13,79,0.627155927146717,False
USA vs China,USA,China,unjustified,-0.0959821436202922,0.42374671631068145,0.6649739081494436,13,79,0.6896025714142378,False
Canada vs Australia,Canada,Australia,unjustified,0.014237061182739322,0.24074545269658307,0.9096415323541245,13,79,0.9096415323541245,False
China vs Venezuela,China,Venezuela,unjustified,0.06965431173947373,0.32428704881419557,0.6812023338878505,13,79,0.6935878308676295,False
Australia vs Indonesia,Australia,Indonesia,unjustified,0.07181490474426819,0.30699293950898,0.654783936323864,13,79,0.6896025714142378,False
USA vs France,USA,France,unjustified,0.15779534122582964,0.23652142703876275,0.21550203051600977,13,79,0.2681803046421455,False
USA vs Japan,USA,Japan,unjustified,0.19717261315521276,0.3668207747332581,0.31284783829113244,13,79,0.3727548711553918,False
France vs Japan,France,Japan,unjustified,0.29588771568665206,0.256715699715743,0.04328309365912839,13,79,0.06925294985460542,False
USA vs Indonesia,USA,Indonesia,unjustified,0.3171216777515235,0.43947243963831684,0.18268372813926245,13,79,0.23791369246043484,False
France vs Australia,France,Australia,unjustified,0.33593749486189467,0.2549489696205644,0.0239815422132844,13,79,0.04069595042254322,True
France vs Indonesia,France,Indonesia,unjustified,0.3790636457785458,0.27956625082564657,0.020885259623299714,13,79,0.0365492043407745,True
Japan vs Indonesia,Japan,Indonesia,unjustified,0.41721039648061614,0.24724450079979637,0.006254622457875061,13,79,0.012077891642793222,True
China vs Japan,China,Japan,unjustified,0.430631866376017,0.4351646043402371,0.07629920561325204,13,79,0.11244093458795036,False
Japan vs Canada,Japan,Canada,unjustified,0.46653216200859493,0.3234849917880031,0.01526824529837432,13,79,0.027581346345450383,True
France vs Canada,France,Canada,unjustified,0.5164405901950386,0.22373782349104196,0.0006967586697632293,13,79,0.0020536045003547807,True
Japan vs Australia,Japan,Australia,unjustified,0.5541866964474768,0.25442924420190227,0.0010896536955151373,13,79,0.0025425252895353205,True
Venezuela vs Indonesia,Venezuela,Indonesia,unjustified,0.6581816623587216,0.28071216286319034,0.0006156131154112858,13,79,0.001915240803501778,True
USA vs Australia,USA,Australia,unjustified,0.7322716408817165,0.3342797109199166,0.0010436836968667918,13,79,0.00254114291411045,True
China vs Indonesia,China,Indonesia,unjustified,0.7587282444736767,0.5088537225066323,0.01278164865052305,13,79,0.023859077480976362,True
USA vs Canada,USA,Canada,unjustified,0.8649410468361156,0.2567780074987788,2.5298845128292714e-05,13,79,0.00010119538051317085,True
China vs Australia,China,Australia,unjustified,0.9360691353826568,0.4156605574979997,0.000844523149151146,13,79,0.0022520617310697226,True
China vs Canada,China,Canada,unjustified,0.981026782201917,0.5490758100531171,0.004366503549470036,13,79,0.008733007098940072,True
Venezuela vs Australia,Venezuela,Australia,unjustified,1.0643315036997438,0.39848534971984956,0.00020947439939377358,13,79,0.0007331603978782075,True
Venezuela vs Canada,Venezuela,Canada,unjustified,1.1128090616445026,0.49372913394697376,0.0008390840729819171,13,79,0.0022520617310697226,True
