pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Indonesia,China,Indonesia,justified,-2.384386425053244,0.5044572454137981,8.12558231573249e-07,13,79,9.100652193620388e-06,True
China vs Canada,China,Canada,justified,-1.9167954334409247,0.5619982825724646,2.2442781833213065e-05,13,79,8.378638551066212e-05,True
China vs Australia,China,Australia,justified,-1.6368904696716058,0.4367752589786962,8.90889589924053e-06,13,79,4.988981703574697e-05,True
America vs Indonesia,America,Indonesia,justified,-1.6162717399143036,0.29440850131353036,1.6137432495898692e-07,13,79,4.518481098851634e-06,True
America vs Canada,America,Canada,justified,-1.579698955401396,0.2780609375636629,1.1078745918308867e-07,13,79,4.518481098851634e-06,True
Japan vs Indonesia,Japan,Indonesia,justified,-1.4134829996269704,0.3671109937646203,6.797537280190929e-06,13,79,4.2295787521188006e-05,True
France vs Indonesia,France,Indonesia,justified,-1.241064306798872,0.3665324519023288,2.4069820477424784e-05,13,79,8.424437167098674e-05,True
France vs Canada,France,Canada,justified,-1.1352163393855532,0.23630907902568557,6.836113338700578e-07,13,79,9.100652193620388e-06,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-1.0420672945923857,0.31105755397577045,2.6658594879109437e-05,13,79,8.781654783706638e-05,True
America vs Australia,America,Australia,justified,-1.0255408725895725,0.2845504504040644,1.3117523947443586e-05,13,79,5.650625700437237e-05,True
Japan vs Australia,Japan,Australia,justified,-0.9878376750718978,0.30994327670876815,4.2747188784204655e-05,13,79,0.00012599171431134002,True
Japan vs Canada,Japan,Canada,justified,-0.9195999627584939,0.29530473166181204,5.3071385971546005e-05,13,79,0.0001415236959241227,True
China vs Japan,China,Japan,justified,-0.8793569927687171,0.349036991345495,0.0003432477460492434,13,79,0.0006977251833776442,True
China vs Venezuela,China,Venezuela,justified,-0.8077352461797412,0.31467856062122734,0.00029366385389624424,13,79,0.0006578070327275872,True
France vs Australia,France,Australia,justified,-0.7385101988638711,0.19914684946597191,9.894317696443833e-06,13,79,5.0371071909168605e-05,True
Venezuela vs Australia,Venezuela,Australia,justified,-0.6328840406386408,0.27825409135913415,0.00078188659680011,13,79,0.0014595216473602052,True
Australia vs Indonesia,Australia,Indonesia,justified,-0.5638950798974369,0.1463479921930649,6.747604471006311e-06,13,79,4.2295787521188006e-05,True
Venezuela vs Canada,Venezuela,Canada,justified,-0.5014165519794702,0.3463892445333377,0.014974252342937715,13,79,0.021501490543705436,True
America vs Venezuela,America,Venezuela,justified,-0.4492688189932714,0.23234638746065975,0.002576779544871006,13,79,0.004372716803417464,True
Canada vs Indonesia,Canada,Indonesia,justified,-0.40361008713970253,0.21917911780672436,0.003584444528065752,13,79,0.005903790987402415,True
America vs France,America,France,justified,-0.39112579014711757,0.17628871691489795,0.0009471942429893761,13,79,0.0017110605679808084,True
France vs Japan,France,Japan,justified,-0.17818507803228747,0.29077880010328055,0.2528984722018814,13,79,0.3013258392192629,False
America vs Japan,America,Japan,justified,-0.10531136797461321,0.2776208864804701,0.4714877732105047,13,79,0.5280663059957653,False
America vs China,America,China,justified,0.2687872146075462,0.2910157850402129,0.09534550268618718,13,79,0.12134882160060187,False
France vs Venezuela,France,Venezuela,justified,0.3751860040448088,0.26287331258473995,0.01612148175244813,13,79,0.022570074453427385,True
Canada vs Australia,Canada,Australia,justified,0.3967920310331351,0.19289151083138484,0.0016636174632320582,13,79,0.002911330560656102,True
Japan vs Venezuela,Japan,Venezuela,justified,0.46916494810537535,0.3545656847650249,0.023506163735897555,13,79,0.03210597973683568,True
France vs China,France,China,justified,0.9674622281130418,0.38460399154763475,0.0003476982561866535,13,79,0.0006977251833776442,True
