country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
France,China,airspace_v1,airspace,justified,-1.1796874403953552,2.015625,0.4179687798023224,0.3534409931462575
France,China,airspace_v1,airspace,unjustified,-0.0703125,-0.1015624701976776,-0.0859374850988388,0.5207258889005664
France,China,airspace_v2,airspace,justified,-1.7187499403953552,3.5624998807907104,0.9218749701976776,0.4207333513213113
France,China,airspace_v2,airspace,unjustified,-0.3750000596046448,0.1484374701976776,-0.1132812947034835,0.5850096548941539
France,China,airspace_v3,airspace,justified,0.1953125,1.375,0.78515625,0.3048323355878807
France,China,airspace_v3,airspace,unjustified,-0.6796875,0.0390624105930328,-0.3203125447034836,0.4899944952125699
France,China,airspace_v4,airspace,justified,-2.2578125596046448,4.054687604308128,0.8984375223517418,0.5128291836074826
France,China,airspace_v4,airspace,unjustified,-0.3749999701976776,0.3125,-0.0312499850988388,0.6268404916267173
France,China,airspace_v5,airspace,justified,-0.7734374403953552,3.7578124403953552,1.4921875,0.4216040335409676
France,China,airspace_v5,airspace,unjustified,-0.7343750298023224,0.0859374701976776,-0.3242187798023224,0.5454944789306126
France,China,maritime_v1,maritime,justified,0.7031250298023224,0.5703125,0.6367187649011612,0.4905925701275759
France,China,maritime_v1,maritime,unjustified,0.0859375298023223,-0.2890625298023224,-0.1015625,0.7041571130476221
France,China,maritime_v2,maritime,justified,0.4687499403953552,0.515625,0.4921874701976776,0.462193792861257
France,China,maritime_v2,maritime,unjustified,-0.0703125,-0.1015625298023223,-0.0859375149011612,0.7223284623412554
France,China,maritime_v3,maritime,justified,0.8984375298023224,0.2578125,0.5781250149011612,0.5272289887878876
France,China,maritime_v3,maritime,unjustified,-0.5390625,0.15625,-0.19140625,0.695551802589323
France,China,maritime_v4,maritime,justified,1.2265625,0.6328124701976776,0.9296874850988388,0.6341658211725654
France,China,maritime_v4,maritime,unjustified,-0.7890625298023224,0.6718750149011612,-0.0585937574505806,0.7842068374795399
France,China,maritime_v5,maritime,justified,1.140625,-0.3828125,0.37890625,0.3710675239988155
France,China,maritime_v5,maritime,unjustified,0.03125,-0.8203125596046448,-0.3945312798023224,0.5472003248359183
France,China,strike_v1,strike,justified,1.3281250596046448,-0.4296875,0.4492187798023224,0.2020084326411045
France,China,strike_v1,strike,unjustified,0.4609375,-1.265625,-0.40234375,0.4106195445211994
France,China,strike_v2,strike,justified,0.0390625,1.3593749403953552,0.6992187201976776,0.2930201889725735
