pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Indonesia,China,Indonesia,justified,-0.3234317750625667,0.08499843625522363,7.651767501840861e-06,13,79,5.161098304208373e-05,True
China vs Japan,China,Japan,justified,-0.1956845240073872,0.06308669333465197,5.5044028450535666e-05,13,79,0.00022017611380214266,True
America vs Venezuela,America,Venezuela,justified,-0.17606742423532648,0.06244525041672563,0.00013062898197420842,13,79,0.00038501173634503534,True
China vs Venezuela,China,Venezuela,justified,-0.17380666095531466,0.10273079772488143,0.006154971333155281,13,79,0.010444799838081689,True
America vs Indonesia,America,Indonesia,justified,-0.1675394934162006,0.046193445007994674,1.2326548826739025e-05,13,79,6.598517850851213e-05,True
China vs Canada,China,Canada,justified,-0.16356169948211083,0.08042024130458846,0.0018056122825091095,13,79,0.0038890110700196203,True
America vs Canada,America,Canada,justified,-0.1633327634861836,0.05686904375595134,0.0001108597299445347,13,79,0.0003448969376052191,True
China vs Australia,China,Australia,justified,-0.12605883587056246,0.08596927898267549,0.013985665753962494,13,79,0.021167494114105397,True
Australia vs Indonesia,Australia,Indonesia,justified,-0.12073603600618386,0.04963541658324165,0.00045813068143841113,13,79,0.0011154486156761314,True
America vs Australia,America,Australia,justified,-0.09500915732493986,0.056494569476650304,0.006385428669275539,13,79,0.010517176631747947,True
France vs Japan,France,Japan,justified,-0.08937156748968166,0.051495869999047164,0.0052541697639039665,13,79,0.009194797086831942,True
France vs Indonesia,France,Indonesia,justified,-0.0721869281537476,0.04581208172787095,0.009390075657506925,13,79,0.014606784356121885,True
America vs France,America,France,justified,-0.0712282508611679,0.044153591687401975,0.008192543276255555,13,79,0.013108069242008887,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.06883871544070624,0.049304376734469066,0.018046293437110204,13,79,0.026594537696793985,True
France vs Canada,France,Canada,justified,-0.04707531997381331,0.047337235236569714,0.0750381188760417,13,79,0.1000508251680556,False
