country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Canada,justified,3.8710221933597655,0.6946294443295804,1.3691719772024488e-07,13,4.5184638610514075e-07,True
Indonesia,justified,1.9573414425074678,0.6015988956584873,3.520421854663006e-05,13,5.63267496746081e-05,True
Australia,justified,1.9377488663769997,0.30695232426707253,3.435226628276961e-08,13,1.832120868414379e-07,True
France,justified,-0.37237590498547785,0.40486490584220874,0.0965846213914321,13,0.0965846213914321,False
Japan,justified,-0.8407574461871483,0.49575090019615337,0.00606490240509468,13,0.006469229232100992,True
America,justified,-1.6170505523946757,0.5871290469345529,0.00016055975658404233,13,0.00021407967544538977,True
Venezuela,justified,-1.8884117566516954,0.5148334367916607,1.1028403331327465e-05,13,1.9606050366804384e-05,True
China,justified,-3.0475168420252365,0.7105414735233015,2.2556958190330466e-06,13,6.015188850754791e-06,True
China,unjustified,3.51188022690503,0.3750009426282737,3.789175880542293e-10,13,6.062681408867669e-09,True
Venezuela,unjustified,1.5191530883312228,0.4816252559558162,4.710787643323715e-05,13,6.852054753925404e-05,True
America,unjustified,1.199836573765766,0.5592693507733227,0.0012211882648510807,13,0.001395643731258378,True
France,unjustified,0.8421515240282802,0.3402171732137039,0.0003971248713872392,13,0.0004887690724766021,True
Indonesia,unjustified,-1.1046424289528827,0.265921509771611,3.139203216884715e-06,13,7.175321638593634e-06,True
Australia,unjustified,-1.483074440678834,0.3997910715868971,9.861148674405013e-06,13,1.9606050366804384e-05,True
Canada,unjustified,-2.191192126360662,0.34083846353958874,2.801507343675062e-08,13,1.832120868414379e-07,True
Japan,unjustified,-2.2941124170379195,0.4128205093671647,1.4120199565785648e-07,13,4.5184638610514075e-07,True
