country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
China,justified,2.4943072250619838,0.7038185783561576,1.5469575980802855e-05,13,4.9502643138569136e-05,True
Indonesia,justified,1.917637604147456,0.9476066080674355,0.0018716626153077087,13,0.0036530773273651365,True
Venezuela,justified,1.5222151379202424,0.7621455557580906,0.0020548559966428893,13,0.0036530773273651365,True
France,justified,-0.3162243244809187,0.361497141951615,0.11211604236830797,13,0.1379889752225329,False
Canada,justified,-0.40629701783384803,0.43405115428313396,0.09145279468753612,13,0.12193705958338148,False
Japan,justified,-1.1818378837031696,0.4011155456789946,8.812582483320857e-05,13,0.00023500219955522285,True
Australia,justified,-1.4015036240634056,0.28257434544143006,4.857101587479285e-07,13,2.590454179988952e-06,True
America,justified,-2.6282971170483407,0.9168922593724309,0.00011279304920330776,13,0.00025781268389327486,True
Japan,unjustified,1.3017031323342136,0.25674097142942137,3.832585476409801e-07,13,2.590454179988952e-06,True
France,unjustified,0.9228275449379401,0.24929414535703662,1.0071122580947053e-05,13,4.028449032378821e-05,True
Australia,unjustified,0.7146311630195268,0.4468305462835494,0.008616406905084228,13,0.013786251048134765,True
America,unjustified,0.11326080666038432,0.593891139711904,0.7150802882558696,13,0.7150802882558696,False
Venezuela,unjustified,-0.21080258467249074,0.5168967479969452,0.4396326966176524,13,0.46894154305882924,False
Canada,unjustified,-0.38126308573735523,0.33892475181347714,0.04772030032346063,13,0.06941134592503363,False
Indonesia,unjustified,-0.448738388331465,0.6073046980055231,0.17316834019403904,13,0.19790667450747318,False
China,unjustified,-2.011618588210754,0.27675696772255337,6.997339177134912e-09,13,1.1195742683415859e-07,True
