pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
France vs China,France,China,justified,-3.459005838865456,0.8336984135481799,3.178557343323921e-06,13,79,2.5428458746591368e-05,True
America vs China,America,China,justified,-3.4166237418969834,1.0275981076368872,2.8653965448207858e-05,13,79,0.00016046220650996402,True
Japan vs Indonesia,Japan,Indonesia,justified,-2.9839171166520013,1.1969837283703333,0.00037469292955105444,13,79,0.0014987717182042178,True
Australia vs Indonesia,Australia,Indonesia,justified,-2.6770976407994564,1.0860363822684933,0.0004109837687407733,13,79,0.001534339403298887,True
America vs Indonesia,America,Indonesia,justified,-2.421674675410867,1.4958572262656935,0.008023534471727718,13,79,0.012886909898696881,True
America vs Venezuela,America,Venezuela,justified,-2.2397264345161148,1.0792891922652117,0.0015609579602987797,13,79,0.003800593294640507,True
France vs Indonesia,France,Indonesia,justified,-2.059910128678414,1.273224603085506,0.00805431868668555,13,79,0.012886909898696881,True
Japan vs Venezuela,Japan,Venezuela,justified,-1.8299707986303702,0.8433481867629559,0.0011213704855501927,13,79,0.002990321294800514,True
America vs Canada,America,Canada,justified,-1.806619159121961,0.9013332333252217,0.00200375367385793,13,79,0.0044884082294417635,True
Canada vs Indonesia,Canada,Indonesia,justified,-1.5139222749152559,0.836465431064265,0.0040157089134356385,13,79,0.007495989971746525,True
France vs Venezuela,France,Venezuela,justified,-1.4109003180958468,0.8324084651273965,0.006086193589960471,13,79,0.010328086092054132,True
Japan vs Canada,Japan,Canada,justified,-1.3563415883434318,0.5711591516302695,0.0005561752776285919,13,79,0.001886001965197768,True
America vs France,America,France,justified,-1.3487150796943896,0.7084364400868324,0.0028664324142539804,13,79,0.005945193155489737,True
America vs Australia,America,Australia,justified,-1.0241672256216463,0.8615260798609553,0.038069456966987714,13,79,0.05199730707686127,False
Japan vs Australia,Japan,Australia,justified,-0.798749431948377,0.6253923948270264,0.027746561360169217,13,79,0.0388451859042369,True
