country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Indonesia,justified,0.1816375576691192,0.13146076423065103,0.0190219606854311,13,0.03043513709668976,True
Venezuela,justified,0.1621144858353651,0.15595711622365,0.06428672221807323,13,0.08969105736995903,False
Japan,justified,0.10811788764695016,0.04966430399363644,0.0010941323783189238,13,0.0029176863421837966,True
France,justified,0.02676323043233176,0.08826268935625499,0.563338113034006,13,0.6008939872362731,False
Canada,justified,-0.0002963934995308062,0.11133719423527604,0.9959225843575936,13,0.9959225843575936,False
China,justified,-0.0790857206096786,0.1436920935625917,0.3019052449708799,13,0.3450345656810056,False
Australia,justified,-0.07983590143307273,0.07778715610167838,0.06726829302746927,13,0.08969105736995903,False
America,justified,-0.31941514604148413,0.158398718615914,0.0019194913202001894,13,0.003933191789726447,True
America,unjustified,0.30619399159503896,0.08354007530766414,1.111116693370492e-05,13,0.0001777786709392787,True
Australia,unjustified,0.2432892646449621,0.07715959115270335,4.726932404397072e-05,13,0.00019017675579029007,True
France,unjustified,0.1505306454981282,0.047770726675313534,4.754418894757252e-05,13,0.00019017675579029007,True
Japan,unjustified,0.06827658877711916,0.043072301346804086,0.009072637806755254,13,0.016129133878676007,True
Canada,unjustified,0.05203631888377646,0.06786715517648736,0.15874123374404256,13,0.1953738261465139,False
China,unjustified,-0.18333210691094226,0.09122484423228121,0.0019665958948632237,13,0.003933191789726447,True
Venezuela,unjustified,-0.2708292455961446,0.09008935955735893,7.340840099752803e-05,13,0.0002349068831920897,True
Indonesia,unjustified,-0.3661654568919381,0.10765975181558889,2.3056593240251574e-05,13,0.0001844527459220126,True
