country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
France,justified,1.5739693656984828,0.34315921453219644,1.1172088696427643e-06,13,4.468835478571057e-06,True
Venezuela,justified,1.215125831156922,0.5627461125845272,0.0011634706027460367,13,0.0020683921826596206,True
Indonesia,justified,0.8856476476793199,0.34953759975125925,0.0003273544578924853,13,0.0006547089157849706,True
Canada,justified,0.4207793723329832,0.39210874609871676,0.057207302736991844,13,0.08321062216289722,False
China,justified,-0.15377049499753254,0.4879402105305572,0.5483301445754237,13,0.5848854875471187,False
Australia,justified,-0.5449780919191913,0.356390029062605,0.011125309173269577,13,0.017800494677231323,True
Japan,justified,-1.255604890551884,0.2943745180961769,2.388993127008218e-06,13,6.370648338688581e-06,True
USA,justified,-2.1411687393990997,0.418227177155704,3.4505464012679245e-07,13,2.7604371210143396e-06,True
China,unjustified,1.484653006161089,0.34313664953552453,2.059575615700291e-06,13,6.370648338688581e-06,True
USA,unjustified,1.4303129855728567,0.39066230980821764,1.1231323591778207e-05,13,2.567159678120733e-05,True
Japan,unjustified,0.06566425132180688,0.3730521114966866,0.736068046682649,13,0.736068046682649,False
Indonesia,unjustified,-0.17340601951835166,0.2633647993939743,0.22118389726731802,13,0.25278159687693486,False
Venezuela,unjustified,-0.26126496727743553,0.32853164476611996,0.14504027082301532,13,0.17851110255140348,False
France,unjustified,-0.3644238948482827,0.3799915212337903,0.0846409969267913,13,0.11285466256905508,False
Australia,unjustified,-0.9795530038641611,0.15375546905182974,3.100964654686204e-08,13,4.961543447497926e-07,True
Canada,unjustified,-1.2019823575475215,0.2513446941303577,7.174921245820101e-07,13,3.826624664437387e-06,True
