country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Canada,justified,0.34097004186289903,0.08486661931035784,4.417636745276455e-06,13,1.4136437584884656e-05,True
Indonesia,justified,0.09884182038199896,0.0835849675827424,0.03892489518363837,13,0.05661802935801945,False
France,justified,0.09024030285191,0.04476026918879418,0.0019225187791616302,13,0.0030760300466586084,True
Australia,justified,0.055927238683935114,0.05379294607593648,0.06424344868569626,13,0.07906885992085694,False
USA,justified,0.042845082744636324,0.09943359928099593,0.4148843058078686,13,0.47415349235184984,False
Japan,justified,-0.061700762035583466,0.053530207568761964,0.04327615104863196,13,0.057701534731509276,False
Venezuela,justified,-0.2619640404238618,0.06003556523290891,1.885806854420717e-06,13,1.005763655691049e-05,True
China,justified,-0.3051596840659341,0.09752336652717734,5.0751554115826603e-05,13,0.00010150310823165321,True
China,unjustified,0.299376963196719,0.09243204031203472,3.6740402508170116e-05,13,8.39780628758174e-05,True
Venezuela,unjustified,0.2918261049431322,0.049810154927426596,7.885398513991846e-08,13,6.308318811193477e-07,True
USA,unjustified,0.1383560647021283,0.05783464618667771,0.0005242413441507001,13,0.0009319846118234667,True
Japan,unjustified,-0.009016466040938136,0.04509758752128295,0.7020263891780242,13,0.7020263891780242,False
Indonesia,unjustified,-0.016268887612159683,0.05611973171392739,0.5803786963622495,13,0.6190706094530661,False
Australia,unjustified,-0.16152987836980495,0.0441711402276146,1.1363871705142921e-05,13,3.0303657880381124e-05,True
France,unjustified,-0.24179094664904532,0.03863640964341034,3.786724704124471e-08,13,6.058759526599153e-07,True
Canada,unjustified,-0.30095295417003143,0.07471317302250789,4.302797580426482e-06,13,1.4136437584884656e-05,True
