country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
USA,France,airspace_v1,airspace,justified,-0.2578125,0.640625,0.19140625,1.296223329052961e-05
USA,France,airspace_v1,airspace,unjustified,0.5390625,-0.34375,0.09765625,6.991195766696996e-06
USA,France,airspace_v2,airspace,justified,-0.796875,1.046875,0.125,1.0560678531238853e-05
USA,France,airspace_v2,airspace,unjustified,0.6328125,-0.578125,0.02734375,6.5808530009140686e-06
USA,France,airspace_v3,airspace,justified,-0.515625,0.328125,-0.09375,8.38563949660426e-06
USA,France,airspace_v3,airspace,unjustified,0.734375,-0.5078125,0.11328125,6.365710243307149e-06
USA,France,airspace_v4,airspace,justified,-1.3828125,1.5390625,0.078125,9.766490956826362e-06
USA,France,airspace_v4,airspace,unjustified,0.84375,-0.5078125,0.16796875,6.177699828756507e-06
USA,France,airspace_v5,airspace,justified,-0.5546875,1.0078125,0.2265625,7.905427782463034e-06
USA,France,airspace_v5,airspace,unjustified,0.7421875,-0.625,0.05859375,4.496470641395403e-06
USA,France,maritime_v1,maritime,justified,-0.2734375,-0.5234375,-0.3984375,9.158268889633364e-06
USA,France,maritime_v1,maritime,unjustified,1.234375,-0.625,0.3046875,4.161552905431405e-06
USA,France,maritime_v2,maritime,justified,0.8125,-0.6484375,0.08203125,1.000685935526057e-05
USA,France,maritime_v2,maritime,unjustified,0.09375,0.15625,0.125,5.760250190897985e-06
USA,France,maritime_v3,maritime,justified,0.3359375,-1.1015625,-0.3828125,9.181261585590129e-06
USA,France,maritime_v3,maritime,unjustified,-1.0546875,1.7109375,0.328125,4.880298349206689e-06
USA,France,maritime_v4,maritime,justified,0.46875,-0.9296875,-0.23046875,1.3199928233669816e-05
USA,France,maritime_v4,maritime,unjustified,0.2421875,1.078125,0.66015625,5.616244046332588e-06
USA,France,maritime_v5,maritime,justified,0.421875,-0.0859375,0.16796875,9.391419067055053e-06
USA,France,maritime_v5,maritime,unjustified,0.734375,-0.453125,0.140625,4.796844746865501e-06
