country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
Canada,justified,1.3764977208363045,0.22025450594416054,3.8449081541878434e-08,13,1.5379632616751374e-07,True
Australia,justified,1.0867452440220007,0.13052073901518552,1.4766831109654264e-09,13,2.3626929775446822e-08,True
Indonesia,justified,0.03697720179183205,0.1774466776704217,0.6901489478972809,13,0.6901489478972809,False
USA,justified,-0.0941971006692587,0.19711836348485826,0.367418562706633,13,0.39191313355374185,False
Japan,justified,-0.3949638861945471,0.16643200003952344,0.0005591719296933489,13,0.0006882116057764294,True
France,justified,-0.422576791767181,0.16658815904348903,0.00032426035543795076,13,0.00043234714058393433,True
Venezuela,justified,-0.6724263418620342,0.1417023150116067,7.791266928160215e-07,13,2.0287148102356677e-06,True
China,justified,-0.9160560461571163,0.20935462736172689,1.8319477657117037e-06,13,3.6638955314234074e-06,True
France,unjustified,0.790004550792961,0.16853395854652023,8.875627294781047e-07,13,2.0287148102356677e-06,True
USA,unjustified,0.7572873407801344,0.12804317858687228,7.102752708609559e-08,13,2.2728808667550587e-07,True
Venezuela,unjustified,0.7547852400508048,0.18661112090412388,4.12611857402957e-06,13,7.335321909385902e-06,True
China,unjustified,0.5163663939983705,0.1819176250260671,0.000123114220965029,13,0.00017907523049458764,True
Australia,unjustified,-0.35197941311608266,0.15509513567114847,0.0007954981207789152,13,0.0009091407094616174,True
Japan,unjustified,-0.5879397201710023,0.17069759263425008,2.0412914739988742e-05,13,3.266066358398199e-05,True
Indonesia,unjustified,-0.9211889675860783,0.1431034153092533,2.760787259360803e-08,13,1.4724198716590948e-07,True
Canada,unjustified,-0.9573354247491075,0.14241118867522018,1.6955465330909016e-08,13,1.3564372264727213e-07,True
