pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
China vs Canada,China,Canada,justified,-1.9547187392923968,0.3444861814697218,1.1226360482106522e-07,13,79,3.6980952176350894e-07,True
China vs Australia,China,Australia,justified,-1.9196581898782494,0.26990732081202157,8.957585185214512e-09,13,79,8.825402550212676e-08,True
Venezuela vs Canada,Venezuela,Canada,justified,-1.7877489809482443,0.21204018914151998,1.2781718315517832e-09,13,79,1.862904143481202e-08,True
Japan vs Canada,Japan,Canada,justified,-1.6834998674376869,0.29431811690432963,1.0276525259316524e-07,13,79,3.5967838407607835e-07,True
France vs Canada,France,Canada,justified,-1.6074359623694816,0.2632677563321513,4.985712789563754e-08,13,79,2.2199620361879719e-07,True
Venezuela vs Australia,Venezuela,Australia,justified,-1.5097041520812025,0.15799672456787153,2.9991100446009263e-10,13,79,1.3862982281884355e-08,True
Japan vs Australia,Japan,Australia,justified,-1.3358219547586125,0.23717766216436784,1.2186418654854245e-07,13,79,3.791330248176876e-07,True
France vs Australia,France,Australia,justified,-1.3148826295612277,0.20314116156477022,2.595420831214589e-08,13,79,1.8167945818502123e-07,True
USA vs Canada,USA,Canada,justified,-1.1453439612009804,0.3327135883655227,2.052231200837216e-05,13,79,4.420190278726311e-05,True
China vs Indonesia,China,Indonesia,justified,-0.8505965852802926,0.2946522441064861,0.00010591448077601366,13,79,0.00019132938462763758,True
USA vs Australia,USA,Australia,justified,-0.7808539328052776,0.24895114430797335,4.963643055928504e-05,13,79,9.927286111857008e-05,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-0.7060966689289707,0.14476932686592592,5.812782101656652e-07,13,79,1.5500752271084406e-06,True
China vs Japan,China,Japan,justified,-0.46477177860590557,0.23303658685529696,0.002075795918639504,13,79,0.0032290158734392285,True
France vs Indonesia,France,Indonesia,justified,-0.38473709455039695,0.2957689507572404,0.025485686534620574,13,79,0.0356799611484688,True
China vs Venezuela,China,Venezuela,justified,-0.2751660845873557,0.21495359621460242,0.02745653638473386,13,79,0.036921712355649776,True
Japan vs Indonesia,Japan,Indonesia,justified,-0.26398855739105975,0.29682439137408756,0.10684256931060028,13,79,0.12730178471050246,False
USA vs Indonesia,USA,Indonesia,justified,-0.25645389006688046,0.2463311796686199,0.06392945723351717,13,79,0.07782716532776003,False
France vs Japan,France,Japan,justified,0.04654918194171928,0.1918248843422988,0.6428837942180081,13,79,0.6545725904765174,False
France vs Venezuela,France,Venezuela,justified,0.14162176229987608,0.26637212872987326,0.3179187971360971,13,79,0.34908730665924387,False
USA vs France,USA,France,justified,0.15429505659437878,0.2082226243613409,0.17203801986266387,13,79,0.19661487984304443,False
Canada vs Australia,Canada,Australia,justified,0.16984125969406125,0.15016328816291302,0.04670249084066169,13,79,0.05943953379720579,False
France vs China,France,China,justified,0.31514225646362204,0.21463642883985698,0.013887441305689703,13,79,0.020465702976805878,True
USA vs Venezuela,USA,Venezuela,justified,0.33807963318099354,0.2406784387310739,0.017498210419882768,13,79,0.02512563547470346,True
USA vs Japan,USA,Japan,justified,0.3985587006209643,0.21753931656585848,0.003706908884709481,13,79,0.005610456690371106,True
Japan vs Venezuela,Japan,Venezuela,justified,0.4988992801823077,0.24157946351698595,0.0016169727958488928,13,79,0.0025871564733582282,True
USA vs China,USA,China,justified,0.6323386889919912,0.24526669531991074,0.000283000154189186,13,79,0.0004952502698310755,True
Australia vs Indonesia,Australia,Indonesia,justified,0.9161371087634956,0.1946636554057508,8.507394709327141e-07,13,79,2.1655186532832724e-06,True
Canada vs Indonesia,Canada,Indonesia,justified,1.2868952749112805,0.24584213965099092,2.7123390542617886e-07,13,79,7.594549351933009e-07,True
Japan vs Venezuela,Japan,Venezuela,unjustified,-1.56535731094306,0.2706135377929444,9.08060610096038e-08,13,79,3.390092944358542e-07,True
Canada vs Australia,Canada,Australia,unjustified,-0.5816182084313352,0.2271003626737258,0.0002992913007894363,13,79,0.0005078882680063161,True
China vs Venezuela,China,Venezuela,unjustified,-0.26227535906797034,0.20526316290067734,0.027691284266737334,13,79,0.036921712355649776,True
Canada vs Indonesia,Canada,Indonesia,unjustified,-0.1614303999263179,0.22460803897905268,0.18430666987437225,13,79,0.20642347025929692,False
USA vs France,USA,France,unjustified,-0.045770346217758065,0.16457930977823143,0.5956802549976495,13,79,0.6177424866642292,False
Japan vs Australia,Japan,Australia,unjustified,-0.034132798294444676,0.24081134744714586,0.785885149520294,13,79,0.785885149520294,False
France vs Venezuela,France,Venezuela,unjustified,0.08689767537440683,0.2838857060261528,0.5596934429866447,13,79,0.591374203910417,False
France vs China,France,China,unjustified,0.1365257635125856,0.31301769085007497,0.40936465612252027,13,79,0.4408542450550218,False
USA vs Venezuela,USA,Venezuela,unjustified,0.16611325740131921,0.21419576271888385,0.1544072979888058,13,79,0.18014184765360675,False
Japan vs Indonesia,Japan,Indonesia,unjustified,0.2226315147683515,0.19859538065885374,0.048377474829652115,13,79,0.060203079788011524,False
Japan vs Canada,Japan,Canada,unjustified,0.24250330393895123,0.20553391300466486,0.039294575031464545,13,79,0.05117433027353522,False
USA vs China,USA,China,unjustified,0.33416844561232095,0.15531893329466526,0.0011953867813169032,13,79,0.0019688723456984286,True
Australia vs Indonesia,Australia,Indonesia,unjustified,0.7119630421460656,0.2369048118664907,7.362241633898783e-05,13,79,0.0001421674246545972,True
China vs Japan,China,Japan,unjustified,0.7235378709932169,0.214365315622249,2.4812899654289545e-05,13,79,5.14637918755635e-05,True
China vs Australia,China,Australia,unjustified,0.7453780439938164,0.25274379333918184,8.73807494056356e-05,13,79,0.00016311073222385314,True
Venezuela vs Australia,Venezuela,Australia,unjustified,0.9793397798390561,0.2444032065752452,4.538716305450972e-06,13,79,1.0166724524210176e-05,True
USA vs Australia,USA,Australia,unjustified,1.0331976153024716,0.16387494733674646,3.48476321682519e-08,13,79,1.9514674014221067e-07,True
France vs Australia,France,Australia,unjustified,1.0336545015490808,0.22311719507815791,1.005175154700696e-06,13,79,2.4473829853582162e-06,True
France vs Japan,France,Japan,unjustified,1.0398293237778402,0.24411422322327925,2.422505871165332e-06,13,79,5.652513699385774e-06,True
USA vs Indonesia,USA,Indonesia,unjustified,1.1560176910095652,0.19003129184236506,5.1940468074845774e-08,13,79,2.2199620361879719e-07,True
USA vs Japan,USA,Japan,unjustified,1.2178555558957567,0.20139229170940365,5.5499050904699297e-08,13,79,2.2199620361879719e-07,True
Venezuela vs Indonesia,Venezuela,Indonesia,unjustified,1.331950164164652,0.15853135886542385,1.330645816772287e-09,13,79,1.862904143481202e-08,True
China vs Canada,China,Canada,unjustified,1.3857380609563636,0.24985028950926483,1.4427530183093553e-07,13,79,4.252324685543363e-07,True
Venezuela vs Canada,Venezuela,Canada,unjustified,1.397584999116622,0.22752163365284483,4.661640271460837e-08,13,79,2.2199620361879719e-07,True
USA vs Canada,USA,Canada,unjustified,1.4394291664572647,0.15728573090611975,4.951065100672984e-10,13,79,1.3862982281884355e-08,True
China vs Indonesia,China,Indonesia,unjustified,1.4928803502380736,0.2357046134552758,3.310906194993042e-08,13,79,1.9514674014221067e-07,True
France vs Canada,France,Canada,unjustified,1.4930438344168984,0.2138157348243695,1.1031753187765843e-08,13,79,8.825402550212676e-08,True
France vs Indonesia,France,Indonesia,unjustified,1.6943104107021574,0.2413873476627939,1.0403933988651164e-08,13,79,8.825402550212676e-08,True
