pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Venezuela vs Canada,Venezuela,Canada,justified,-2.737987548887266,0.25825649573159026,8.921305925616501e-11,13,79,4.995931318345241e-09,True
USA vs Canada,USA,Canada,justified,-2.3707534184836314,0.36418756169255595,2.4346899433428745e-08,13,79,2.2723772804533496e-07,True
France vs Canada,France,Canada,justified,-2.0740401875841745,0.24554149890082264,1.251177387630763e-09,13,79,2.3355311235774244e-08,True
Venezuela vs Australia,Venezuela,Australia,justified,-1.725028538182651,0.20285638450205828,1.1579483526962209e-09,13,79,2.3355311235774244e-08,True
Japan vs Canada,Japan,Canada,justified,-1.6282371921028136,0.22618025681148843,7.807539823443498e-09,13,79,8.744444602256718e-08,True
Venezuela vs Indonesia,Venezuela,Indonesia,justified,-1.528652669793684,0.31391736042215646,5.913076433815983e-07,13,79,4.139153503671189e-06,True
USA vs Australia,USA,Australia,justified,-1.4488608271238352,0.3404408142055171,2.444793731170772e-06,13,79,1.140903741213027e-05,True
China vs Canada,China,Canada,justified,-1.4191277947399643,0.3821420910597979,9.756396859403678e-06,13,79,3.902558743761471e-05,True
France vs Indonesia,France,Indonesia,justified,-1.3657726789500577,0.4043025236462837,2.461342481635101e-05,13,79,8.107951704209745e-05,True
Japan vs Indonesia,Japan,Indonesia,justified,-1.1666312813485935,0.2935100617712335,4.928208356982079e-06,13,79,2.122920523007665e-05,True
France vs Australia,France,Australia,justified,-1.0988809522309582,0.4340210575584787,0.00032941725022003076,13,79,0.0007686402505134052,True
USA vs Indonesia,USA,Indonesia,justified,-1.0434938457832013,0.2864035418942095,1.1785846444198768e-05,13,79,4.289801771779072e-05,True
Japan vs Australia,Japan,Australia,justified,-0.8108831422997045,0.3129307487802457,0.00027116634709889345,13,79,0.0006602311059799145,True
USA vs France,USA,France,justified,-0.6345203823713592,0.38036733103929116,0.0067078321720193314,13,79,0.012521286721102752,True
France vs China,France,China,justified,-0.6081866304843854,0.5017814495152195,0.03504067414584128,13,79,0.05031481415813106,False
USA vs Japan,USA,Japan,justified,-0.49503335716960184,0.2738123665253196,0.004044398984370367,13,79,0.008388383078694094,True
China vs Indonesia,China,Indonesia,justified,-0.4415349352272439,0.43353389328454073,0.0691174558358435,13,79,0.09355155643426803,False
France vs Japan,France,Japan,justified,-0.35281699696630786,0.23637565802750055,0.012709360748311216,13,79,0.022241381309544627,True
USA vs China,USA,China,justified,-0.3514639079952851,0.2806249364313982,0.030327452815950416,13,79,0.04469308836034798,True
