country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
USA,France,airspace_v1,airspace,justified,-6.162882566452026,1.5011533498764038,-2.3308646082878113,0.03825286496396547
USA,France,airspace_v1,airspace,unjustified,-0.07807445526123047,-1.8595802783966064,-0.9688273668289185,0.06519769040008339
USA,France,airspace_v2,airspace,justified,-6.231500923633575,2.690651297569275,-1.7704248130321503,0.07860010946379999
USA,France,airspace_v2,airspace,unjustified,3.269388437271118,-2.05073344707489,0.609327495098114,0.09013133178466141
USA,France,airspace_v3,airspace,justified,-3.4036871194839478,0.6713218688964844,-1.3661826252937317,0.0785718178128476
USA,France,airspace_v3,airspace,unjustified,0.1956707239151001,-1.5392991304397583,-0.6718142032623291,0.12519765462806118
USA,France,airspace_v4,airspace,justified,-9.655432879924774,6.938378691673279,-1.3585270941257477,0.07277215368239859
USA,France,airspace_v4,airspace,unjustified,1.640697956085205,0.10145294666290283,0.871075451374054,0.026045104753824044
USA,France,airspace_v5,airspace,justified,-2.7438331246376038,-0.22490322589874268,-1.4843681752681732,0.11172536363220165
USA,France,airspace_v5,airspace,unjustified,0.5818039774894714,-0.7502108812332153,-0.08420345187187195,0.12260802499831895
USA,France,maritime_v1,maritime,justified,1.4214852452278137,-1.2851422429084778,0.06817150115966797,0.11335100453635591
USA,France,maritime_v1,maritime,unjustified,1.5816791653633118,-1.4002434611320496,0.0907178521156311,0.20616332779164703
USA,France,maritime_v2,maritime,justified,1.368577480316162,-1.031201720237732,0.1686878800392151,0.1046909430283462
USA,France,maritime_v2,maritime,unjustified,0.6129237413406372,-0.6131304502487183,-0.00010335445404052734,0.18832395442899622
USA,France,maritime_v3,maritime,justified,3.1808390021324158,-6.2160985469818115,-1.5176297724246979,0.16157493408837395
USA,France,maritime_v3,maritime,unjustified,-0.3477097749710083,0.585758626461029,0.11902442574501038,0.20879572364329976
USA,France,maritime_v4,maritime,justified,-0.5530346632003784,-0.277262806892395,-0.4151487350463867,0.1194614325438164
USA,France,maritime_v4,maritime,unjustified,0.5699933171272278,0.28906047344207764,0.4295268952846527,0.19950220414601305
USA,France,maritime_v5,maritime,justified,2.0367388129234314,-1.1504210233688354,0.443158894777298,0.1608654311175473
USA,France,maritime_v5,maritime,unjustified,4.478014528751373,-4.036824494600296,0.22059501707553864,0.21534754351432261
