country,question,mean_favour,ci95,p_value,n_clusters,p_adjusted,significant
China,justified,2.0980091783069708,0.42670633036406114,5.333146001016815e-07,13,4.266516800813452e-06,True
Indonesia,justified,0.7195149404566912,0.4797156098962021,0.012377466718200112,13,0.0220043852768002,True
Venezuela,justified,0.5878641633638987,0.6591016830287485,0.10594853189442233,13,0.1541069554827961,False
France,justified,-0.1985765863204431,0.5009364430503926,0.45222401653019545,13,0.45222401653019545,False
Canada,justified,-0.2663845037760198,0.635462232502562,0.4273116251939785,13,0.45222401653019545,False
Australia,justified,-0.381098136343742,0.3727151449486478,0.06816476793935741,13,0.10906362870297186,False
Japan,justified,-1.1261086186962104,0.3768642681981756,7.756988085796867e-05,13,0.00020685301562124977,True
USA,justified,-1.4332204369911457,0.7043459813136662,0.0017993333716030083,13,0.004112761992235448,True
USA,unjustified,1.1652098814989729,0.36792650403240224,4.5367335022135835e-05,13,0.00014517547207083467,True
Japan,unjustified,1.1625879563055155,0.2603543757355277,1.481233092134807e-06,13,7.89990982471897e-06,True
France,unjustified,1.0829307084931021,0.292370581095011,1.001177515401868e-05,13,4.004710061607472e-05,True
Australia,unjustified,0.6259757329692115,0.35755320403626084,0.004972677672048148,13,0.009945355344096296,True
Indonesia,unjustified,-0.19570163562918882,0.30314355254736247,0.229772533009478,13,0.28279696370397295,False
Venezuela,unjustified,-0.23974405425652773,0.4245218706988269,0.29003755874399995,13,0.3314714957074285,False
Canada,unjustified,-0.27109852195141565,0.34428249758535745,0.14869271532512515,13,0.19825695376683353,False
China,unjustified,-3.3301600674296696,0.43791389393799035,4.179170244389611e-09,13,6.686672391023378e-08,True
