pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
USA vs China,USA,China,justified,-3.482023398814062,0.6677704273293087,2.828821425807517e-07,13,79,2.2630571406460138e-06,True
USA vs Venezuela,USA,Venezuela,justified,-2.042263240855664,0.9589337327938723,0.001289626276224776,13,79,0.0030091279778578107,True
Japan vs Indonesia,Japan,Indonesia,justified,-1.8744474147616044,0.6139752835023558,6.373141605216278e-05,13,79,0.0002549256642086511,True
France vs China,France,China,justified,-1.7878762685450829,0.6415302333913165,0.0001447648294935584,13,79,0.000540455363442618,True
USA vs Canada,USA,Canada,justified,-1.285772992719085,1.0710226807255052,0.036513127984700015,13,79,0.05526311262549191,False
USA vs France,USA,France,justified,-1.2779651617139602,0.6334175693352587,0.0019124092818080792,13,79,0.004253998562937167,True
USA vs Indonesia,USA,Indonesia,justified,-1.2171789326187143,1.0382791085382124,0.04036408082425554,13,79,0.059483908583113435,False
Australia vs Indonesia,Australia,Indonesia,justified,-1.127615751487592,0.7402411854514278,0.011365052824564058,13,79,0.021946308902606456,True
France vs Venezuela,France,Venezuela,justified,-1.1013735402727318,0.9702732055872184,0.04603700062801412,13,79,0.06610441115817411,False
Japan vs Australia,Japan,Australia,justified,-1.0790340405743293,0.5372450094395708,0.0019750707613636845,13,79,0.004253998562937167,True
France vs Indonesia,France,Indonesia,justified,-1.041873878046439,0.8244219242438792,0.02911902136691206,13,79,0.05095828739209611,False
Japan vs Venezuela,Japan,Venezuela,justified,-0.8863098097319699,0.7374751558777116,0.036343511321679754,13,79,0.05526311262549191,False
Japan vs Canada,Japan,Canada,justified,-0.6963712968816124,0.6516303105826046,0.05810191393957787,13,79,0.08134267951540902,False
Canada vs Indonesia,Canada,Indonesia,justified,-0.6059571927665441,0.6755189925307694,0.1041717531001284,13,79,0.1388956708001712,False
USA vs Australia,USA,Australia,justified,-0.49973652957061926,0.9517015312196482,0.3236881007593906,13,79,0.3910740960187259,False
USA vs Japan,USA,Japan,justified,-0.2276028026459134,0.8073103661144395,0.5906973508240475,13,79,0.6615810329229332,False
Canada vs Australia,Canada,Australia,justified,-0.1629237500527826,0.7584307474688768,0.6811678541654632,13,79,0.7479490163385478,False
France vs Canada,France,Canada,justified,0.04672559805638374,0.8650344455823813,0.9174338146728274,13,79,0.9341144294850605,False
Venezuela vs Indonesia,Venezuela,Indonesia,justified,0.052185938951964876,0.6461045994125648,0.8768458769607907,13,79,0.9264786624491375,False
France vs Australia,France,Australia,justified,0.25700435008823536,0.7164973781130524,0.4954428651765288,13,79,0.5780166760392836,False
Venezuela vs Australia,Venezuela,Australia,justified,0.667872153060859,0.8232600181243616,0.13780731748032682,13,79,0.17946999485810003,False
Venezuela vs Canada,Venezuela,Canada,justified,0.7292218757429377,0.971431165105716,0.1669401292754098,13,79,0.20774771643162107,False
China vs Indonesia,China,Indonesia,justified,0.7782826475320911,0.5947015681066635,0.024770648097108473,13,79,0.044746977207679825,True
France vs Japan,France,Japan,justified,0.9593924727625734,0.42596501761351907,0.0008437226063135521,13,79,0.0020542811284156052,True
China vs Venezuela,China,Venezuela,justified,1.3641774150688375,0.5232849735375673,0.0002576555029509976,13,79,0.0007214354082627933,True
China vs Canada,China,Canada,justified,2.3020073994141876,0.6535637167080047,1.6426886304477518e-05,13,79,8.362778482279463e-05,True
China vs Australia,China,Australia,justified,2.3568890199672388,0.4960606023528081,7.689482235150449e-07,13,79,5.3826375646053146e-06,True
China vs Japan,China,Japan,justified,2.6148080988072953,0.6010549222144218,1.945918827128582e-06,13,79,1.2107939368800064e-05,True
China vs Japan,China,Japan,unjustified,-3.6623765480754757,0.6489132368296738,1.1911238786685364e-07,13,79,1.2105158241668269e-06,True
China vs Australia,China,Australia,unjustified,-3.500303197021238,0.6250168988399033,1.296981240178743e-07,13,79,1.2105158241668269e-06,True
China vs Venezuela,China,Venezuela,unjustified,-3.2552829366590363,0.44907851154528794,7.217114045642417e-09,13,79,1.347194621853251e-07,True
China vs Indonesia,China,Indonesia,unjustified,-2.957422047704824,0.3740793080583833,2.678574522015823e-09,13,79,1.347194621853251e-07,True
China vs Canada,China,Canada,unjustified,-2.408789774988074,0.5801148999555147,3.1528704751098463e-06,13,79,1.765607466061514e-05,True
Canada vs Australia,Canada,Australia,unjustified,-0.8089806485512316,0.4669604621507293,0.005312919577143907,13,79,0.01101938875259477,True
Venezuela vs Australia,Venezuela,Australia,unjustified,-0.6087169829177753,0.6068103528594864,0.0728450063482889,13,79,0.09949561842693118,False
France vs Japan,France,Japan,unjustified,-0.4539987079259488,0.3649700509394593,0.031265617632968215,13,79,0.052638978088726286,False
USA vs Japan,USA,Japan,unjustified,0.012713432372704657,0.4813937822901156,0.9595693233200914,13,79,0.9595693233200914,False
Venezuela vs Canada,Venezuela,Canada,unjustified,0.045910370590044804,0.6626262477056603,0.8942312451277896,13,79,0.9273509208732633,False
