pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Voskara vs Drethia,Voskara,Drethia,justified,-0.12149439362515681,0.03923575890144179,5.5924641146436345e-05,13,79,0.00020131170254123365,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,-0.06984031724405812,0.0329347239907723,0.001331516101996997,13,79,0.002982596068473273,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,-0.054401328691687345,0.03205643633558946,0.006040274664296523,13,79,0.011484293342793748,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,-0.021090888060056243,0.020589321198512492,0.0677277952680284,13,79,0.09980938250025237,False
Bretherland vs Korvachev,Bretherland,Korvachev,justified,-0.017585277755236446,0.025468350551886572,0.20089385080376504,13,79,0.25568308284115554,False
Terluna vs Drethia,Terluna,Drethia,justified,-0.017542355956557468,0.016460762771121917,0.05870151228170833,13,79,0.08884553210204503,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,-0.008828411895386029,0.024785844534387987,0.4984028349190283,13,79,0.5582111751093117,False
Voskara vs Zhaodong,Voskara,Zhaodong,justified,-0.0035771539114115435,0.02296749431725245,0.765392920632781,13,79,0.8242692991429948,False
Voskara vs Melvoni,Voskara,Melvoni,justified,0.0030477343284057603,0.023459613755258426,0.8033188835488448,13,79,0.8487897637497228,False
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,0.011318106729632767,0.027212555600228516,0.43084445429396684,13,79,0.4923936620502478,False
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,0.013206842775037001,0.027141735021541036,0.3590463499037557,13,79,0.4370999042306591,False
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,0.028044870266547568,0.028694171529352264,0.07953873521948811,13,79,0.11095793910860377,False
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,0.029747595260049393,0.01879055607415061,0.009140553126698477,13,79,0.01551124166954893,True
Voskara vs Korvachev,Voskara,Korvachev,justified,0.036186471008337454,0.025492960267926086,0.016583869589606195,13,79,0.025797130472720746,True
Voskara vs Bretherland,Voskara,Bretherland,justified,0.05091002582821435,0.035347844468402084,0.015376804322308497,13,79,0.024602886915693595,True
Melvoni vs Bretherland,Melvoni,Bretherland,justified,0.0634157513728836,0.020541960508146453,5.751762929749533e-05,13,79,0.00020131170254123365,True
Melvoni vs Korvachev,Melvoni,Korvachev,justified,0.06437442756698027,0.01351289875825417,7.473801682482521e-07,13,79,6.50163352688415e-06,True
Terluna vs Voskara,Terluna,Voskara,justified,0.07241586384946828,0.0320871946265396,0.00083060183345176,13,79,0.0021142592124226618,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,0.07396119733378564,0.03588202700672863,0.0016394451883563273,13,79,0.0034003307610353454,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,0.0792124550448451,0.038315485595922766,0.0016044078470934195,13,79,0.0034003307610353454,True
Terluna vs Melvoni,Terluna,Melvoni,justified,0.08474988557889566,0.020364790865368673,3.080912001113552e-06,13,79,1.7253107206235892e-05,True
Drethia vs Melvoni,Drethia,Melvoni,justified,0.10936069121454663,0.023298852920370698,8.749744586136119e-07,13,79,6.50163352688415e-06,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.11021920995643507,0.03924025016823148,0.00013510092845745044,13,79,0.00042031399964540135,True
Drethia vs Zhaodong,Drethia,Zhaodong,justified,0.12688873417593619,0.03977166505324923,4.2337686815509066e-05,13,79,0.00016935074726203626,True
Terluna vs Korvachev,Terluna,Korvachev,justified,0.13545959213605294,0.02215360239470085,4.905873692198914e-08,13,79,9.536794150499299e-07,True
Terluna vs Bretherland,Terluna,Bretherland,justified,0.13550251719606668,0.024874858598736272,1.757112625152934e-07,13,79,2.4599576752141075e-06,True
Drethia vs Korvachev,Drethia,Korvachev,justified,0.14433093336939595,0.035166207100302015,3.552924484765776e-06,13,79,1.808761555880759e-05,True
Drethia vs Bretherland,Drethia,Bretherland,justified,0.19322344426052038,0.028917469449002198,1.81491284732445e-08,13,79,9.536794150499299e-07,True
