pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,-0.2358616929596815,0.04835418984558533,5.807670162490769e-07,13,79,2.3230680649963077e-06,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,-0.17450542848952957,0.0490442411423272,1.487773899330167e-05,13,79,4.1657669181244676e-05,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,-0.15528812955710153,0.03619658826586061,2.2495610608304186e-06,13,79,7.4103187886178495e-06,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,-0.15469619838500417,0.04458149465364864,1.8998511892694357e-05,13,79,4.687013786578847e-05,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,-0.13790745963598344,0.040149628648255976,2.0965145454888104e-05,13,79,4.891867272807224e-05,True
Drethia vs Melvoni,Drethia,Melvoni,justified,-0.1252967944170857,0.03432013007392184,1.1552446099128287e-05,13,79,3.4049314818483374e-05,True
Drethia vs Zhaodong,Drethia,Zhaodong,justified,-0.12487180563774739,0.024176498645919066,3.1362883375946545e-07,13,79,1.4880717453004492e-06,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,-0.11370792205790023,0.01981375327883906,9.910494970261196e-08,13,79,6.166530203718078e-07,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,-0.1077375760226896,0.03150175845946999,2.185687907490432e-05,13,79,4.8959409127785676e-05,True
Voskara vs Zhaodong,Voskara,Zhaodong,justified,-0.10504251614131116,0.027154854148727325,6.48598744701046e-06,13,79,2.017862761292143e-05,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,-0.09583162993956836,0.042251041853539076,0.0007990312304927919,13,79,0.001278449968788467,True
Voskara vs Melvoni,Voskara,Melvoni,justified,-0.06935638364663708,0.029208586873711664,0.0005565451640089817,13,79,0.000916662623073617,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,-0.03417107990973599,0.024793950079143312,0.019263821521065615,13,79,0.02568509536142082,True
Drethia vs Bretherland,Drethia,Bretherland,justified,0.0009933695565540709,0.047974206407014656,0.9682946443251695,13,79,0.9682946443251695,False
Terluna vs Voskara,Terluna,Voskara,justified,0.015444258630494059,0.026857412279242522,0.28173744802621303,13,79,0.3034095594128448,False
Drethia vs Korvachev,Drethia,Korvachev,justified,0.01568180455010889,0.02620554080161616,0.2635950421822407,13,79,0.28943769337657804,False
Terluna vs Melvoni,Terluna,Melvoni,justified,0.03551843223390562,0.029279397362562007,0.03491195143745441,13,79,0.04443339273857834,True
Terluna vs Drethia,Terluna,Drethia,justified,0.07198217223251695,0.029581787012085185,0.0004567999402879979,13,79,0.0007751756562462994,True
Melvoni vs Korvachev,Melvoni,Korvachev,justified,0.07844708123049893,0.03009088727714026,0.00025760920927118453,13,79,0.0004653585715866559,True
Melvoni vs Bretherland,Melvoni,Bretherland,justified,0.08698858395082391,0.033281023695358916,0.0002520150114985556,13,79,0.0004653585715866559,True
Voskara vs Drethia,Voskara,Drethia,justified,0.09142635407219658,0.026383710879505796,1.925023519487741e-05,13,79,4.687013786578847e-05,True
Bretherland vs Korvachev,Bretherland,Korvachev,justified,0.11851704338285729,0.039672250722671866,7.773484743152844e-05,13,79,0.00016122783170983678,True
Terluna vs Bretherland,Terluna,Bretherland,justified,0.12253256309982184,0.040300106443894305,6.617267133332436e-05,13,79,0.0001425257536410063,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,0.13227723686249704,0.020335832950557266,2.45607812232894e-08,13,79,3.288700772906276e-07,True
Voskara vs Bretherland,Voskara,Bretherland,justified,0.15158924956434158,0.0430332187908588,1.6410001003481153e-05,13,79,4.376000267594974e-05,True
Voskara vs Korvachev,Voskara,Korvachev,justified,0.15687198519720372,0.03468335989883628,1.2947278946384344e-06,13,79,4.53154763123452e-06,True
Terluna vs Korvachev,Terluna,Korvachev,justified,0.18588576899780024,0.03746819176434918,4.842475394086588e-07,13,79,2.085989400529607e-06,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,0.3404996638073699,0.04414324709984024,3.5518853768621804e-09,13,79,9.945279055214105e-08,True
Drethia vs Zhaodong,Drethia,Zhaodong,unjustified,-0.17995403079322847,0.021638040393814718,1.496578148978596e-09,13,79,8.380837634280137e-08,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,unjustified,-0.12919421455799007,0.028361971806510552,1.2014821450210638e-06,13,79,4.485533341411972e-06,True
Terluna vs Zhaodong,Terluna,Zhaodong,unjustified,-0.11184682496465172,0.018741473862704125,6.426713259218971e-08,13,79,5.998265708604373e-07,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,unjustified,-0.08073349969782234,0.030392671620944393,0.00021955964777769116,13,79,0.0004239772508810588,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,unjustified,-0.07599273291945238,0.03441355616986502,0.0009819678591329781,13,79,0.0015275055586512992,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,unjustified,-0.061995498194690156,0.03582915355594301,0.005354080661300521,13,79,0.007687910693149467,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,unjustified,-0.058533369949012454,0.030481713886309544,0.0027024116158467773,13,79,0.003982501328616303,True
Drethia vs Bretherland,Drethia,Bretherland,unjustified,-0.05720959689754705,0.037730784699507844,0.011660697425008268,13,79,0.015926806239035682,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,unjustified,-0.05588211382537971,0.040941343381333074,0.020213092634587367,13,79,0.026324027617137036,True
Drethia vs Melvoni,Drethia,Melvoni,unjustified,-0.052281694943869944,0.024181084048425266,0.0011521553686233306,13,79,0.0017438027200785545,True
Melvoni vs Bretherland,Melvoni,Bretherland,unjustified,-0.04966294856898952,0.048094081503082926,0.06582733260840559,13,79,0.08013762230588507,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,unjustified,-0.047424600469869564,0.04452616224269628,0.0588265485506861,13,79,0.0732063715297427,False
Voskara vs Zhaodong,Voskara,Zhaodong,unjustified,-0.04544414148662553,0.02723114699054663,0.0066919720958390026,13,79,0.009368760934174604,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,unjustified,-0.025329008459662777,0.03277116950710021,0.15568721296575727,13,79,0.17792824338943686,False
Voskara vs Melvoni,Voskara,Melvoni,unjustified,-0.025103922551259015,0.028259441962641324,0.10720996660898519,13,79,0.1277395346830462,False
Terluna vs Bretherland,Terluna,Bretherland,unjustified,-0.025041749148250934,0.03228745691478822,0.15437473170776825,13,79,0.17792824338943686,False
Terluna vs Voskara,Terluna,Voskara,unjustified,0.005811618675133247,0.024235089631584793,0.646773327059913,13,79,0.658532842097366,False
Terluna vs Melvoni,Terluna,Melvoni,unjustified,0.009312971321108579,0.02979989799592502,0.5516163112893692,13,79,0.5828398760793335,False
Terluna vs Drethia,Terluna,Drethia,unjustified,0.010722843309243519,0.015227789790973332,0.19270785075460173,13,79,0.21583279284515391,False
Voskara vs Bretherland,Voskara,Bretherland,unjustified,0.011725525334204508,0.039085495068437566,0.5674376678954113,13,79,0.5884538778174635,False
Voskara vs Drethia,Voskara,Drethia,unjustified,0.052019158412357824,0.018316245946096772,0.0001225024884045307,13,79,0.0002450049768090614,True
Melvoni vs Korvachev,Melvoni,Korvachev,unjustified,0.1005960748745845,0.038754858561731935,0.00026726341385536405,13,79,0.0004677109742468871,True
