pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Melvoni vs Bretherland,Melvoni,Bretherland,justified,-0.46710452004276115,0.16962438861068055,0.00016076748160256122,13,79,0.0011253723712179285,True
Voskara vs Bretherland,Voskara,Bretherland,justified,-0.39035314415364475,0.18035928937629717,0.0011433103036792283,13,79,0.004023530844008154,True
Drethia vs Bretherland,Drethia,Bretherland,justified,-0.28537087772032393,0.16969322715473342,0.006386651691951572,13,79,0.016848588659626254,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,-0.2301396593218456,0.12682215589194454,0.00394740928604846,13,79,0.011281266520178057,True
Voskara vs Zhaodong,Voskara,Zhaodong,justified,-0.20272435718239457,0.17382934096573185,0.04124332384238315,13,79,0.0745040688765631,False
Voskara vs Drethia,Voskara,Drethia,justified,-0.1779132241954824,0.14101210305503303,0.029336824916330346,13,79,0.05665042052808618,False
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,-0.022578985904916544,0.15454927152391176,0.7794954797243244,13,79,0.8770124947124501,False
Drethia vs Zhaodong,Drethia,Zhaodong,justified,-0.00930059461390868,0.14714352336605654,0.9034557141982625,13,79,0.91988218172914,False
Terluna vs Bretherland,Terluna,Bretherland,justified,0.012219540574187036,0.09185236747771704,0.7987078076845527,13,79,0.8770124947124501,False
Voskara vs Melvoni,Voskara,Melvoni,justified,0.08155906220078007,0.06746090053097291,0.035426816811974696,13,79,0.06613005804901943,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,0.21531593251127779,0.10473257410759444,0.0016707165417698395,13,79,0.005503536843477118,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,0.22357199981161768,0.14439276294860257,0.010373910980115829,13,79,0.024205792286936933,True
Drethia vs Melvoni,Drethia,Melvoni,justified,0.2286372505427524,0.10396120430044452,0.0010128722142652843,13,79,0.004023530844008154,True
Terluna vs Drethia,Terluna,Drethia,justified,0.23626373966963068,0.12629569367497454,0.0032269289105114674,13,79,0.010039334388257899,True
Voskara vs Korvachev,Voskara,Korvachev,justified,0.25327666172516383,0.15149539055913036,0.006619088401996028,13,79,0.016848588659626254,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,0.2773294475960145,0.12823092597530603,0.001149580241145187,13,79,0.004023530844008154,True
