pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Voskara vs Drethia,Voskara,Drethia,justified,-0.46983745307985675,0.09305659816707094,4.009443927193907e-07,13,79,1.87107383269049e-06,True
Voskara vs Melvoni,Voskara,Melvoni,justified,-0.4131324352771589,0.07837928695805223,2.51614097684353e-07,13,79,1.2809444973021608e-06,True
Voskara vs Bretherland,Voskara,Bretherland,justified,-0.3552255035401919,0.08698355464679404,3.7392953230656196e-06,13,79,1.3960035872778313e-05,True
Terluna vs Melvoni,Terluna,Melvoni,justified,-0.2084334932758913,0.09042346381215531,0.0007042963385160412,13,79,0.0013146864985632768,True
Terluna vs Bretherland,Terluna,Bretherland,justified,-0.13269803621175089,0.05685311748558694,0.000638219468548758,13,79,0.001258714991636523,True
Terluna vs Drethia,Terluna,Drethia,justified,-0.1204641734423873,0.09230359994218604,0.02509510478779166,13,79,0.03346013971705555,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,-0.10267857202898452,0.07849156678938428,0.024819540788308607,13,79,0.03346013971705555,True
Drethia vs Melvoni,Drethia,Melvoni,justified,-0.07649381843569515,0.10427254223110785,0.17604080497929062,13,79,0.20304864443324228,False
Voskara vs Korvachev,Voskara,Korvachev,justified,-0.05495935664836303,0.07095745460053134,0.15488637915183381,13,79,0.18454547303197222,False
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,-0.054301166927421485,0.0743218318373382,0.177667563879087,13,79,0.20304864443324228,False
Drethia vs Bretherland,Drethia,Bretherland,justified,-0.04042181975784756,0.05949799092797544,0.20773749269429903,13,79,0.22964729550098714,False
Melvoni vs Bretherland,Melvoni,Bretherland,justified,-0.0326665596756743,0.11300569925309639,0.5814438514842647,13,79,0.6143557676060155,False
Voskara vs Zhaodong,Voskara,Zhaodong,justified,0.019516938171543916,0.07924286158776021,0.6379714695038043,13,79,0.6616000424483898,False
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,0.0813587487508089,0.0836963340126015,0.0809838026854448,13,79,0.09858897718228063,False
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,0.10927484189961856,0.1034365602481548,0.060620549323056556,13,79,0.07715342641116289,False
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,0.13784913071891763,0.11801534685654752,0.040975999035432045,13,79,0.053364091767074295,False
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,0.16513564052817584,0.08450706509569927,0.0023953725614165857,13,79,0.00406487464967663,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.22759271743315043,0.09777020057376352,0.0006518345492403422,13,79,0.001258714991636523,True
Terluna vs Korvachev,Terluna,Korvachev,justified,0.22839399734204946,0.06924410051444178,3.092083087450577e-05,13,79,8.245554899868205e-05,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,0.24214458453294999,0.10064944585564213,0.0005008991187294211,13,79,0.0010389018758832438,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,0.2836967737792613,0.15911411261031613,0.004425395336354269,13,79,0.007288886436348207,True
Terluna vs Voskara,Terluna,Voskara,justified,0.29993704130579696,0.08466418609001845,1.5524987289400627e-05,13,79,4.5757857274022904e-05,True
Melvoni vs Korvachev,Melvoni,Korvachev,justified,0.30367159248490033,0.09587905893664704,4.5330910516674015e-05,13,79,0.00011037091256233673,True
Bretherland vs Korvachev,Bretherland,Korvachev,justified,0.3057749620178244,0.10180445908251828,7.400783278274036e-05,13,79,0.0001657775454333384,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,0.33057177107740227,0.09258221248870288,1.437715509445736e-05,13,79,4.472892696053401e-05,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,0.35315075769147164,0.11691709025075134,7.029377576196386e-05,13,79,0.00016401881011124899,True
Drethia vs Korvachev,Drethia,Korvachev,justified,0.366815477193439,0.07924143824427045,1.0137109484090062e-06,13,79,4.054843793636025e-06,True
Drethia vs Zhaodong,Drethia,Zhaodong,justified,0.4108859945238728,0.05589926901538898,6.15904315139227e-09,13,79,6.898128329559342e-08,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,unjustified,-0.381653501409969,0.056078851796639365,1.4754377718022158e-08,13,79,1.1803502174417727e-07,True
Voskara vs Korvachev,Voskara,Korvachev,unjustified,-0.26605425828269547,0.03489963769421078,4.062811324133528e-09,13,79,5.687935853786939e-08,True
Voskara vs Drethia,Voskara,Drethia,unjustified,-0.2625200308913932,0.02901055045223395,5.642213470964115e-10,13,79,1.579819771869952e-08,True
