pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,-0.15431834030521166,0.08916825705249631,0.005347619159076448,13,79,0.011091358255862263,True
Voskara vs Zhaodong,Voskara,Zhaodong,justified,-0.1439732125902296,0.046722231251838456,5.850122440424102e-05,13,79,0.00027354621209870557,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,-0.1240699446893164,0.045434279384751225,0.00017296539430272442,13,79,0.0006918615772108977,True
Voskara vs Korvachev,Voskara,Korvachev,justified,-0.09672618697264365,0.047226308806826406,0.0017167823005510804,13,79,0.004517674976575774,True
Terluna vs Korvachev,Terluna,Korvachev,justified,-0.09608229965094355,0.055397361207042875,0.0052749380158535145,13,79,0.011091358255862263,True
Drethia vs Korvachev,Drethia,Korvachev,justified,-0.06901041838262,0.052223987318184416,0.023657662341628097,13,79,0.04416096970437245,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,-0.0631295779597137,0.08506098836109009,0.17141970085539415,13,79,0.23413422555858712,False
Melvoni vs Korvachev,Melvoni,Korvachev,justified,-0.06171302521608142,0.0481726757853946,0.027361783467885696,13,79,0.049427737877470936,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,-0.06126945895985479,0.05272316329659677,0.04185100452899349,13,79,0.0710198864734435,False
Terluna vs Voskara,Terluna,Voskara,justified,-0.0601104627817105,0.02523605399735939,0.0005428174470420065,13,79,0.0017881045314324922,True
Drethia vs Zhaodong,Drethia,Zhaodong,justified,-0.048134159334276845,0.0482697720837061,0.07434313527563417,13,79,0.11894901644101467,False
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,-0.047161174566235954,0.04640704974004961,0.06964313988236352,13,79,0.11470634804153991,False
Terluna vs Bretherland,Terluna,Bretherland,justified,-0.045930631598628265,0.052626785365005944,0.11285608425137497,13,79,0.17080920859667564,False
Bretherland vs Korvachev,Bretherland,Korvachev,justified,-0.04474301897535175,0.07859504646658434,0.28635381323090475,13,79,0.3486046421941449,False
Melvoni vs Bretherland,Melvoni,Bretherland,justified,-0.03743131824124317,0.045365851725059365,0.1318041432485174,13,79,0.18925723133120448,False
Drethia vs Bretherland,Drethia,Bretherland,justified,-0.020232373619991126,0.052842224635777285,0.4674440120047159,13,79,0.5342217280053896,False
Voskara vs Melvoni,Voskara,Melvoni,justified,-0.01847241262158195,0.028442425948800375,0.22714309168521254,13,79,0.2890912075993614,False
Voskara vs Bretherland,Voskara,Bretherland,justified,-0.012419871286567529,0.06057764398324451,0.6948615122079719,13,79,0.7205971237712302,False
Voskara vs Drethia,Voskara,Drethia,justified,-0.01219093863726099,0.03512975095353766,0.509306158570215,13,79,0.5592381349006282,False
Terluna vs Melvoni,Terluna,Melvoni,justified,-0.011904761116719724,0.024239714149358323,0.3547416331894368,13,79,0.42267088209805237,False
Drethia vs Melvoni,Drethia,Melvoni,justified,-0.009128893104692302,0.029537031754738433,0.5559525899755475,13,79,0.5874216045024653,False
Terluna vs Drethia,Terluna,Drethia,justified,-0.0018028845778587997,0.029570041824609157,0.906855662443474,13,79,0.9127523969275398,False
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,0.027100506325631022,0.05757681726794661,0.3744230595501341,13,79,0.43682690280848985,False
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,0.04837740473824489,0.08209238178128779,0.27055757794865076,13,79,0.33669387478054313,False
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,0.07275927345688034,0.05883397494820132,0.03208759610663387,13,79,0.05615329318660928,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,0.08598042690048452,0.06244939198024808,0.01936190356564549,13,79,0.037388503437108526,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.10036057814948889,0.043988949339326074,0.0007633508961569981,13,79,0.002249876325515363,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,0.13533081657393073,0.06891344436199855,0.0023143218544947005,13,79,0.0054000843271543005,True
Bretherland vs Korvachev,Bretherland,Korvachev,unjustified,-0.3684037350281909,0.06339700048252415,8.631909922484882e-08,13,79,2.4169347782957672e-06,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,unjustified,-0.2918240594142031,0.06062313931979994,6.689136852592085e-07,13,79,6.9519077110891434e-06,True
Terluna vs Korvachev,Terluna,Korvachev,unjustified,-0.21922218526334877,0.05778112192896564,7.879743366208985e-06,13,79,6.303794692967188e-05,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,unjustified,-0.21681833894916502,0.04388861173955603,5.067794365255509e-07,13,79,6.9519077110891434e-06,True
Melvoni vs Korvachev,Melvoni,Korvachev,unjustified,-0.1971296952771289,0.05319804225956068,9.968510729153613e-06,13,79,6.97795751040753e-05,True
Voskara vs Korvachev,Voskara,Korvachev,unjustified,-0.15353136459849911,0.04763876154910298,3.850338382759142e-05,13,79,0.00021561894943451196,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,unjustified,-0.1315533419995954,0.04270087640971022,5.861704544972262e-05,13,79,0.00027354621209870557,True
Drethia vs Korvachev,Drethia,Korvachev,unjustified,-0.12079326947298133,0.05812117299776574,0.001543978819664011,13,79,0.00432314069505923,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,unjustified,-0.10143372233984344,0.039133072052038614,0.0002704898380463518,13,79,0.00100982872870638,True
Terluna vs Zhaodong,Terluna,Zhaodong,unjustified,-0.09874370544739476,0.04304259127254833,0.000731194057538214,13,79,0.002249876325515363,True
