pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Terluna vs Bretherland,Terluna,Bretherland,justified,-0.8767885645721858,0.21817351260368706,4.405883618674955e-06,13,79,1.6448632176386498e-05,True
Voskara vs Bretherland,Voskara,Bretherland,justified,-0.6938100766131292,0.1804816777528562,6.9063133279389445e-06,13,79,2.4172096647786306e-05,True
Melvoni vs Bretherland,Melvoni,Bretherland,justified,-0.6578954823669935,0.18729448729443107,1.687042925133037e-05,13,79,5.5573178710264745e-05,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,-0.6431147058258998,0.29176745840874163,0.0009956948744885275,13,79,0.0025344960441526154,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,-0.638081618526698,0.28794804627615705,0.000956075401080158,13,79,0.0025344960441526154,True
Drethia vs Bretherland,Drethia,Bretherland,justified,-0.40569195691700827,0.23858113407683285,0.0059664885440713425,13,79,0.0128508984026152,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,-0.3841754072806337,0.37560164990113626,0.06808623619245403,13,79,0.10033761123098489,False
Voskara vs Drethia,Voskara,Drethia,justified,-0.38202911959244656,0.16963519288393766,0.0008443517364671292,13,79,0.002364184862107962,True
Terluna vs Drethia,Terluna,Drethia,justified,-0.3248876752707111,0.30345206659631413,0.05770323695833339,13,79,0.09232517913333342,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,-0.21049392056879979,0.33143437990724706,0.23696903239268646,13,79,0.2823460811487328,False
Voskara vs Melvoni,Voskara,Melvoni,justified,-0.14497481272879975,0.14481643297623034,0.07335746163031578,13,79,0.10533379105891498,False
Terluna vs Voskara,Terluna,Voskara,justified,-0.0829291610054044,0.1300218535721995,0.23509034673178547,13,79,0.2823460811487328,False
Terluna vs Melvoni,Terluna,Melvoni,justified,-0.00033984920044086793,0.21025580741675276,0.9975243104530614,13,79,0.9975243104530614,False
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.09686927340460787,0.2781888668227849,0.5078843760829346,13,79,0.5469524050123911,False
Terluna vs Korvachev,Terluna,Korvachev,justified,0.13909039474450624,0.1767327423873181,0.14889142531014424,13,79,0.19390511203181574,False
Voskara vs Zhaodong,Voskara,Zhaodong,justified,0.1764394402667716,0.17138331632330622,0.06653902562455727,13,79,0.10033761123098489,False
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,0.21006109303498008,0.3033039325440992,0.19961926033666336,13,79,0.24841507953006997,False
Terluna vs Zhaodong,Terluna,Zhaodong,justified,0.2676782879309777,0.21990970750665534,0.03440067245175726,13,79,0.05665993109701195,False
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,0.2796367107184378,0.16765203909476814,0.006713171766127393,13,79,0.013923615514930888,True
Voskara vs Korvachev,Voskara,Korvachev,justified,0.2874885548056264,0.1788344243857779,0.008361970669116113,13,79,0.01614725370587939,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,0.3001695682905315,0.38088873594457845,0.14838786459996248,13,79,0.19390511203181574,False
Melvoni vs Korvachev,Melvoni,Korvachev,justified,0.3263328446027561,0.2410100260228166,0.02102769891505498,13,79,0.03568336785585088,True
Drethia vs Melvoni,Drethia,Melvoni,justified,0.34791737685710084,0.24977730356844413,0.018262970808399198,13,79,0.0319601989146986,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,0.71434651582669,0.4066067562831996,0.004863648543148135,13,79,0.010894572736651821,True
Drethia vs Zhaodong,Drethia,Zhaodong,justified,0.797636944159265,0.23428713939062926,2.283643452863174e-05,13,79,7.104668520018763e-05,True
Drethia vs Korvachev,Drethia,Korvachev,justified,0.9293262340919876,0.343693832564858,0.0001884296316882595,13,79,0.0005553715460285543,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,1.0539756453572175,0.15521795998168691,1.513583601606474e-08,13,79,8.476068168996253e-08,True
