pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,-1.460923195128059,0.6740721659977933,0.0011314530676173244,13,79,0.004525812270469298,True
Voskara vs Zhaodong,Voskara,Zhaodong,justified,-1.1976877322932722,0.5586229688634703,0.001227004875642647,13,79,0.004580818202399215,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,-1.1124513737235382,0.6443744708427523,0.00543033983832369,13,79,0.014480906235529842,True
Voskara vs Drethia,Voskara,Drethia,justified,-1.0196457145247515,0.539194836724139,0.003000133279594851,13,79,0.009882791979841862,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,-0.9339800801360201,0.8071781730702642,0.04259905234221124,13,79,0.0662651925323286,False
Voskara vs Melvoni,Voskara,Melvoni,justified,-0.7693738609077627,0.5046101675269256,0.01130802939041184,13,79,0.02183619468493321,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,-0.6105482864534407,0.24670262211199714,0.00039778517961805264,13,79,0.003182022983301397,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,-0.48298706818768916,0.36206467555345445,0.022608961574865447,13,79,0.039565682756014534,True
Bretherland vs Korvachev,Bretherland,Korvachev,justified,-0.335078973655009,0.48870566115481967,0.20385009084468594,13,79,0.2654791880768003,False
Terluna vs Melvoni,Terluna,Melvoni,justified,-0.1882869744868403,0.3596594266799529,0.3250897189128428,13,79,0.39576139693737383,False
Terluna vs Drethia,Terluna,Drethia,justified,-0.15653620468756527,0.2660034638755955,0.27119895398915694,13,79,0.3451623050771088,False
Drethia vs Zhaodong,Drethia,Zhaodong,justified,-0.14873798829284246,0.3376436047968381,0.40483652531973213,13,79,0.46267031465112246,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,-0.07696599042451403,0.42144323308234977,0.7266019247249571,13,79,0.7978374075411294,False
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,0.050724019321116906,0.535087471759322,0.8557055352235501,13,79,0.8873983328244223,False
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.12946430988457422,0.567343090774819,0.6626531924502964,13,79,0.742171575544332,False
Drethia vs Melvoni,Drethia,Melvoni,justified,0.15009730986935296,0.31428212455431975,0.36769259546445715,13,79,0.4326633971152934,False
Voskara vs Korvachev,Voskara,Korvachev,justified,0.1955843609745978,0.3432042671989711,0.2858768400092329,13,79,0.3557578453448232,False
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,0.4288003561662709,0.40224739950397764,0.058639482939900456,13,79,0.08875164985498447,False
Voskara vs Bretherland,Voskara,Bretherland,justified,0.5957675142937705,0.4235476508156857,0.01737673504889114,13,79,0.03243657209126346,True
