pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Drethia vs Bretherland,Drethia,Bretherland,justified,-0.13382841117216118,0.044687456478069536,7.601194055038011e-05,13,79,0.0007567454037396428,True
Melvoni vs Bretherland,Melvoni,Bretherland,justified,-0.1326407967032967,0.06108189601656833,0.001115019080024891,13,79,0.0047032840923480965,True
Voskara vs Bretherland,Voskara,Bretherland,justified,-0.11737351190476192,0.05935579570453414,0.0022045292782723823,13,79,0.006787100438947228,True
Terluna vs Bretherland,Terluna,Bretherland,justified,-0.10521119505494508,0.0440860760993213,0.0005345307537151156,13,79,0.00272124747345877,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,-0.026599702380952384,0.08258836518011009,0.5397036100389412,13,79,0.6222086253804924,False
Terluna vs Zhaodong,Terluna,Zhaodong,justified,-0.011790293040293038,0.06205667517424637,0.7160996875877996,13,79,0.7711842789407073,False
Drethia vs Melvoni,Drethia,Melvoni,justified,-0.00967261904761905,0.04178287164407163,0.6581163957879023,13,79,0.7226376110612259,False
Voskara vs Zhaodong,Voskara,Zhaodong,justified,-0.008642399267399266,0.0608491408653595,0.7854604461665552,13,79,0.817970750255337,False
Terluna vs Voskara,Terluna,Voskara,justified,-0.002489697802197803,0.03620901588457317,0.8950295750100281,13,79,0.9113028400102104,False
Drethia vs Zhaodong,Drethia,Zhaodong,justified,0.0021605998168498183,0.042752710742861064,0.9227318043124558,13,79,0.9227318043124558,False
Voskara vs Drethia,Voskara,Drethia,justified,0.015267284798534798,0.03845252952160752,0.4515211448477623,13,79,0.5496779154668411,False
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,0.04139480311355311,0.06284625394928973,0.22102429528975817,13,79,0.29469906038634425,False
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.04927884615384615,0.046018252073318826,0.05766004655813916,13,79,0.08497270019094191,False
Voskara vs Melvoni,Voskara,Melvoni,justified,0.04949347527472528,0.04458886349624043,0.050289062244751194,13,79,0.07611317528935316,False
