country_1,country_2,scenario,scenario_type,question,diff_fwd,diff_rev,bias,compliance
Terluna,Voskara,airspace_v1,airspace,justified,-0.12499634921550751,0.2187410593032837,0.04687235504388809,0.9947589216118882
Terluna,Voskara,airspace_v1,airspace,unjustified,-0.015619218349456787,3.874301910400391e-06,-0.007807672023773193,0.995710294266149
Terluna,Voskara,airspace_v2,airspace,justified,-0.21873821318149567,0.23435825109481812,0.007810018956661224,0.9946303776867937
Terluna,Voskara,airspace_v2,airspace,unjustified,-0.07811941206455231,0.09374789893627167,0.00781424343585968,0.9951880417522321
Terluna,Voskara,airspace_v3,airspace,justified,-0.2968636676669121,0.34373944252729416,0.02343788743019104,0.9968746825250889
Terluna,Voskara,airspace_v3,airspace,unjustified,-0.015630647540092468,0.09375126659870148,0.039060309529304504,0.99705634613722
Terluna,Voskara,airspace_v4,airspace,justified,-0.24998067319393158,0.3124843239784241,0.031251825392246246,0.9957002569941407
Terluna,Voskara,airspace_v4,airspace,unjustified,-0.09374457597732544,0.0781262218952179,-0.007809177041053772,0.9956414619320969
Terluna,Voskara,airspace_v5,airspace,justified,-0.0937461107969284,0.24999289214611053,0.07812339067459106,0.994471793293302
Terluna,Voskara,airspace_v5,airspace,unjustified,-0.04687036573886871,0.046880125999450684,4.880130290985107e-06,0.9951254390144519
Terluna,Voskara,maritime_v1,maritime,justified,-4.51505184173584e-06,-0.06249117851257324,-0.03124784678220749,0.9951910502497474
Terluna,Voskara,maritime_v1,maritime,unjustified,0.20311391353607178,-0.26560626924037933,-0.031246177852153778,0.996078472864893
Terluna,Voskara,maritime_v2,maritime,justified,0.031239986419677734,-0.07811833918094635,-0.023439176380634308,0.9951001740791925
Terluna,Voskara,maritime_v2,maritime,unjustified,0.1562444418668747,-0.20311585068702698,-0.02343570441007614,0.996281985282087
Terluna,Voskara,maritime_v3,maritime,justified,0.17187073826789856,-0.12499508261680603,0.023437827825546265,0.995635484906757
Terluna,Voskara,maritime_v3,maritime,unjustified,-0.09373696148395538,0.14062008261680603,0.023441560566425323,0.99638324078356
Terluna,Voskara,maritime_v4,maritime,justified,-0.09374774992465973,0.15623261034488678,0.031242430210113525,0.9935823208235068
Terluna,Voskara,maritime_v4,maritime,unjustified,0.04687124490737915,-0.09374463558197021,-0.023436695337295532,0.9955056400274415
Terluna,Voskara,maritime_v5,maritime,justified,0.43746818602085114,-0.3437242954969406,0.04687194526195526,0.9936436402898461
Terluna,Voskara,maritime_v5,maritime,unjustified,0.2343546599149704,-0.20311324298381805,0.015620708465576172,0.995463083569941
Terluna,Voskara,strike_v1,strike,justified,0.3749794363975525,-0.3437315374612808,0.015623949468135834,0.9954114965263403
Terluna,Voskara,strike_v1,strike,unjustified,0.3124784231185913,-0.34372320771217346,-0.015622392296791077,0.9955328092850343
Terluna,Voskara,strike_v2,strike,justified,0.2656082510948181,-0.21872980892658234,0.02343922108411789,0.994714730985887
Terluna,Voskara,strike_v2,strike,unjustified,0.31248627603054047,-0.3437195420265198,-0.015616632997989655,0.995055278242585
Terluna,Voskara,strike_v3,strike,justified,0.39059993624687195,-0.29685939848423004,0.04687026888132095,0.9952647061707101
Terluna,Voskara,strike_v3,strike,unjustified,0.2812356948852539,-0.21873803436756134,0.031248830258846283,0.9950684176875828
Terluna,Voskara,strike_v4,strike,justified,0.4999682456254959,-0.32810619473457336,0.08593102544546127,0.9947073976798251
Terluna,Voskara,strike_v4,strike,unjustified,0.3906095176935196,-0.35935190320014954,0.015628807246685028,0.9952150332413694
Terluna,Voskara,strike_v5,strike,justified,0.07811629772186279,-0.04687735438346863,0.015619471669197083,0.9939628720824669
Terluna,Voskara,strike_v5,strike,unjustified,0.18748684227466583,-0.24998725950717926,-0.031250208616256714,0.9950543677481405
Terluna,Voskara,proxy_v1,proxy,justified,-0.20311196148395538,0.21874785423278809,0.007817946374416351,0.99382006261308
Terluna,Voskara,proxy_v1,proxy,unjustified,-0.031248748302459717,0.046873271465301514,0.0078122615814208984,0.9939638206395494
Terluna,Voskara,proxy_v2,proxy,justified,-0.0937451422214508,0.14062653481960297,0.02344069629907608,0.993556435309241
Terluna,Voskara,proxy_v2,proxy,unjustified,0.031249523162841797,-0.03124600648880005,1.7583370208740234e-06,0.9934151880668092
Terluna,Voskara,proxy_v3,proxy,justified,-0.031243398785591125,0.14061830937862396,0.05468745529651642,0.9950689587776349
Terluna,Voskara,proxy_v3,proxy,unjustified,-0.0781143307685852,0.07812237739562988,4.023313522338867e-06,0.9957841112770892
Terluna,Voskara,proxy_v4,proxy,justified,-0.46872763335704803,0.4531059265136719,-0.00781085342168808,0.9954408959721726
Terluna,Voskara,proxy_v4,proxy,unjustified,-0.07812385261058807,0.06250548362731934,-0.007809184491634369,0.9953904457872657
Terluna,Voskara,proxy_v5,proxy,justified,-0.04687085747718811,0.2343570441007614,0.09374309331178665,0.9948736780777084
Terluna,Voskara,proxy_v5,proxy,unjustified,0.0781194418668747,-0.04686489701271057,0.015627272427082062,0.9957293869898295
Terluna,Voskara,cyber_v1,cyber,justified,-0.37497134506702423,0.390597328543663,0.007812991738319397,0.99504044951618
Terluna,Voskara,cyber_v1,cyber,unjustified,-0.0312444269657135,0.04687748849391937,0.007816530764102936,0.9954888540514475
Terluna,Voskara,cyber_v2,cyber,justified,-0.18747635185718536,0.37497247755527496,0.0937480628490448,0.9943204912686587
Terluna,Voskara,cyber_v2,cyber,unjustified,-0.10935786366462708,0.1718636155128479,0.03125287592411041,0.995016740994036
Terluna,Voskara,cyber_v3,cyber,justified,-0.234360009431839,0.29685424268245697,0.03124711662530899,0.9954804204143403
Terluna,Voskara,cyber_v3,cyber,unjustified,-0.031247079372406006,0.03125378489494324,3.3527612686157227e-06,0.9959607597410088
Terluna,Voskara,cyber_v4,cyber,justified,-0.3905918449163437,0.35935376584529877,-0.015619039535522461,0.9953907109008175
Terluna,Voskara,cyber_v4,cyber,unjustified,-0.10936354100704193,0.06250211596488953,-0.023430712521076202,0.9959408219949087
Terluna,Voskara,cyber_v5,cyber,justified,-0.17186184227466583,0.23436392843723297,0.03125104308128357,0.9951706699726073
Terluna,Voskara,cyber_v5,cyber,unjustified,0.10937438905239105,-0.10936947166919708,2.4586915969848633e-06,0.9957051078099719
Terluna,Voskara,trade_v1,trade,justified,-0.18747958540916443,0.28122982382774353,0.04687511920928955,0.9940280971275519
Terluna,Voskara,trade_v1,trade,unjustified,-5.4836273193359375e-06,0.06249728798866272,0.031245902180671692,0.9952894849719859
Terluna,Voskara,trade_v2,trade,justified,-0.14060892164707184,0.28123220801353455,0.07031164318323135,0.9942011893151667
Terluna,Voskara,trade_v2,trade,unjustified,2.3245811462402344e-06,0.04687701165676117,0.023439668118953705,0.9948370973395617
Terluna,Voskara,trade_v3,trade,justified,-0.17186066508293152,0.24998806416988373,0.039063699543476105,0.9944071919636887
Terluna,Voskara,trade_v3,trade,unjustified,0.015624374151229858,0.01562654972076416,0.01562546193599701,0.9957132822800606
Terluna,Voskara,trade_v4,trade,justified,-3.2782554626464844e-06,0.21873438358306885,0.1093655526638031,0.993923487313403
Terluna,Voskara,trade_v4,trade,unjustified,0.04686999320983887,-0.031240850687026978,0.007814571261405945,0.9941892631883191
Terluna,Voskara,trade_v5,trade,justified,-0.2655965983867645,0.1874776929616928,-0.03905945271253586,0.9949158803778394
Terluna,Voskara,trade_v5,trade,unjustified,-0.07811413705348969,0.031249582767486572,-0.023432277143001556,0.9951742221454833
Terluna,Voskara,border_v1,border,justified,0.03125542402267456,0.01562093198299408,0.02343817800283432,0.9934068081487876
Terluna,Voskara,border_v1,border,unjustified,0.09374716877937317,-0.07811766862869263,0.007814750075340271,0.9944859228139211
Terluna,Voskara,border_v2,border,justified,0.10937035083770752,-0.046870648860931396,0.03124985098838806,0.992867843223947
Terluna,Voskara,border_v2,border,unjustified,0.12499004602432251,-0.0781184732913971,0.023435786366462708,0.9939878047731459
Terluna,Voskara,border_v3,border,justified,-0.09374524652957916,0.24998395144939423,0.07811935245990753,0.9928713798940658
Terluna,Voskara,border_v3,border,unjustified,0.07812182605266571,-0.10936707258224487,-0.015622623264789581,0.9941888942718453
Terluna,Voskara,border_v4,border,justified,0.0625038594007492,2.8312206268310547e-07,0.031252071261405945,0.9941749675699534
Terluna,Voskara,border_v4,border,unjustified,0.14062385261058807,-0.17185266315937042,-0.015614405274391174,0.9946529670093556
Terluna,Voskara,border_v5,border,justified,0.07811631262302399,-0.015618816018104553,0.031248748302459717,0.9948587419172603
Terluna,Voskara,border_v5,border,unjustified,0.14061658084392548,-0.18748219311237335,-0.023432806134223938,0.9963749330680244
Terluna,Voskara,espionage_v1,espionage,justified,-0.031241774559020996,0.06249557435512543,0.015626899898052216,0.9943910051816941
Terluna,Voskara,espionage_v1,espionage,unjustified,-0.031241893768310547,6.690621376037598e-06,-0.015617601573467255,0.9943774315879779
Terluna,Voskara,espionage_v2,espionage,justified,-0.10937735438346863,0.3124876916408539,0.10155516862869263,0.9940378419281417
Terluna,Voskara,espionage_v2,espionage,unjustified,-0.07811889052391052,0.12499397993087769,0.02343754470348358,0.9943608579886739
Terluna,Voskara,espionage_v3,espionage,justified,-0.03123869001865387,0.15623950958251953,0.06250040978193283,0.9942868023213757
Terluna,Voskara,espionage_v3,espionage,unjustified,0.32810482382774353,-0.3437194228172302,-0.007807299494743347,0.9943626551427517
Terluna,Voskara,espionage_v4,espionage,justified,0.03125254809856415,-8.448958396911621e-06,0.015622049570083618,0.9947181455899914
Terluna,Voskara,espionage_v4,espionage,unjustified,0.20311622321605682,-0.1718595176935196,0.015628352761268616,0.9956418125524646
Terluna,Voskara,espionage_v5,espionage,justified,-0.42184364795684814,0.39060094952583313,-0.015621349215507507,0.9936771219147369
Terluna,Voskara,espionage_v5,espionage,unjustified,1.9371509552001953e-06,-0.015621215105056763,-0.007809638977050781,0.9932272291810363
Terluna,Voskara,humanitarian_v1,humanitarian,justified,-0.28123851120471954,0.32811005413532257,0.023435771465301514,0.9946584858150601
Terluna,Voskara,humanitarian_v1,humanitarian,unjustified,-0.015624374151229858,0.04688233137130737,0.015628978610038757,0.995422966302384
Terluna,Voskara,humanitarian_v2,humanitarian,justified,0.07811731100082397,-0.06249381601810455,0.007811747491359711,0.9929764137842582
Terluna,Voskara,humanitarian_v2,humanitarian,unjustified,0.06249988079071045,-0.1093692034482956,-0.023434661328792572,0.9947665744871921
Terluna,Voskara,humanitarian_v3,humanitarian,justified,-0.26561239361763,0.23436585068702698,-0.015623271465301514,0.9947088193311258
Terluna,Voskara,humanitarian_v3,humanitarian,unjustified,0.21873855590820312,-0.1718653440475464,0.02343660593032837,0.9955294312144383
Terluna,Voskara,humanitarian_v4,humanitarian,justified,-0.26561006903648376,0.2499864399433136,-0.007811814546585083,0.9939875118102284
Terluna,Voskara,humanitarian_v4,humanitarian,unjustified,0.15624724328517914,-0.20311133563518524,-0.023432046175003052,0.9937967676801727
Terluna,Voskara,humanitarian_v5,humanitarian,justified,-0.21873839199543,0.26560452580451965,0.02343306690454483,0.9944555476659995
Terluna,Voskara,humanitarian_v5,humanitarian,unjustified,0.046867042779922485,-0.1406073123216629,-0.04687013477087021,0.9953433183850751
Terluna,Voskara,nuclear_v1,nuclear,justified,-0.3281043916940689,0.3437284529209137,0.007812030613422394,0.9950881692028837
Terluna,Voskara,nuclear_v1,nuclear,unjustified,-0.04687504470348358,0.04687398672103882,-5.289912223815918e-07,0.9958909500952138
Terluna,Voskara,nuclear_v2,nuclear,justified,-0.12499634921550751,0.03125171363353729,-0.04687231779098511,0.9943770858354515
Terluna,Voskara,nuclear_v2,nuclear,unjustified,0.12499646842479706,-0.15623784065246582,-0.015620686113834381,0.9942920684056771
Terluna,Voskara,nuclear_v3,nuclear,justified,-0.0937432050704956,0.09375050663948059,3.6507844924926758e-06,0.9858101612776745
Terluna,Voskara,nuclear_v3,nuclear,unjustified,0.015625,-0.01561710238456726,3.948807716369629e-06,0.9885486401268666
Terluna,Voskara,nuclear_v4,nuclear,justified,-0.07812221348285675,0.12499411404132843,0.02343595027923584,0.9949063698066065
Terluna,Voskara,nuclear_v4,nuclear,unjustified,0.09374374151229858,-0.12498266994953156,-0.015619464218616486,0.9944680081198713
Terluna,Voskara,nuclear_v5,nuclear,justified,-0.04687027633190155,0.06250077486038208,0.007815249264240265,0.993127292762351
Terluna,Voskara,nuclear_v5,nuclear,unjustified,0.15623998641967773,-0.15623177587985992,4.105269908905029e-06,0.99361459396204
Terluna,Voskara,sovereignty_v1,sovereignty,justified,0.1406223326921463,-0.15624892711639404,-0.00781329721212387,0.993854688833639
Terluna,Voskara,sovereignty_v1,sovereignty,unjustified,0.12499700486660004,-0.0781191885471344,0.02343890815973282,0.9940894138528809
Terluna,Voskara,sovereignty_v2,sovereignty,justified,0.31248152256011963,-0.23436474800109863,0.0390583872795105,0.9944184316536651
Terluna,Voskara,sovereignty_v2,sovereignty,unjustified,0.04687538743019104,0.015618205070495605,0.031246796250343323,0.9954104176584757
Terluna,Voskara,tech_war_v1,tech_war,justified,-0.03125402331352234,0.10936985909938812,0.03905791789293289,0.995020491668858
Terluna,Voskara,tech_war_v1,tech_war,unjustified,0.015620499849319458,-0.03124222159385681,-0.007810860872268677,0.9957340343632592
Terluna,Voskara,tech_war_v2,tech_war,justified,-0.1718674600124359,0.171857088804245,-5.185604095458984e-06,0.9946899562092113
Terluna,Voskara,tech_war_v2,tech_war,unjustified,0.06249453127384186,-0.09374204277992249,-0.015623755753040314,0.9952318650673032
Terluna,Voskara,internal_affairs_v1,internal_affairs,justified,0.01561853289604187,8.627772331237793e-06,0.007813580334186554,0.9936960182041245
Terluna,Voskara,internal_affairs_v1,internal_affairs,unjustified,-0.12499736249446869,0.12499959766864777,1.1175870895385742e-06,0.9944619181946268
Terluna,Voskara,internal_affairs_v2,internal_affairs,justified,5.185604095458984e-06,0.07811662554740906,0.03906090557575226,0.9937027349011947
Terluna,Voskara,internal_affairs_v2,internal_affairs,unjustified,-5.960464477539062e-07,0.06250238418579102,0.03125089406967163,0.994224928095113
Terluna,Voskara,airspace_def_v1,airspace,justified,0.34373633563518524,-0.39060598611831665,-0.023434825241565704,0.9959352327611939
Terluna,Voskara,airspace_def_v1,airspace,unjustified,0.03125561773777008,-0.031246840953826904,4.388391971588135e-06,0.9965636762411839
Terluna,Voskara,airspace_def_v2,airspace,justified,0.23436561226844788,-0.1249920129776001,0.05468679964542389,0.9951851795721578
Terluna,Voskara,airspace_def_v2,airspace,unjustified,0.23436065018177032,-0.1718595325946808,0.03125055879354477,0.9956742302462036
Terluna,Voskara,maritime_def_v1,maritime,justified,0.17186382412910461,-0.10937273502349854,0.03124554455280304,0.9956557074540698
Terluna,Voskara,maritime_def_v1,maritime,unjustified,2.980232238769531e-07,-0.06249222159385681,-0.031245961785316467,0.9962166500874695
Terluna,Voskara,maritime_def_v2,maritime,justified,-0.062498465180397034,0.07811939716339111,0.00781046599149704,0.9945560897302834
