pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Voskara vs Drethia,Voskara,Drethia,justified,-0.07622195602882477,0.015513018115148073,5.372066834444469e-07,13,79,4.297653467555575e-06,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,-0.0698546235050474,0.022811501458392267,6.197512037773717e-05,13,79,0.00023137378274355213,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,-0.06883871467995556,0.025624004980233563,0.00019926322205018716,13,79,0.0006563964961653224,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,-0.04322630651431643,0.022714177265977888,0.0028740006156460717,13,79,0.005960890165784445,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,-0.035041780603346805,0.01944303635689074,0.004127631726833728,13,79,0.0077049125567562925,True
Bretherland vs Korvachev,Bretherland,Korvachev,justified,-0.019116300489112135,0.017544791420841248,0.05401703010321146,13,79,0.07202270680428195,False
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,-0.014580468459552897,0.02103483498333307,0.19926729557219588,13,79,0.24258627287049933,False
Voskara vs Zhaodong,Voskara,Zhaodong,justified,-0.012906362449293171,0.02619097246924136,0.35318311862694596,13,79,0.4036378498593668,False
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,-0.012777586232174886,0.029864476230120084,0.41809072447453666,13,79,0.4590800111877265,False
Terluna vs Drethia,Terluna,Drethia,justified,-0.007354624910559846,0.013911711763465201,0.32054735075439783,13,79,0.3739719092134641,False
Voskara vs Melvoni,Voskara,Melvoni,justified,0.005723444192291617,0.015827411062245365,0.49200917472953964,13,79,0.5198587506576268,False
Melvoni vs Korvachev,Melvoni,Korvachev,justified,0.027544071297451254,0.015516879115439464,0.0045530466768627315,13,79,0.008224858513042353,True
Voskara vs Bretherland,Voskara,Bretherland,justified,0.029618819172565754,0.02166785734507684,0.020065971876667973,13,79,0.030370119597119095,True
Voskara vs Korvachev,Voskara,Korvachev,justified,0.03923420453846674,0.01945757860957832,0.001920367182197796,13,79,0.004301622488123063,True
Melvoni vs Bretherland,Melvoni,Bretherland,justified,0.039305745859395017,0.023631177099564186,0.006827767969079447,13,79,0.010924428750527116,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,0.04301167317689994,0.025549834371604838,0.006346073184364573,13,79,0.010452355833071062,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,0.04817708566675692,0.02577778641002452,0.003247610145756223,13,79,0.006495220291512445,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,0.05002289085270284,0.023524827160756066,0.001304729205628898,13,79,0.003479277881677061,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.05573202993024836,0.029053904924674995,0.0027222668456287034,13,79,0.005863343975200284,True
Terluna vs Voskara,Terluna,Voskara,justified,0.06863839359401347,0.019235541999095038,1.4466834965152918e-05,13,79,7.364934164077849e-05,True
Drethia vs Zhaodong,Drethia,Zhaodong,justified,0.0754922186280345,0.025531275013490975,8.534024189435214e-05,13,79,0.0002986908466302325,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,0.07862579785696754,0.03514242617294362,0.0008881576828457308,13,79,0.0026177279073347852,True
Drethia vs Melvoni,Drethia,Melvoni,justified,0.09366414951153727,0.012344145371221747,4.2865348753225855e-09,13,79,2.400459530180648e-07,True
Terluna vs Melvoni,Terluna,Melvoni,justified,0.09694082081154153,0.017168793270923757,1.1853863710099468e-07,13,79,1.6595409194139256e-06,True
Drethia vs Korvachev,Drethia,Korvachev,justified,0.1093320740530124,0.01857303308021248,7.482178146294965e-08,13,79,1.39667325397506e-06,True
Terluna vs Korvachev,Terluna,Korvachev,justified,0.10961824944822779,0.022953251722481388,7.279512789381205e-07,13,79,5.095658952566843e-06,True
Terluna vs Bretherland,Terluna,Bretherland,justified,0.13382841164976247,0.0263710727970841,3.79432346210892e-07,13,79,3.5413685646349918e-06,True
Drethia vs Bretherland,Drethia,Bretherland,justified,0.13458676780863996,0.020141439858101063,1.814332857337084e-08,13,79,5.080132000543835e-07,True
Drethia vs Zhaodong,Drethia,Zhaodong,unjustified,-0.08620936603664041,0.032626138301503405,0.00022971966008567254,13,79,0.0007146833869332035,True
Drethia vs Korvachev,Drethia,Korvachev,unjustified,-0.08220295302378827,0.016054327704587482,3.4456830758858e-07,13,79,3.5413685646349918e-06,True
Drethia vs Melvoni,Drethia,Melvoni,unjustified,-0.0778531368289675,0.019940555414798677,5.9076430355692785e-06,13,79,3.6758667776875506e-05,True
Voskara vs Zhaodong,Voskara,Zhaodong,unjustified,-0.07532051417144227,0.023426464618040287,3.937267837884425e-05,13,79,0.00016960538378579064,True
Drethia vs Bretherland,Drethia,Bretherland,unjustified,-0.058450662391089696,0.015383624332423067,7.765728432420742e-06,13,79,4.3488079221556155e-05,True
Terluna vs Zhaodong,Terluna,Zhaodong,unjustified,-0.055975275448499576,0.026917621969566683,0.0015374741089999983,13,79,0.003743415221913039,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,unjustified,-0.053786058620218825,0.025728385618283764,0.001479105245884956,13,79,0.003743415221913039,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,unjustified,-0.03365384563530758,0.01834998789898981,0.0036819766661048896,13,79,0.007110023906961166,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,unjustified,-0.03143601298277631,0.027914762770457235,0.0475153197148234,13,79,0.06489897326902708,False
Voskara vs Bretherland,Voskara,Bretherland,unjustified,-0.03087797599943566,0.01789246235887922,0.0054431799219647374,13,79,0.00952556486343829,True
Terluna vs Melvoni,Terluna,Melvoni,unjustified,-0.028831847012043,0.014242401748714908,0.0018670212529680132,13,79,0.004301622488123063,True
Voskara vs Korvachev,Voskara,Korvachev,unjustified,-0.024496337473938316,0.015460763619297959,0.009097205580939379,13,79,0.014151208681461256,True
Terluna vs Voskara,Terluna,Voskara,unjustified,-0.024367559414643507,0.02067676089355116,0.03948623381778072,13,79,0.055774555062828746,False
Bretherland vs Korvachev,Bretherland,Korvachev,unjustified,-0.023895376372140842,0.013990984693330002,0.005806853012323682,13,79,0.00985405359667049,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,unjustified,-0.022206961016951902,0.0174443350038091,0.02816659735011673,13,79,0.04150866977911939,True
Voskara vs Melvoni,Voskara,Melvoni,unjustified,-0.0219637135337124,0.018676712186019694,0.03983896790202053,13,79,0.055774555062828746,False
Terluna vs Bretherland,Terluna,Bretherland,unjustified,-0.01121794908638402,0.01045038844896654,0.05714181307782936,13,79,0.07441724493856848,False
Bretherland vs Zhaodong,Bretherland,Zhaodong,unjustified,-0.008112980209754938,0.028872715845850487,0.5919156317722896,13,79,0.613838432949041,False
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,unjustified,-0.007197232364298222,0.027332355271650923,0.6151529471005669,13,79,0.626337546138759,False
