pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,-0.2805350737052632,0.08317504588519463,2.4984883743414596e-05,13,79,9.20667798299454e-05,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,-0.22623024576585807,0.044258219028757304,3.5096167210165903e-07,13,79,4.913463409423226e-06,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,-0.22446170859994033,0.05877453606880285,7.3774996371269765e-06,13,79,3.775067524152662e-05,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,-0.16488895546849613,0.0661190531020341,0.000373508925611438,13,79,0.0008366599933696212,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,-0.13486697143387227,0.06202530132383389,0.0011039974481273326,13,79,0.002207994896254665,True
Drethia vs Melvoni,Drethia,Melvoni,justified,-0.08222517405974342,0.06408339873126934,0.027163936101945133,13,79,0.04474060063849787,True
Voskara vs Melvoni,Voskara,Melvoni,justified,-0.038538914139727105,0.05998326536586416,0.231870065294328,13,79,0.270515076176716,False
Drethia vs Zhaodong,Drethia,Zhaodong,justified,-0.03832512348208017,0.04036087622691231,0.08739104291000077,13,79,0.12234746007400107,False
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,-0.032185199039377575,0.07690485608174201,0.42805390504190466,13,79,0.46098112850666656,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,-0.03115161799658567,0.08776048414528521,0.4998536000282715,13,79,0.5183666963256149,False
Drethia vs Bretherland,Drethia,Bretherland,justified,0.02061543786973307,0.04260832718732044,0.36167481111284466,13,79,0.40507578844638603,False
Voskara vs Drethia,Voskara,Drethia,justified,0.04333106418832755,0.054218938360468136,0.1432312659246025,13,79,0.17824335315061646,False
Voskara vs Zhaodong,Voskara,Zhaodong,justified,0.049822442970433076,0.05336763555008132,0.09221945270380116,13,79,0.12595827686372843,False
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,0.06110593025664706,0.03724522971615837,0.007414076079423264,13,79,0.01339316969186138,True
Terluna vs Voskara,Terluna,Voskara,justified,0.10191246164423642,0.047983724267369326,0.0013161253037875214,13,79,0.002541483345244869,True
Melvoni vs Bretherland,Melvoni,Bretherland,justified,0.10214513179337802,0.0643691940302848,0.009016609401975314,13,79,0.0157790664534568,True
Voskara vs Bretherland,Voskara,Bretherland,justified,0.13171979895496105,0.079890239483003,0.00719832832123722,13,79,0.01339316969186138,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,0.13912237640947867,0.035267783115173666,5.3221455796089545e-06,13,79,3.725501905726268e-05,True
Terluna vs Drethia,Terluna,Drethia,justified,0.14172937517010029,0.042247266201064046,2.630479423712726e-05,13,79,9.20667798299454e-05,True
Terluna vs Melvoni,Terluna,Melvoni,justified,0.16638076999958182,0.06760201512889288,0.0004162640709240773,13,79,0.0008965687681441665,True
Drethia vs Korvachev,Drethia,Korvachev,justified,0.21617010723622074,0.07950072964299702,0.00017951776606296886,13,79,0.0004188747874802607,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,0.24429524338534683,0.07533456525549156,3.632363554489786e-05,13,79,0.00011965432885378119,True
Terluna vs Bretherland,Terluna,Bretherland,justified,0.2554919292242863,0.05619714748523856,1.226332614407909e-06,13,79,1.144577106780715e-05,True
Bretherland vs Korvachev,Bretherland,Korvachev,justified,0.2942130198436125,0.09586210889196387,6.070823532548886e-05,13,79,0.00015453005355578985,True
Melvoni vs Korvachev,Melvoni,Korvachev,justified,0.29491260127188307,0.059013172569178464,4.477972002698145e-07,13,79,5.015328643021922e-06,True
Voskara vs Korvachev,Voskara,Korvachev,justified,0.3227222661518461,0.08379281413550721,6.7772670702475755e-06,13,79,3.775067524152662e-05,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,0.5369104638340927,0.12546017370230927,2.3080743921727213e-06,13,79,1.846459513738177e-05,True
Terluna vs Korvachev,Terluna,Korvachev,justified,0.5609635786723086,0.08072565722744796,1.1655736095572922e-08,13,79,6.527212213520836e-07,True
Melvoni vs Bretherland,Melvoni,Bretherland,unjustified,-0.25242971874527875,0.07930209629698892,4.3255183885563215e-05,13,79,0.00013263780081698188,True
Drethia vs Bretherland,Drethia,Bretherland,unjustified,-0.21244570047973277,0.06702384935063829,4.500211099147599e-05,13,79,0.00013263780081698188,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,unjustified,-0.16525758470616717,0.0537846940369023,6.008281506637636e-05,13,79,0.00015453005355578985,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,unjustified,-0.11666119774128056,0.03716681536049998,4.930198445078525e-05,13,79,0.0001380455564621987,True
Drethia vs Zhaodong,Drethia,Zhaodong,unjustified,-0.1160417674416369,0.04102870609270148,0.00012709084714923298,13,79,0.00030943858436334985,True
Voskara vs Bretherland,Voskara,Bretherland,unjustified,-0.09538173424455273,0.1164463428574628,0.13437452648039402,13,79,0.17102212461141056,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,unjustified,-0.08089550748303696,0.05370448346467413,0.012090991263317025,13,79,0.020518045780174344,True
Terluna vs Bretherland,Terluna,Bretherland,unjustified,-0.07919814549522959,0.0635646972820178,0.031041090796214026,13,79,0.04828614123855515,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,unjustified,-0.06378400048084093,0.050164404927508045,0.028320837554427523,13,79,0.045313340087084035,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,unjustified,-0.04850014866817564,0.07110154797709836,0.2060274271365716,13,79,0.2454794876520853,False
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,unjustified,-0.017949951621584408,0.04149638139434515,0.41312380550021144,13,79,0.4536261393727812,False
Terluna vs Voskara,Terluna,Voskara,unjustified,-0.010521612201745696,0.0785946356888987,0.7974718674090715,13,79,0.8119713559074182,False
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,unjustified,-0.0007808934419583048,0.08474912207895909,0.9858879628611502,13,79,0.9858879628611502,False
Terluna vs Drethia,Terluna,Drethia,unjustified,0.02513706164891686,0.06194242931831894,0.4418337829820414,13,79,0.46684324239611924,False
Drethia vs Melvoni,Drethia,Melvoni,unjustified,0.03297810130940251,0.05662324030847308,0.27591786754849007,13,79,0.3153347057697029,False
Terluna vs Zhaodong,Terluna,Zhaodong,unjustified,0.04439806657751182,0.052187213441296565,0.12128663894852003,13,79,0.15795469258411912,False
Melvoni vs Korvachev,Melvoni,Korvachev,unjustified,0.05456857042789677,0.04455886075650534,0.03350064095203148,13,79,0.050703672792263864,False
Voskara vs Drethia,Voskara,Drethia,unjustified,0.06123562717994491,0.05671214280007388,0.05589840702546602,13,79,0.08026437931861788,False
Voskara vs Zhaodong,Voskara,Zhaodong,unjustified,0.06199385164366973,0.07011445130412125,0.10869153847763835,13,79,0.1449220513035178,False
Bretherland vs Zhaodong,Bretherland,Zhaodong,unjustified,0.0708803066322,0.09343341218419095,0.16283979295792908,13,79,0.19823974794878324,False
Voskara vs Melvoni,Voskara,Melvoni,unjustified,0.07279378146397107,0.0643533602334369,0.04668380641701215,13,79,0.0687971884040179,False
Drethia vs Korvachev,Drethia,Korvachev,unjustified,0.10585500615829732,0.04352329145710219,0.0004586077323161961,13,79,0.0009511864077669253,True
Terluna vs Melvoni,Terluna,Melvoni,unjustified,0.15371103378033243,0.04026923148529286,7.415311208157016e-06,13,79,3.775067524152662e-05,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,unjustified,0.157931021670555,0.04479093731341043,1.625855926612521e-05,13,79,7.587327657525098e-05,True
Voskara vs Korvachev,Voskara,Korvachev,unjustified,0.19964341472684247,0.05905606743546465,2.4440724468898927e-05,13,79,9.20667798299454e-05,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,unjustified,0.30051633251674015,0.058738838137166204,3.476059145514018e-07,13,79,4.913463409423226e-06,True
Terluna vs Korvachev,Terluna,Korvachev,unjustified,0.31515894259834465,0.059242356275282966,2.275649664475271e-07,13,79,4.913463409423226e-06,True
Bretherland vs Korvachev,Bretherland,Korvachev,unjustified,0.33383292057329694,0.096665747977444,1.9895967216919365e-05,13,79,8.570570493442188e-05,True
