pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,-0.6338713220269471,0.14635515882859157,2.0382106220023683e-06,13,79,1.4267474354016577e-05,True
Terluna vs Voskara,Terluna,Voskara,justified,-0.27395261009479616,0.08449620528289863,3.6388831193834665e-05,13,79,0.00015675188821959548,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,-0.2395547159807586,0.07696990618580848,5.3349595261042606e-05,13,79,0.00019010563642433913,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,-0.21266884471361452,0.1777052480453514,0.037005241912031965,13,79,0.05453404071246816,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,-0.15439704217480651,0.16739469739972943,0.09574929489310349,13,79,0.127665726524138,False
Drethia vs Melvoni,Drethia,Melvoni,justified,-0.1506696390636238,0.10375258921723152,0.014723150124932914,13,79,0.024249894323418918,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,-0.07449776783667421,0.12508826124224678,0.2657608415786665,13,79,0.3307246028534516,False
Drethia vs Bretherland,Drethia,Bretherland,justified,-0.039241356140637146,0.1354826700989199,0.5807072635733711,13,79,0.6376393482374271,False
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,-0.00942937051365664,0.1381301766503355,0.8957798912433022,13,79,0.9120667983568167,False
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,0.023909687190811272,0.08973907344064856,0.6110261715551615,13,79,0.6456125586243215,False
Terluna vs Bretherland,Terluna,Bretherland,justified,0.053843300093661305,0.13446252777252304,0.44775971813920473,13,79,0.5014908843159094,False
Terluna vs Melvoni,Terluna,Melvoni,justified,0.07858286883968574,0.08354882022346143,0.09007924217147174,13,79,0.12303506247810773,False
Melvoni vs Bretherland,Melvoni,Bretherland,justified,0.14792239509058958,0.1524995034039322,0.0815586099799443,13,79,0.114182053971922,False
Drethia vs Zhaodong,Drethia,Zhaodong,justified,0.23828125532866615,0.11744806833628013,0.0018378679274894457,13,79,0.0035489863427382398,True
Voskara vs Melvoni,Voskara,Melvoni,justified,0.24014137027573673,0.1087143049012453,0.0009795942142844431,13,79,0.002348072941894631,True
Terluna vs Drethia,Terluna,Drethia,justified,0.25965830852915517,0.15542872567752797,0.006649211009041756,13,79,0.01241186055021128,True
Drethia vs Korvachev,Drethia,Korvachev,justified,0.2829026399596488,0.18882441034039765,0.012451917079674616,13,79,0.021130525953387224,True
Melvoni vs Korvachev,Melvoni,Korvachev,justified,0.314896695970834,0.20334858321900345,0.010366508057464727,13,79,0.018141389100563274,True
Terluna vs Korvachev,Terluna,Korvachev,justified,0.32559237511821715,0.14792034072658086,0.001006316975097699,13,79,0.002348072941894631,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,0.3644402498727316,0.16760772509465088,0.001104082183741025,13,79,0.0024731440915798956,True
Voskara vs Drethia,Voskara,Drethia,justified,0.3734761303215673,0.09240706586280695,4.158076981428016e-06,13,79,2.58724789955521e-05,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,0.4069225021566336,0.1347680056010034,7.052701227233717e-05,13,79,0.0002323242757206401,True
Bretherland vs Korvachev,Bretherland,Korvachev,justified,0.40753777337434527,0.19753871426490005,0.0016288347476263849,13,79,0.0032576694952527697,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,0.43335765398247345,0.14752124568277206,9.053548486584153e-05,13,79,0.0002725685999385205,True
Voskara vs Bretherland,Voskara,Bretherland,justified,0.4578683097393085,0.1562322269223637,9.247863212199802e-05,13,79,0.0002725685999385205,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,0.5273866764859947,0.12001249178405374,1.7517007784182204e-06,13,79,1.4013606227345763e-05,True
Voskara vs Korvachev,Voskara,Korvachev,justified,0.5753061987132161,0.1306769329927704,1.718414075346642e-06,13,79,1.4013606227345763e-05,True
Voskara vs Zhaodong,Voskara,Zhaodong,justified,0.7515024073667578,0.10098964282126592,5.353878322679899e-09,13,79,2.9981718607007435e-07,True
Voskara vs Drethia,Voskara,Drethia,unjustified,-1.2132590824649447,0.1969697153281454,4.520383417107168e-08,13,79,1.265707356790007e-06,True
Terluna vs Drethia,Terluna,Drethia,unjustified,-1.1576021566250165,0.33207257710213334,1.816731443711853e-05,13,79,8.478080070655316e-05,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,unjustified,-0.7201164648100569,0.18202341761590352,5.16828244222619e-06,13,79,2.672005928422355e-05,True
Voskara vs Bretherland,Voskara,Bretherland,unjustified,-0.43284612229510105,0.191536327798693,0.0008220461199686241,13,79,0.0021459782589369706,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,unjustified,-0.4155434443318581,0.19235979683445448,0.001159587593146765,13,79,0.002487346235515792,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,unjustified,-0.40455443493940013,0.1443788350815623,0.00013801994422235544,13,79,0.0003864558438225952,True
Terluna vs Bretherland,Terluna,Bretherland,unjustified,-0.3958476452709554,0.3188321891497495,0.03153325198732354,13,79,0.047726003007841036,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,unjustified,-0.2750901367119599,0.17457128681175016,0.009387139145062541,13,79,0.016957412649145236,True
Voskara vs Melvoni,Voskara,Melvoni,unjustified,-0.268805086967491,0.12499249347248197,0.001199256220695114,13,79,0.002487346235515792,True
Terluna vs Melvoni,Terluna,Melvoni,unjustified,-0.25540150078388796,0.18858859992373445,0.021008164797927796,13,79,0.03361306367668447,True
Terluna vs Korvachev,Terluna,Korvachev,unjustified,-0.15190018016858634,0.2912948655451722,0.3269104386252859,13,79,0.3979779252829567,False
Voskara vs Korvachev,Voskara,Korvachev,unjustified,-0.13041223029541227,0.17481397208600086,0.16938475319418317,13,79,0.22059409718312226,False
Melvoni vs Bretherland,Melvoni,Bretherland,unjustified,-0.10126559651241852,0.2494005479237703,0.44158959122057667,13,79,0.5014908843159094,False
Melvoni vs Korvachev,Melvoni,Korvachev,unjustified,-0.08729681648286708,0.1707142042155606,0.33599583413121553,13,79,0.40033546194357594,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,unjustified,0.0012126575964383928,0.2386636748852385,0.9922177924551775,13,79,0.9922177924551775,False
Terluna vs Zhaodong,Terluna,Zhaodong,unjustified,0.05433694110848967,0.1937635416118482,0.5926478717009915,13,79,0.6382361695241447,False
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,unjustified,0.05860090532746071,0.23936740029122489,0.6399692947368114,13,79,0.6636718612085452,False
