pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,-2.585050346062883,0.9501089851412825,0.0001785477913432683,13,79,0.0005262461218538434,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,-2.145475635446838,0.7441089662432584,0.00010707066597266549,13,79,0.00040200722298115314,True
Voskara vs Drethia,Voskara,Drethia,justified,-2.1172876543836527,0.46435443396213955,1.1891913657780609e-06,13,79,6.659471648357141e-05,True
Voskara vs Melvoni,Voskara,Melvoni,justified,-1.8398294467935736,0.6059608752591991,6.703427568121109e-05,13,79,0.00028876303370367856,True
Bretherland vs Korvachev,Bretherland,Korvachev,justified,-1.7264193975950965,0.6076222015960374,0.00012203790697642148,13,79,0.00040200722298115314,True
Terluna vs Drethia,Terluna,Drethia,justified,-1.573903930886791,0.4142722536907011,7.772607215274867e-06,13,79,0.00010317877622466768,True
Terluna vs Melvoni,Terluna,Melvoni,justified,-1.5208619450552432,0.6308908398561874,0.000492833770286654,13,79,0.0011999430928718532,True
Voskara vs Zhaodong,Voskara,Zhaodong,justified,-1.2639365962716846,0.833739310079733,0.011672273749683364,13,79,0.019807494847947527,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,-1.2314560498415807,0.8741275103855133,0.01724030935232299,13,79,0.026093441181894255,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,-0.665207176884096,0.7770082604931117,0.11918151207502953,13,79,0.15521313200468964,False
Voskara vs Korvachev,Voskara,Korvachev,justified,-0.424994284223397,0.27003616199352726,0.009454447397669156,13,79,0.017648301808982424,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,-0.34229052607623844,0.6668630294613875,0.3342531894295759,13,79,0.374363572161125,False
Terluna vs Korvachev,Terluna,Korvachev,justified,0.004850610640869975,0.30096305759071734,0.9753189460183779,13,79,0.9753189460183779,False
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,0.08077211258831006,0.6636427844781417,0.8154780568416873,13,79,0.8456809478358238,False
Terluna vs Voskara,Terluna,Voskara,justified,0.4501917425352588,0.5653369748107495,0.14454471917921854,13,79,0.1839660062280963,False
Drethia vs Melvoni,Drethia,Melvoni,justified,0.48069768589510986,0.3496099783548573,0.019492028480885836,13,79,0.027988553716143765,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,0.6197916808170317,0.5831119065194257,0.05927623834919145,13,79,0.0790349844655886,False
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,0.696027913981767,0.4968160923701934,0.017735983247743982,13,79,0.026137238470359554,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.9481456126470934,0.6692766559653531,0.01675326265062698,13,79,0.026093441181894255,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,1.0116042968197507,0.5222512983471455,0.002545814111062643,13,79,0.005091628222125286,True
Drethia vs Zhaodong,Drethia,Zhaodong,justified,1.091360477173448,0.4840936968657292,0.0008374875521121178,13,79,0.001875972116731144,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,1.436798868849806,0.7048740728951706,0.0017769215958375333,13,79,0.003685467013588958,True
Drethia vs Korvachev,Drethia,Korvachev,justified,1.5154676088649808,0.46146185455644634,3.222671677177177e-05,13,79,0.00016406328538356538,True
Voskara vs Bretherland,Voskara,Bretherland,justified,1.5211767596873413,0.5304839649015999,0.00011244307393536377,13,79,0.00040200722298115314,True
Terluna vs Bretherland,Terluna,Bretherland,justified,1.6026642631510493,0.48179974497480044,2.8527018700856235e-05,13,79,0.0001624955013016473,True
Melvoni vs Korvachev,Melvoni,Korvachev,justified,1.6471926429784993,0.6747291576669122,0.00044484366101809236,13,79,0.0011323293189551443,True
Melvoni vs Bretherland,Melvoni,Bretherland,justified,2.4913719005110484,0.7143418521363784,1.8083707533494686e-05,13,79,0.00014977368603895095,True
Drethia vs Bretherland,Drethia,Bretherland,justified,2.9141769833558446,0.7802154524995003,9.212390734345328e-06,13,79,0.00010317877622466768,True
Drethia vs Korvachev,Drethia,Korvachev,unjustified,-1.929387005682723,0.5001737849062894,6.671920235959508e-06,13,79,0.00010317877622466768,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,unjustified,-1.857343160765635,0.7226395527360265,0.0002904499888660288,13,79,0.0008132599688248806,True
Melvoni vs Korvachev,Melvoni,Korvachev,unjustified,-1.7996651949895603,0.4794416682825177,8.7679921376458e-06,13,79,0.00010317877622466768,True
Terluna vs Korvachev,Terluna,Korvachev,unjustified,-1.2143858621839771,0.3988321677201273,6.530936056382724e-05,13,79,0.00028876303370367856,True
Drethia vs Zhaodong,Drethia,Zhaodong,unjustified,-1.1859832853299854,0.4165544249952758,0.00011982550640821372,13,79,0.00040200722298115314,True
Drethia vs Bretherland,Drethia,Bretherland,unjustified,-0.9871651945114794,0.642560742686765,0.010839834231127025,13,79,0.019581636030423014,True
Melvoni vs Bretherland,Melvoni,Bretherland,unjustified,-0.920515687800913,0.6053073899933152,0.011471842460671648,13,79,0.019807494847947527,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,unjustified,-0.875758362326171,0.3190555360653978,0.00016538231520528301,13,79,0.000514522758416436,True
Terluna vs Voskara,Terluna,Voskara,unjustified,-0.8022836445525238,0.42357210651525373,0.0029676839465016145,13,79,0.005730700034623807,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,unjustified,-0.7321857940041276,0.5072184455014098,0.015194849663647007,13,79,0.025026811210712718,True
Terluna vs Bretherland,Terluna,Bretherland,unjustified,-0.4253949062557305,0.7904817579199731,0.31230623849917055,13,79,0.35692141542762346,False
Bretherland vs Korvachev,Bretherland,Korvachev,unjustified,-0.34312041970979446,0.4443759430641012,0.1560634215938561,13,79,0.1942122579834654,False
Terluna vs Zhaodong,Terluna,Zhaodong,unjustified,-0.27592718709337416,0.43594364582165257,0.23847349169492352,13,79,0.28413862840246207,False
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,unjustified,-0.14026727427764663,0.5624667504798543,0.6338066437826371,13,79,0.6696824915439185,False
Drethia vs Melvoni,Drethia,Melvoni,unjustified,-0.10408083037107864,0.24202408639081002,0.41577748531254477,13,79,0.44776036879812514,False
Voskara vs Korvachev,Voskara,Korvachev,unjustified,0.013378544412155692,0.46880028994995854,0.9563147871514974,13,79,0.9737023287360701,False
Voskara vs Bretherland,Voskara,Bretherland,unjustified,0.33852735685297114,0.7737881671748738,0.40797524567093446,13,79,0.44776036879812514,False
Terluna vs Melvoni,Terluna,Melvoni,unjustified,0.3590602142859154,0.2979652332131873,0.03592829841129839,13,79,0.04907279783006609,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,unjustified,0.447000890403998,0.7752014981158322,0.280482151229337,13,79,0.3272291764342265,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,unjustified,0.4960365293494953,0.713745696987769,0.19817089953041375,13,79,0.2412515298631124,False
Terluna vs Drethia,Terluna,Drethia,unjustified,0.5444282032251813,0.38570136142588135,0.01706929229799157,13,79,0.026093441181894255,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,unjustified,1.0075120158160664,0.7622301229757372,0.0236266149720745,13,79,0.033077260960904305,True
Voskara vs Zhaodong,Voskara,Zhaodong,unjustified,1.081430259966916,0.523307742483763,0.0016091882882726075,13,79,0.0034659440055102315,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,unjustified,1.4220180775617257,0.6166438475188512,0.0007019514236483711,13,79,0.0016378866551795327,True
Voskara vs Melvoni,Voskara,Melvoni,unjustified,1.4544127732896324,0.4185098769597623,1.8721710754868873e-05,13,79,0.00014977368603895095,True
Voskara vs Drethia,Voskara,Drethia,unjustified,1.77740095715375,0.5242496538988481,2.3770520868597146e-05,13,79,0.0001624955013016473,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,unjustified,1.8071772063666667,0.7128540449195673,0.0003258926868773356,13,79,0.0008690471650062282,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,unjustified,2.4410199195256577,0.7351414088193727,2.901705380386559e-05,13,79,0.0001624955013016473,True
