pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Voskara vs Drethia,Voskara,Drethia,justified,-0.9928921963269021,0.47998493187382196,0.001597563818138657,13,79,0.0055914733634853,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,-0.6076150578020256,0.38399089595055835,0.009165408411060092,13,79,0.021895567660940238,True
Melvoni vs Bretherland,Melvoni,Bretherland,justified,-0.4276735363425789,0.44849486494373286,0.08621570061913893,13,79,0.13444485645426052,False
Terluna vs Drethia,Terluna,Drethia,justified,-0.2962597150069017,0.41242360336908995,0.18452319992550206,13,79,0.24603093323400274,False
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,-0.19276917111742625,0.4032485253999066,0.3672541258427916,13,79,0.43757938398290064,False
Voskara vs Bretherland,Voskara,Bretherland,justified,-0.06459261820866512,0.4352562659227766,0.7761193190134916,13,79,0.7902305793591915,False
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,-0.004621694376180456,0.571627290740879,0.987616959463025,13,79,0.987616959463025,False
Voskara vs Zhaodong,Voskara,Zhaodong,justified,0.12559023357573007,0.46090406511676885,0.6030439670066514,13,79,0.6371785311768393,False
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,0.17685799109630096,0.5872237385057599,0.5659365342835324,13,79,0.6214205082328984,False
Voskara vs Melvoni,Voskara,Melvoni,justified,0.22868732917003148,0.42646962143713163,0.31395591378925547,13,79,0.38220719939561537,False
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,0.22892343255626416,0.5187893307563514,0.40406372059495893,13,79,0.45255136706635396,False
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,0.2354052320068136,0.2354548634014154,0.07368553098287105,13,79,0.12504211318305392,False
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,0.2492380692408635,0.29526097209749486,0.1239274010586736,13,79,0.1826298541917295,False
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,0.3701350732600733,0.6552469259274372,0.28992377800323166,13,79,0.36079403484846606,False
Drethia vs Bretherland,Drethia,Bretherland,justified,0.5427970711564843,0.4908986495060968,0.051048678998213026,13,79,0.09529086746333099,False
Melvoni vs Korvachev,Melvoni,Korvachev,justified,0.5488835760961959,0.312332047463264,0.004854451047912733,13,79,0.014307855720163845,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,0.6217590906681157,0.3567064987014691,0.005112563125149971,13,79,0.014315176750419916,True
Terluna vs Melvoni,Terluna,Melvoni,justified,0.6763464408916433,0.3910618145216921,0.005369539899447966,13,79,0.014318773065194575,True
Terluna vs Voskara,Terluna,Voskara,justified,0.6795229335407635,0.5156648864892863,0.023973310736407464,13,79,0.049372914734541785,True
Voskara vs Korvachev,Voskara,Korvachev,justified,0.6889165382245521,0.4582617839451661,0.012223056263037923,13,79,0.02632658272038937,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,0.6890095476702456,0.42170897232471644,0.007599358930682393,13,79,0.01934382273264609,True
Terluna vs Bretherland,Terluna,Bretherland,justified,0.7117978068061801,0.7398768462351113,0.08378151336494728,13,79,0.13444485645426052,False
Drethia vs Zhaodong,Drethia,Zhaodong,justified,0.8704802483429404,0.23909001062382088,1.187027411775787e-05,13,79,0.00013294707011888814,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.9289720573704758,0.34558909164749607,0.00019824938999433062,13,79,0.0012335517599647238,True
Drethia vs Melvoni,Drethia,Melvoni,justified,0.9777036350725333,0.2623290171821634,9.413126085522686e-06,13,79,0.0001317837651973176,True
Bretherland vs Korvachev,Bretherland,Korvachev,justified,1.0697383557483826,0.41382638312907183,0.00027676195983619565,13,79,0.001408969977347905,True
Drethia vs Korvachev,Drethia,Korvachev,justified,1.1838477251730557,0.3696133547432827,4.081159400286511e-05,13,79,0.0003809082106934077,True
Terluna vs Korvachev,Terluna,Korvachev,justified,1.2207460543174884,0.47804310012579,0.00030667218273852865,13,79,0.0014311368527798003,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,unjustified,-1.4397535979092775,0.5709172768094498,0.0003404913695014818,13,79,0.0014667320532371524,True
