pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,-0.07498782780362573,0.01590510752219669,8.346909837138305e-07,13,79,3.3387639348553215e-06,True
Voskara vs Drethia,Voskara,Drethia,justified,-0.07437574426769772,0.018416505159500444,4.1908031998845845e-06,13,79,1.1734248959676837e-05,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,-0.07045241258356161,0.023605692209155323,7.841354278918388e-05,13,79,0.00013306540594528173,True
Terluna vs Drethia,Terluna,Drethia,justified,-0.05455739906692243,0.010050172732828426,1.8250447160250247e-07,13,79,1.2727930569290259e-06,True
Voskara vs Zhaodong,Voskara,Zhaodong,justified,-0.05140890949320444,0.014241607716841497,1.2915345607939491e-05,13,79,2.781766746325429e-05,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,-0.04724494838616349,0.012770181630122501,1.0128873482997443e-05,13,79,2.3634038126994032e-05,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,-0.007811981174862865,0.023714011400977994,0.5306445147025133,13,79,0.5714633235257836,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,-0.006610425837310679,0.030727645305930622,0.6807325378364398,13,79,0.7059448540526042,False
Voskara vs Melvoni,Voskara,Melvoni,justified,0.00029921586260254097,0.006882076129210201,0.9334949178901677,13,79,0.9334949178901677,False
Melvoni vs Bretherland,Melvoni,Bretherland,justified,0.001574167128884311,0.011202374589538438,0.787678098000701,13,79,0.8019995179643502,False
Terluna vs Voskara,Terluna,Voskara,justified,0.011805387943873912,0.010794380640447397,0.053250430585217425,13,79,0.062125502349420325,False
Terluna vs Bretherland,Terluna,Bretherland,justified,0.01386456087832049,0.013879370222593751,0.0739016039181926,13,79,0.08445897590650583,False
Drethia vs Zhaodong,Drethia,Zhaodong,justified,0.01901775314694359,0.015299271356341479,0.03136485732364095,13,79,0.03903182244719763,True
Terluna vs Melvoni,Terluna,Melvoni,justified,0.02071803180507688,0.008188268893617713,0.0003312137863869265,13,79,0.0005455285893431731,True
Voskara vs Bretherland,Voskara,Bretherland,justified,0.024265723405303537,0.010696453878422111,0.0007978601741984387,13,79,0.0012075721555435829,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,0.029159498643198296,0.02365424376068566,0.03254435780434683,13,79,0.03961921819659614,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,0.0293740030282583,0.026088798287786902,0.04755194945850991,13,79,0.0566576419080118,False
Drethia vs Bretherland,Drethia,Bretherland,justified,0.06404415185089077,0.021161900660436092,6.905625619472312e-05,13,79,0.00012084844834076547,True
Melvoni vs Korvachev,Melvoni,Korvachev,justified,0.06677700811144197,0.012659866126386997,2.4966964439600777e-07,13,79,1.3981500086176437e-06,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,0.07295792832315623,0.03179468406889817,0.0007297850580740446,13,79,0.0011352212014485137,True
Bretherland vs Korvachev,Bretherland,Korvachev,justified,0.07507535157513705,0.019691206865563745,7.502566638298918e-06,13,79,1.863037502253286e-05,True
Voskara vs Korvachev,Voskara,Korvachev,justified,0.08038293915517601,0.016224307668185823,4.913139960618706e-07,13,79,2.422576811591398e-06,True
Drethia vs Melvoni,Drethia,Melvoni,justified,0.08235855568405036,0.01719866211238237,7.07250360744275e-07,13,79,3.046616938590723e-06,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.09261793135614185,0.014786160501067914,3.748291046496464e-08,13,79,2.9986328371971705e-07,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,0.09284440782808122,0.022358531625213163,3.150810171817023e-06,13,79,9.28659840114491e-06,True
Terluna vs Korvachev,Terluna,Korvachev,justified,0.10346286301756952,0.010313757406388612,1.7019230039189198e-10,13,79,2.3826922054864876e-09,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,0.16690459513129333,0.01497713315131563,4.974349594553529e-11,13,79,1.392817886474988e-09,True
Drethia vs Korvachev,Drethia,Korvachev,justified,0.1951792171777605,0.01898934842209907,1.2815296979754707e-10,13,79,2.3826922054864876e-09,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,unjustified,-0.07397160629977237,0.016088393954879196,1.0889985065795249e-06,13,79,4.06559442456356e-06,True
Voskara vs Drethia,Voskara,Drethia,unjustified,-0.06619165586682903,0.018137785893340145,1.1597752115732615e-05,13,79,2.5978964739241057e-05,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,unjustified,-0.06508823833513609,0.03190667084836882,0.0017670433508509805,13,79,0.0025372930166065364,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,unjustified,-0.04173554436409429,0.01737453626990498,0.0005071819397146907,13,79,0.0008114911035435052,True
Voskara vs Zhaodong,Voskara,Zhaodong,unjustified,-0.040291631178104845,0.013178342646998398,6.288443277305898e-05,13,79,0.00011359768500939688,True
Terluna vs Drethia,Terluna,Drethia,unjustified,-0.035441684717442086,0.010270662758531625,2.004762278998706e-05,13,79,3.9537410741727974e-05,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,unjustified,-0.031750297180680565,0.020735969202023873,0.011044229215771504,13,79,0.014383182234493122,True
Melvoni vs Bretherland,Melvoni,Bretherland,unjustified,-0.019472958731563975,0.011293340992569218,0.005472182066428567,13,79,0.007661054892999994,True
