pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,-0.051968865273963834,0.027599122073739192,0.003088042341520798,13,79,0.006651168120198642,True
Voskara vs Drethia,Voskara,Drethia,justified,-0.03831845250376415,0.021535753129285365,0.00448463570080982,13,79,0.00896927140161964,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,-0.028059179324915997,0.016169370717633018,0.005257602298981835,13,79,0.010152611335964923,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,-0.02774439034335343,0.03287885375132855,0.12404472831487663,13,79,0.16942694599105101,False
Bretherland vs Korvachev,Bretherland,Korvachev,justified,-0.02229281240603426,0.01594063390417548,0.017896855416711068,13,79,0.02947717362752411,True
Terluna vs Drethia,Terluna,Drethia,justified,-8.585153918563234e-05,0.012881808501242556,0.9897925658915276,13,79,0.9897925658915276,False
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,0.0011160702959740112,0.020263724982586852,0.9158181981198534,13,79,0.9497373906428109,False
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,0.018844437222559376,0.029833932897590773,0.23938220188460027,13,79,0.29789785123416923,False
Terluna vs Voskara,Terluna,Voskara,justified,0.026284911993877356,0.026525990480388714,0.07595439509381932,13,79,0.10906272116035595,False
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,0.02833104411979298,0.032153828341952094,0.10979793642964264,13,79,0.1537171110014997,False
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,0.03352506844251803,0.0177322722604854,0.003004734159208328,13,79,0.006651168120198642,True
Voskara vs Melvoni,Voskara,Melvoni,justified,0.03448374557134869,0.022296426243274985,0.01044047581911447,13,79,0.01886021438291646,True
Voskara vs Zhaodong,Voskara,Zhaodong,justified,0.041323261048931345,0.022947070431425586,0.004149595224443866,13,79,0.008606567872920612,True
Melvoni vs Korvachev,Melvoni,Korvachev,justified,0.044313759362195435,0.014379113227125782,5.844108600592517e-05,13,79,0.0002727250680276508,True
