pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,-0.3231527586996337,0.02236289193450202,2.3272204253234835e-12,13,79,1.3032434381811508e-10,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,-0.23148466117216118,0.06807549953223375,2.310396761107818e-05,13,79,9.161355495892362e-05,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,-0.1992545215201465,0.05828778842301859,2.1955054910568953e-05,13,79,9.161355495892362e-05,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,-0.1710451007326007,0.06399301846070186,0.0002081785964160528,13,79,0.0005874563714698755,True
Drethia vs Zhaodong,Drethia,Zhaodong,justified,-0.16430574633699632,0.04247823374974274,6.490703321582895e-06,13,79,3.304358054624019e-05,True
Drethia vs Bretherland,Drethia,Bretherland,justified,-0.15259415064102566,0.05825390783588032,0.0002473879218000632,13,79,0.0006127669701839095,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,-0.14214886675824176,0.04243586370870807,2.6684836026873507e-05,13,79,9.161355495892362e-05,True
Drethia vs Melvoni,Drethia,Melvoni,justified,-0.127847413003663,0.04915146789733768,0.0002626144157931041,13,79,0.0006127669701839095,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,-0.11366758241758242,0.04581441549843499,0.0003896683697738672,13,79,0.0008082010632346876,True
Voskara vs Zhaodong,Voskara,Zhaodong,justified,-0.09623969780219782,0.041317039357491585,0.0006485996205437827,13,79,0.001252468232774201,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,-0.09509500915750915,0.04016344527803623,0.0005695042994108461,13,79,0.0011390085988216923,True
Melvoni vs Bretherland,Melvoni,Bretherland,justified,-0.09264108287545787,0.06488377417038826,0.016089273105100985,13,79,0.02435133226717987,True
