pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,-0.17457932965222733,0.0602773117517177,0.00010284584340627462,13,79,0.0003387863076912576,True
Drethia vs Bretherland,Drethia,Bretherland,justified,-0.16676682309885493,0.07679374787499535,0.0011146479822534171,13,79,0.00271392552200832,True
Melvoni vs Bretherland,Melvoni,Bretherland,justified,-0.13472985122574582,0.04826124719934506,0.00014259665895892883,13,79,0.00044363405009444524,True
Voskara vs Bretherland,Voskara,Bretherland,justified,-0.055002289759370444,0.060949873766412845,0.10232436827556929,13,79,0.13643249103409238,False
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,0.0019459731667046708,0.05843020798701086,0.9490288833054764,13,79,0.9490288833054764,False
Drethia vs Zhaodong,Drethia,Zhaodong,justified,0.013679034287287369,0.054422356566538155,0.6311538361803332,13,79,0.6545299041870122,False
Drethia vs Melvoni,Drethia,Melvoni,justified,0.015896866299321143,0.04058372372117968,0.4574816516885156,13,79,0.5023327940109191,False
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,0.03863324238594634,0.06207213440319172,0.2459396422715533,13,79,0.29303446738738265,False
Terluna vs Bretherland,Terluna,Bretherland,justified,0.054301166463465916,0.03710702317691293,0.014137026761787724,13,79,0.022619242818860356,True
Voskara vs Zhaodong,Voskara,Zhaodong,justified,0.05958104602337539,0.07516325301353785,0.14622827299614066,13,79,0.19043682064613668,False
Terluna vs Voskara,Terluna,Voskara,justified,0.0631581941020808,0.06875727043540825,0.09696786394074303,13,79,0.1324439117239417,False
Voskara vs Drethia,Voskara,Drethia,justified,0.0819024708072549,0.05443354234732725,0.012165011685791217,13,79,0.020036489835420827,True
Voskara vs Melvoni,Voskara,Melvoni,justified,0.09204727211359875,0.047205641331092195,0.002431317633340192,13,79,0.005042732869150028,True
Drethia vs Korvachev,Drethia,Korvachev,justified,0.10054658521427313,0.09963366337332216,0.07135783437130666,13,79,0.10246253140495315,False
Terluna vs Melvoni,Terluna,Melvoni,justified,0.14752174905098756,0.038975707189969906,8.07016935517657e-06,13,79,4.519294838898879e-05,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,0.1505837884779351,0.06157859837173551,0.0004387574963510377,13,79,0.001170019990269434,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,0.1537316886728609,0.04892409988261457,4.8808144032059247e-05,13,79,0.0001822170710530212,True
Melvoni vs Korvachev,Melvoni,Korvachev,justified,0.15902587124862924,0.08453273140404789,0.0031075305981143374,13,79,0.006215061196228675,True
Terluna vs Drethia,Terluna,Drethia,justified,0.15941220170378192,0.058256306831644136,0.0001698882350221294,13,79,0.0005007232190125919,True
Voskara vs Korvachev,Voskara,Korvachev,justified,0.16738209833268197,0.08001874303475669,0.0014726246868734861,13,79,0.003436124269371468,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.19765911258129407,0.06667758126391186,8.339064967574015e-05,13,79,0.00029186727386509056,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,0.21518715433844607,0.05961977043387797,1.2930962002471022e-05,13,79,6.231659262141694e-05,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,0.25055804005192905,0.053163108949674055,8.378866054645293e-07,13,79,9.38432998120273e-06,True
Terluna vs Korvachev,Terluna,Korvachev,justified,0.2555231221306783,0.06434916794459634,4.9772404334563585e-06,13,79,3.484068303419451e-05,True
Bretherland vs Korvachev,Bretherland,Korvachev,justified,0.2872453058085612,0.08253180004958813,1.845179850717784e-05,13,79,7.948467049245839e-05,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,0.3109689778247473,0.04852750922560891,2.9048444505178522e-08,13,79,1.6267128922899972e-06,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,0.3683035739794743,0.061723403765581684,6.437210834095148e-08,13,79,1.8024190335466416e-06,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,0.37820512388710054,0.06919477735706908,1.6933444823957423e-07,13,79,3.1609097004720524e-06,True
Terluna vs Zhaodong,Terluna,Zhaodong,unjustified,-0.3272521751497841,0.09096546875213425,1.33535555617322e-05,13,79,6.231659262141694e-05,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,unjustified,-0.30269860432418433,0.09366899933573475,3.753185702456962e-05,13,79,0.0001501274280982785,True
Terluna vs Drethia,Terluna,Drethia,unjustified,-0.2649954184561442,0.06496921835176701,3.7868647212226353e-06,13,79,3.0294917769781083e-05,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,unjustified,-0.24828296963845276,0.14633734921379743,0.006049060424772614,13,79,0.01092733496087956,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,unjustified,-0.18343635895178606,0.10780048981251708,0.005940737412147861,13,79,0.01092733496087956,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,unjustified,-0.17818509338716992,0.07189542867502377,0.0003931131507913843,13,79,0.0011007168222158762,True
Voskara vs Zhaodong,Voskara,Zhaodong,unjustified,-0.15527701638502517,0.09553462682888855,0.007838085897402721,13,79,0.013716650320454762,True
Voskara vs Drethia,Voskara,Drethia,unjustified,-0.151842951614686,0.08914237526330483,0.0059031980143029635,13,79,0.01092733496087956,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,unjustified,-0.09892971047682983,0.12597403361177867,0.14969271849507235,13,79,0.19051800535736482,False
Terluna vs Voskara,Terluna,Voskara,unjustified,-0.09211881613809163,0.09751435617468543,0.08884320519257859,13,79,0.12438048726961001,False
Terluna vs Bretherland,Terluna,Bretherland,unjustified,-0.08241758201204773,0.11482483348061852,0.1848468972507783,13,79,0.2300316943565241,False
