pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Voskara vs Drethia,Voskara,Drethia,justified,-0.2981770828147948,0.06630258953234056,1.374863774329593e-06,13,79,3.84961856812286e-06,True
Voskara vs Melvoni,Voskara,Melvoni,justified,-0.2496852112504152,0.03984057914067807,3.7264053866940216e-08,13,79,1.73898918045721e-07,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,-0.1834864347572728,0.04721053572748927,6.18498931784854e-06,13,79,1.5557367740868e-05,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,-0.14245650512012806,0.08757813667808426,0.007801847682191494,13,79,0.00970896600450497,True
Voskara vs Bretherland,Voskara,Bretherland,justified,-0.1333562256597774,0.06362238075835157,0.0014507378557023086,13,79,0.002137929471561297,True
Terluna vs Drethia,Terluna,Drethia,justified,-0.1079155195763696,0.04684969141787763,0.0007082454527398628,13,79,0.0011665219221597741,True
Voskara vs Korvachev,Voskara,Korvachev,justified,-0.09320627565021479,0.02781662387023688,2.6608292100045798e-05,13,79,4.966881192008549e-05,True
Terluna vs Melvoni,Terluna,Melvoni,justified,-0.045630153350450176,0.04817678460784821,0.08810709925454972,13,79,0.09867995116509569,False
Bretherland vs Korvachev,Bretherland,Korvachev,justified,-0.041680976134407646,0.044437222899539386,0.09086609016098982,13,79,0.09977453037285157,False
Voskara vs Zhaodong,Voskara,Zhaodong,justified,0.002983346827082584,0.07100133189807291,0.935721686060508,13,79,0.935721686060508,False
Terluna vs Korvachev,Terluna,Korvachev,justified,0.0047790773772385525,0.044615014403984805,0.837227878942292,13,79,0.8524502040139701,False
Terluna vs Bretherland,Terluna,Bretherland,justified,0.03389708985038948,0.06212336747184009,0.3059043265028309,13,79,0.3232196657388402,False
Melvoni vs Bretherland,Melvoni,Bretherland,justified,0.06333705486777502,0.057043125329444465,0.05022911015989713,13,79,0.05860062851987999,False
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,0.06868847177087606,0.09041837173833539,0.16230198710322455,13,79,0.17478675534193414,False
Drethia vs Bretherland,Drethia,Bretherland,justified,0.08065762187971738,0.03644958206404916,0.0009663808860031443,13,79,0.0015462094176050308,True
Melvoni vs Korvachev,Melvoni,Korvachev,justified,0.09028731620846651,0.04415341618291169,0.001736789458660182,13,79,0.002493851530383851,True
Drethia vs Korvachev,Drethia,Korvachev,justified,0.10410943097902306,0.041831997716190845,0.0003798338478864992,13,79,0.0006445665297467864,True
Drethia vs Melvoni,Drethia,Melvoni,justified,0.10800137808853452,0.03742021683130793,0.00010611309020699982,13,79,0.00019168816295458033,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,0.1286844646373948,0.03513492141627689,1.1191093407762387e-05,13,79,2.4235355423553223e-05,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,justified,0.1374270197945637,0.05342150457485911,0.0002882889819766548,13,79,0.0005045057184591459,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,0.14151213236917287,0.07290029600515785,0.0025082778475750784,13,79,0.0035115889866051096,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,0.17681146447202226,0.05197811602237698,2.3022946289207133e-05,13,79,4.604589257841427e-05,True
Terluna vs Voskara,Terluna,Voskara,justified,0.17692594232904169,0.021865993331683754,2.0523892184683126e-09,13,79,2.0623381829726957e-08,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,justified,0.1823417483504875,0.04981244058786446,1.1252129303792569e-05,13,79,2.4235355423553223e-05,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,justified,0.3048448952071832,0.037918168800583595,2.209648053185031e-09,13,79,2.0623381829726957e-08,True
Drethia vs Zhaodong,Drethia,Zhaodong,justified,0.30722727904935465,0.08002405706440445,6.99773475259172e-06,13,79,1.6328047756047347e-05,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,justified,0.4119877551064822,0.057259185159572935,7.853409954783058e-09,13,79,5.217280864197565e-08,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,justified,0.41611577982540093,0.05870952427983527,9.316572971781367e-09,13,79,5.217280864197565e-08,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,unjustified,-0.5459091653399196,0.06275931851491351,8.914904014061769e-10,13,79,1.2480865619686476e-08,True
Voskara vs Korvachev,Voskara,Korvachev,unjustified,-0.3240327385455479,0.06319907228646815,3.396033606817542e-07,13,79,1.118693423422249e-06,True
Voskara vs Drethia,Voskara,Drethia,unjustified,-0.29774782670177385,0.052244986472032004,1.0700375569165997e-07,13,79,4.609392552871506e-07,True
Zhaodong vs Korvachev,Zhaodong,Korvachev,unjustified,-0.2526757097069597,0.04504256136553677,1.273351575614148e-07,13,79,5.093406302456592e-07,True
Bretherland vs Korvachev,Bretherland,Korvachev,unjustified,-0.24084249366716146,0.03533706132941384,1.4513605452941442e-08,13,79,7.388744594224734e-08,True
Voskara vs Melvoni,Voskara,Melvoni,unjustified,-0.22395833420666145,0.043610683590903664,3.3376572604405155e-07,13,79,1.118693423422249e-06,True
Melvoni vs Korvachev,Melvoni,Korvachev,unjustified,-0.20548591674083752,0.03764188049506207,1.7166870350363285e-07,13,79,6.408964930802293e-07,True
Terluna vs Korvachev,Terluna,Korvachev,unjustified,-0.1811326733711875,0.04971861504808892,1.1794888171497783e-05,13,79,2.4463471763106515e-05,True
Voskara vs Bretherland,Voskara,Bretherland,unjustified,-0.15089858110461915,0.06864352988849934,0.001016250078167587,13,79,0.0015808334549273575,True
Drethia vs Korvachev,Drethia,Korvachev,unjustified,-0.14423077029513787,0.037230174828765034,6.389633179285072e-06,13,79,1.5557367740868e-05,True
Voskara vs Zhaodong,Voskara,Zhaodong,unjustified,-0.1359031536094435,0.04042412208256824,2.5772109189586094e-05,13,79,4.966881192008549e-05,True
Melvoni vs Zhaodong,Melvoni,Zhaodong,unjustified,-0.07403989658851326,0.04253257669573282,0.005154829766113979,13,79,0.00656069242959961,True
Bretherland vs Zhaodong,Bretherland,Zhaodong,unjustified,-0.0726161851332738,0.06319526631420179,0.043823866116174136,13,79,0.052215670266079824,False
Melvoni vs Bretherland,Melvoni,Bretherland,unjustified,-0.04919299671610632,0.0462686468918247,0.05921445118510284,13,79,0.06767365849726038,False
Terluna vs Drethia,Terluna,Drethia,unjustified,-0.04910714356672197,0.03429955918677874,0.01586203202454179,13,79,0.01931029985596392,True
Terluna vs Zhaodong,Terluna,Zhaodong,unjustified,0.009000114960111542,0.03710833228247242,0.6430584655685979,13,79,0.6668754457748423,False
Drethia vs Bretherland,Drethia,Bretherland,unjustified,0.0640596370775621,0.03425704650666528,0.0032356135158177306,13,79,0.0042138222531579745,True
Terluna vs Bretherland,Terluna,Bretherland,unjustified,0.06986893525162896,0.03622167208260873,0.0026202582524684787,13,79,0.003578889320444752,True
Terluna vs Melvoni,Terluna,Melvoni,unjustified,0.07214399948443248,0.033284230987227756,0.0011306552651408413,13,79,0.001711262022915868,True
Drethia vs Zhaodong,Drethia,Zhaodong,unjustified,0.0759643972493135,0.04052624403777612,0.0031840408233595996,13,79,0.0042138222531579745,True
Drethia vs Melvoni,Drethia,Melvoni,unjustified,0.1523866730131509,0.03666697939063068,3.1240959204459915e-06,13,79,8.330922454522645e-06,True
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,unjustified,0.16798306152824954,0.034518670778747526,5.954313883510514e-07,13,79,1.8524532082032711e-06,True
Bretherland vs Al-Nuriyah,Bretherland,Al-Nuriyah,unjustified,0.205922332043067,0.04339834844013644,7.798434099379623e-07,13,79,2.298485839817152e-06,True
Terluna vs Voskara,Terluna,Voskara,unjustified,0.2573975453173722,0.02727336230317496,3.463554430650328e-10,13,79,6.465301603880612e-09,True
Zhaodong vs Al-Nuriyah,Zhaodong,Al-Nuriyah,unjustified,0.3315018298097583,0.044277700773734,4.994217567897362e-09,13,79,3.9953740543178894e-08,True
Melvoni vs Al-Nuriyah,Melvoni,Al-Nuriyah,unjustified,0.38838570424434027,0.05450326428658847,8.764988723233411e-09,13,79,5.217280864197565e-08,True
Terluna vs Al-Nuriyah,Terluna,Al-Nuriyah,unjustified,0.3980153936879102,0.036633850588556366,6.697518554879479e-11,13,79,3.5110197393720667e-09,True
Drethia vs Al-Nuriyah,Drethia,Al-Nuriyah,unjustified,0.470545735005494,0.04569503316167965,1.2539356212043095e-10,13,79,3.5110197393720667e-09,True
