pair,country_1,country_2,question,mean_bias,ci95,p_value,n_clusters,n_scenarios,p_adjusted,significant
Voskara vs Zhaodong,Voskara,Zhaodong,justified,-0.054844895357286545,0.018858694211939833,9.911925775273276e-05,13,79,0.0013876696085382586,True
Terluna vs Zhaodong,Terluna,Zhaodong,justified,-0.049879808026628614,0.021690718495910966,0.0007176021547959772,13,79,0.003942480743797484,True
Al-Nuriyah vs Korvachev,Al-Nuriyah,Korvachev,justified,-0.03263793436080327,0.04169508311483324,0.15090374345961793,13,79,0.2463142148620888,False
Terluna vs Voskara,Terluna,Voskara,justified,-0.029218176932452797,0.022951474083325735,0.02816427679332012,13,79,0.07408068482905125,False
Terluna vs Korvachev,Terluna,Korvachev,justified,-0.02863152460928583,0.02255958408436676,0.028560814583075255,13,79,0.07408068482905125,False
Voskara vs Drethia,Voskara,Drethia,justified,-0.027701464314491324,0.02725427909138778,0.06960543130019599,13,79,0.14436682047448057,False
Voskara vs Korvachev,Voskara,Korvachev,justified,-0.019931890998349522,0.03363554727067279,0.26803509233853345,13,79,0.3848709018194326,False
Voskara vs Melvoni,Voskara,Melvoni,justified,-0.01754235148075081,0.020996840171805344,0.12745611467684514,13,79,0.23024330393236542,False
Voskara vs Al-Nuriyah,Voskara,Al-Nuriyah,justified,-0.015925482645521672,0.01900508706548723,0.12643447302008914,13,79,0.23024330393236542,False
Terluna vs Drethia,Terluna,Drethia,justified,-0.015467604683650717,0.016021196466455556,0.08282336617055107,13,79,0.16564673234110214,False
Bretherland vs Zhaodong,Bretherland,Zhaodong,justified,-0.015038348229485991,0.0372817303190837,0.4445183204722418,13,79,0.5789075801498963,False
Melvoni vs Zhaodong,Melvoni,Zhaodong,justified,-0.014136904918830908,0.015903878095546747,0.107012037301347,13,79,0.2066439340991528,False
Terluna vs Melvoni,Terluna,Melvoni,justified,-0.010559753948078924,0.013599742924179219,0.1539463842888055,13,79,0.2463142148620888,False
Terluna vs Bretherland,Terluna,Bretherland,justified,-0.01025927171875269,0.028897945329348734,0.4997877955676047,13,79,0.6219581455952414,False
Voskara vs Bretherland,Voskara,Bretherland,justified,-0.008799793539848519,0.033398300693550056,0.6149438443430062,13,79,0.732699048578901,False
Zhaodong vs Korvachev,Zhaodong,Korvachev,justified,-0.0061956276032295865,0.03655238140509928,0.745454326416621,13,79,0.7876498543269957,False
Bretherland vs Korvachev,Bretherland,Korvachev,justified,-0.0048649283910627335,0.023946886329757958,0.6974880823535067,13,79,0.7512904537994031,False
Melvoni vs Korvachev,Melvoni,Korvachev,justified,-0.0031765116849443425,0.02540000263204084,0.8105077345841379,13,79,0.8405265395687357,False
